BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
3,95,4,97,2,98,4,96,2,95,93,5,95,5,95,2,97,3,93,4,2500,0,2500,0,[]
4,95,4,95,3,94,5,96,3,94,92,4,94,4,93,6,94,6,94,6,2500,0,2500,0,[]
4,94,5,95,3,95,5,96,4,94,92,4,92,5,93,6,94,7,94,5,2500,0,2500,0,[]
14,73,18,77,20,80,28,94,22,86,70,7,73,17,80,22,82,25,81,22,2500,0,2500,0,[]
19,51,32,59,37,65,49,89,39,73,47,11,54,31,63,37,80,48,66,39,2500,0,2500,0,[]
23,33,34,42,49,53,69,81,51,65,29,20,40,37,51,42,75,66,64,57,2500,0,2500,0,[]
23,32,34,39,45,50,70,79,53,64,25,25,43,35,54,45,78,73,64,57,2500,0,2500,0,[]
21,38,33,43,44,52,69,79,54,63,22,27,42,32,54,47,71,67,64,57,2500,0,2500,0,[]
22,41,33,43,46,51,69,79,54,64,24,32,42,32,55,50,63,61,64,57,2500,0,2500,0,[]
23,40,33,43,44,51,69,79,52,65,26,32,91,11,54,59,62,62,63,61,2500,0,2500,0,[]
23,40,31,47,45,51,66,78,51,66,20,26,84,21,55,57,62,62,59,56,2500,0,2500,0,[]
23,40,30,53,44,58,56,75,51,66,24,33,80,31,47,56,59,58,47,55,2500,0,2522,0,[]
22,42,26,51,40,60,58,69,52,66,22,27,80,43,50,55,64,62,56,56,2500,0,2522,0,[]
21,38,17,43,37,58,58,70,51,67,22,28,76,53,54,56,73,63,65,62,2500,0,2522,0,[]
24,42,19,34,38,51,65,77,59,72,22,28,75,54,56,56,70,63,63,62,2500,0,2522,0,[]
25,41,21,36,43,54,72,85,67,79,26,30,75,53,56,56,75,56,73,62,2500,0,2522,0,[]
24,41,20,38,48,53,73,88,74,87,26,35,75,54,56,56,76,54,76,58,2500,0,2522,0,[]
24,43,23,46,49,49,81,90,83,89,24,33,74,53,54,49,76,55,75,57,2500,0,2522,0,[]
