,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,1,97,2,95,93,4,96,5,95,2,97,3,93,4,2500,0,2500,0,[]
2,4,95,4,94,3,95,5,97,5,96,92,3,93,4,93,5,94,7,94,6,2500,0,2500,0,[]
3,4,95,4,94,4,95,5,97,5,96,92,4,93,4,93,6,94,7,93,6,2500,0,2500,0,[]
4,17,77,18,77,17,77,27,93,24,84,70,7,76,17,80,23,85,25,79,23,2500,0,2500,0,[]
5,32,60,32,59,35,62,49,90,41,70,48,11,60,33,66,40,80,46,66,41,2500,0,2500,0,[]
6,32,41,33,41,47,51,68,82,57,63,29,20,45,38,64,57,75,65,64,57,2500,0,2500,0,[]
7,34,38,34,39,50,48,70,79,55,64,22,23,45,38,63,53,74,66,64,57,2500,0,2500,0,[]
8,28,35,34,42,45,52,69,79,53,64,22,22,45,38,55,49,72,63,64,57,2500,0,2500,0,[]
9,21,27,34,43,47,50,69,79,54,64,29,22,46,37,56,50,68,63,64,57,2500,0,2500,0,[]
10,19,23,33,43,45,52,62,83,53,65,29,22,48,39,57,49,62,61,58,50,2500,0,2500,0,[]
11,27,22,37,37,39,55,51,83,52,65,33,23,52,44,53,55,63,63,53,55,2500,0,2511,0,[]
12,34,17,33,42,41,55,52,75,50,66,43,23,55,52,51,66,56,64,51,66,2511,0,2511,0,[]
13,28,22,33,43,47,57,51,75,44,68,51,21,58,61,54,66,52,67,54,66,2511,0,2511,0,[]
14,29,33,31,56,50,55,51,73,45,68,51,21,55,67,49,67,52,65,49,67,2511,0,2522,0,[]
15,31,44,39,61,47,59,49,79,37,67,49,16,56,68,46,69,46,72,46,69,2511,0,2522,0,[]
16,32,55,34,68,47,58,50,83,35,68,42,9,51,68,45,69,43,68,45,69,2511,0,2522,0,[]
17,38,59,37,76,49,58,51,83,36,75,31,10,47,73,46,72,46,75,46,72,2511,0,2522,0,[]
18,49,60,37,76,50,59,53,85,38,76,22,9,55,76,55,68,54,76,55,68,2511,0,2522,0,[]
19,54,67,49,75,49,59,50,80,48,79,16,12,61,77,57,60,61,75,60,73,2511,0,2522,0,[]
20,53,64,53,76,47,53,50,79,50,80,12,13,71,76,52,52,71,78,71,78,2553,0,2564,0,[]
21,50,65,54,76,48,51,57,85,57,83,15,12,74,65,49,49,79,81,79,81,2574,0,2585,0,[]
22,15,17,54,76,49,51,67,88,71,85,15,11,74,55,53,46,83,82,83,82,2660,0,2680,0,[]
23,17,14,53,77,48,51,77,87,78,88,19,12,76,53,52,47,83,83,83,83,2844,0,2827,0,[]
24,15,15,47,70,49,51,81,85,81,87,19,12,75,56,53,48,87,83,85,83,3033,0,2929,0,[]
25,13,15,46,64,47,51,84,86,82,87,18,14,76,52,52,48,85,81,85,81,3140,0,3030,0,[]
26,14,17,44,68,52,48,84,85,82,85,16,10,77,53,54,46,87,85,87,85,3288,0,3185,0,[]
27,13,16,45,68,48,47,79,88,81,87,17,14,71,48,51,47,87,85,87,85,3489,0,3298,0,[]
28,15,14,41,66,51,46,76,88,77,90,20,11,64,37,55,44,84,88,84,88,3571,0,3391,0,[]
29,15,15,32,59,51,47,77,89,75,90,19,11,55,31,55,47,83,87,82,90,3648,0,3545,0,[]
30,12,17,25,49,52,46,74,91,73,90,19,12,52,27,56,45,81,85,80,87,3739,0,3632,0,[]
31,13,15,24,45,51,46,75,89,74,89,17,11,52,27,55,46,81,88,81,88,3862,0,3734,0,[]
32,15,15,21,45,50,49,74,89,74,88,16,10,48,25,55,44,81,87,79,86,3953,0,3904,0,[]
33,15,14,18,45,52,46,75,91,74,90,19,11,48,20,56,45,80,85,79,85,4200,0,4058,0,[]
34,13,15,17,44,50,48,71,89,72,91,17,12,42,18,55,45,78,89,78,89,4289,0,4181,0,[]
35,13,14,18,45,51,46,72,90,72,90,19,11,40,17,56,45,78,88,78,88,4340,0,4366,0,[]
36,13,13,17,44,51,47,68,91,69,91,17,14,41,16,55,46,74,88,74,88,4495,0,4477,0,[]
37,14,13,19,48,52,47,69,90,69,92,18,11,44,16,57,46,76,89,75,87,4896,0,4613,0,[]
38,17,19,22,53,53,46,70,90,70,91,18,14,48,18,55,46,76,89,76,89,5042,0,4710,0,[]
39,13,16,26,58,54,49,70,91,70,90,20,12,52,29,57,45,75,89,75,89,5143,0,4783,0,[]
40,16,12,30,56,52,50,69,89,69,91,22,11,53,35,56,43,76,88,76,88,5386,0,4953,0,[]
41,18,13,30,53,51,50,70,90,71,90,24,10,53,33,59,44,78,79,78,79,5500,0,5075,0,[]
42,21,14,32,42,52,49,73,91,72,89,27,8,62,36,60,44,79,75,79,75,5591,0,5226,0,[]
43,19,24,29,37,52,47,80,86,77,88,24,8,67,46,58,44,84,81,84,81,5692,0,5338,0,[]
44,14,15,30,38,45,51,77,87,77,88,25,9,64,58,53,46,83,81,83,81,5821,0,5418,0,[]
45,17,9,34,39,42,46,78,88,78,87,23,11,67,63,55,46,84,84,84,84,5893,0,5537,0,[]
46,17,9,34,39,42,46,78,88,77,88,23,10,71,65,50,53,83,83,83,83,5966,0,5665,0,[]
47,18,13,8,96,4,92,79,88,76,88,23,9,76,57,55,55,84,82,84,82,6049,0,5775,0,[]
48,19,14,22,94,9,86,78,90,76,88,21,9,80,56,54,47,84,83,84,83,6121,0,5875,0,[]
49,24,22,33,92,17,78,79,88,74,87,18,9,80,56,54,47,86,85,86,85,6215,0,6020,0,[]
50,27,17,45,91,26,70,81,88,78,87,21,10,79,53,56,47,80,81,80,81,6278,0,6211,0,[]
51,33,17,54,85,35,63,80,87,79,87,21,11,73,44,55,46,86,84,86,84,6361,0,6347,0,[]
52,25,15,57,83,45,55,80,91,79,88,23,12,76,44,55,48,83,82,83,82,6453,0,6523,0,[]
