,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,95,4,97,2,98,1,97,1,95,93,5,95,5,95,2,97,3,93,3,2500,0,2500,0,[]
2,4,95,5,95,4,95,5,96,4,94,93,5,94,6,93,5,94,4,93,5,2500,0,2500,0,[]
3,4,95,5,95,4,95,5,96,4,94,94,5,94,6,93,5,94,6,92,5,2500,0,2500,0,[]
4,14,74,17,77,22,81,28,94,24,83,73,14,73,17,83,20,85,26,80,22,2500,0,2500,0,[]
5,19,51,32,60,37,64,50,89,42,70,53,21,54,31,67,36,80,48,70,34,2500,0,2500,0,[]
6,27,37,34,42,48,51,69,81,50,66,33,22,59,41,65,57,73,65,66,55,2500,0,2500,0,[]
7,24,39,34,42,45,52,67,82,52,65,40,29,65,53,65,57,73,65,63,62,2500,0,2500,0,[]
8,22,40,34,42,44,53,59,83,50,65,47,37,63,62,65,57,71,65,63,62,2500,0,2500,0,[]
9,22,41,34,42,43,52,50,80,51,65,55,45,62,63,65,57,71,65,63,62,2500,0,2500,0,[]
10,23,40,34,42,44,52,55,76,51,66,63,52,62,63,64,61,70,65,63,62,2500,0,2500,0,[]
11,21,40,34,42,44,52,55,76,51,66,62,60,58,62,59,60,62,63,58,62,2500,0,2500,0,[]
12,28,38,32,45,47,58,50,82,46,67,57,68,57,72,57,70,57,70,57,72,2500,0,2500,0,[]
13,37,38,35,38,54,57,53,88,43,68,56,67,51,76,56,68,52,77,51,76,2500,0,2500,0,[]
14,35,38,35,38,44,56,62,92,35,67,56,67,46,72,53,67,57,73,46,72,2500,0,2500,0,[]
15,35,38,36,39,45,54,72,91,32,77,84,5,53,77,57,69,55,75,53,77,2500,0,2500,0,[]
16,40,36,42,36,47,48,83,89,36,87,73,7,52,76,56,67,55,75,52,76,2520,0,2500,0,[]
17,41,30,41,29,50,47,85,86,46,91,62,7,52,75,55,57,55,76,55,76,2520,0,2500,0,[]
18,46,24,46,25,48,48,88,84,55,88,51,10,51,73,51,49,54,76,53,77,2520,0,2500,0,[]
19,46,24,47,25,46,51,89,80,62,85,41,15,50,74,50,48,55,76,54,76,2520,0,2521,0,[]
20,39,23,48,25,48,50,86,85,62,85,30,16,47,73,52,48,65,77,65,77,2641,0,2563,0,[]
21,28,21,52,29,47,51,76,88,62,86,22,14,46,69,52,49,76,78,76,78,2662,0,2739,0,[]
22,18,19,51,36,45,53,77,90,73,87,15,13,45,66,51,48,80,83,80,83,2775,0,2853,0,[]
23,13,16,49,34,46,52,83,88,80,88,15,15,46,68,51,48,82,83,81,83,2924,0,2956,0,[]
24,12,15,48,35,47,51,80,88,82,87,22,14,46,69,51,50,86,82,81,81,3099,0,3052,0,[]
25,15,14,43,36,44,53,77,87,77,86,19,15,49,79,49,49,85,86,84,82,3174,0,3131,0,[]
26,13,15,41,34,46,52,74,87,72,87,26,16,57,83,52,49,85,85,81,81,3264,0,3221,0,[]
27,14,14,44,23,45,52,63,88,61,86,20,12,50,83,51,50,85,87,75,87,3358,0,3294,0,[]
