,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,94,5,95,5,95,2,97,3,93,3,0,0,0,0,[]
2,4,95,4,94,3,94,5,96,4,95,92,5,93,4,94,6,94,6,93,5,0,0,0,0,[]
3,4,94,4,95,3,94,5,96,4,95,92,5,92,4,93,6,94,6,93,6,0,0,0,0,[]
4,14,73,18,77,17,78,27,94,25,85,69,7,73,14,77,19,84,26,79,23,0,0,0,0,[]
5,20,52,32,59,35,63,49,89,42,70,46,11,56,30,62,36,80,49,66,40,0,0,0,0,[]
6,32,41,34,42,44,50,69,81,54,64,30,21,40,37,54,46,75,66,65,57,0,0,0,0,[]
7,32,38,34,39,43,46,72,75,54,64,25,24,47,34,53,46,75,67,64,57,0,0,0,0,[]
8,33,38,34,40,47,56,70,79,55,64,20,27,44,37,53,47,74,67,62,61,0,0,0,0,[]
9,29,39,34,42,44,52,70,79,54,64,23,32,44,37,51,47,75,67,62,61,0,0,0,0,[]
10,31,39,34,42,39,50,70,79,53,65,26,33,43,36,50,49,75,67,62,62,0,0,0,0,[]
11,32,45,34,42,32,43,70,79,54,65,25,36,42,37,52,47,74,67,62,62,0,0,0,0,[]
12,33,43,34,42,25,37,69,78,54,66,24,29,42,37,48,47,74,67,63,62,0,0,0,0,[]
13,30,48,31,48,23,40,69,79,56,67,24,25,44,34,50,50,74,68,62,62,0,0,0,0,[]
14,20,49,34,61,28,38,69,79,58,70,25,29,42,32,50,49,75,68,62,62,0,0,0,0,[]
15,21,39,42,68,33,47,69,78,61,74,27,23,41,31,51,48,76,69,70,66,0,0,0,0,[]
16,24,37,51,75,40,53,69,80,68,80,34,23,41,30,51,48,78,71,74,62,0,0,0,0,[]
17,30,29,52,75,45,54,73,88,75,87,43,24,41,27,54,58,79,75,76,68,0,0,0,0,[]
18,26,35,51,75,48,49,82,91,84,88,46,25,47,26,51,52,79,75,80,77,0,0,0,0,[]
19,18,34,47,73,48,50,84,89,84,87,47,25,48,26,51,51,83,79,84,79,0,0,0,0,[]
20,11,30,45,71,46,50,81,84,81,86,40,24,47,24,51,50,85,81,86,84,0,0,0,0,[]
21,13,19,44,69,46,52,80,84,82,85,29,21,46,16,50,47,87,84,85,83,0,0,0,0,[]
22,13,17,36,62,47,52,82,86,82,86,22,13,43,17,49,49,87,83,84,80,0,0,0,0,[]
23,12,13,30,54,47,52,79,87,80,87,19,15,44,14,50,48,86,86,82,81,0,0,0,0,[]
24,16,12,23,45,47,51,74,90,76,88,23,13,44,14,51,49,84,87,81,83,0,0,0,0,[]
25,12,13,22,42,43,52,76,91,78,90,20,14,41,15,49,51,82,87,79,84,0,0,0,0,[]
26,18,16,22,42,47,53,79,88,80,88,20,13,41,16,53,49,84,83,82,82,0,0,0,0,[]
27,15,15,19,44,45,54,79,88,80,88,18,11,47,17,49,50,84,85,81,82,0,0,0,0,[]
28,12,13,19,45,45,51,78,88,84,88,19,13,51,27,50,50,84,81,84,82,0,0,0,0,[]
29,12,15,18,46,48,50,80,88,84,89,15,12,51,35,52,50,82,82,87,85,0,0,0,0,[]
30,13,16,22,53,46,50,77,88,82,90,15,12,52,33,50,50,82,82,85,87,0,0,0,0,[]
31,13,16,25,58,46,49,78,88,80,87,15,11,50,32,50,49,81,81,84,87,0,0,0,0,[]
32,12,16,27,59,47,50,79,87,82,89,15,11,55,32,49,47,84,85,84,88,0,0,0,0,[]
33,12,15,30,60,49,50,83,89,81,90,16,11,65,38,53,47,86,83,87,86,0,0,0,0,[]
34,15,15,40,65,51,49,79,88,77,89,18,11,73,43,53,45,82,81,85,88,0,0,0,0,[]
35,17,16,44,68,51,53,79,88,78,88,17,10,75,44,55,45,83,82,84,88,0,0,0,0,[]
36,22,11,43,68,49,49,79,86,81,86,27,7,77,46,54,47,86,84,84,87,0,0,0,0,[]
37,20,13,44,69,50,49,81,88,80,91,25,9,77,52,52,48,84,87,83,87,0,0,0,0,[]
38,13,15,37,64,47,50,78,89,78,89,22,11,75,63,52,45,84,83,85,87,0,0,0,0,[]
39,15,13,31,56,48,47,77,87,79,89,22,11,67,63,57,43,86,86,84,86,0,0,0,0,[]
40,17,15,32,43,42,39,76,89,76,89,25,9,72,66,57,44,84,86,80,91,0,0,0,0,[]
41,17,14,28,37,40,34,78,92,78,90,22,11,75,69,57,45,82,90,81,91,0,0,0,0,[]
42,20,13,23,32,45,43,75,89,74,90,24,10,73,75,57,45,82,88,82,88,0,0,0,0,[]
43,21,12,22,30,51,49,73,89,75,91,24,9,64,78,95,4,81,89,80,84,0,0,0,0,[]
44,16,16,23,25,48,50,74,90,74,88,23,11,63,78,53,48,80,84,80,85,0,0,0,0,[]
45,17,18,23,25,49,49,73,89,71,89,21,11,68,80,52,50,80,86,79,87,0,0,0,0,[]
46,16,15,7,95,40,54,73,89,72,91,21,10,68,80,56,47,78,91,79,87,0,0,0,0,[]
47,14,15,22,94,37,56,72,90,74,91,22,11,73,72,55,44,78,81,78,81,0,0,0,0,[]
48,14,16,33,93,37,56,72,91,73,90,20,13,76,59,54,48,76,79,79,75,0,0,0,0,[]
49,14,17,48,90,5,94,78,90,74,88,19,13,76,54,52,46,95,4,79,75,0,0,0,0,[]
50,10,22,57,84,5,94,80,86,80,85,19,15,77,54,51,47,95,10,94,8,0,0,0,0,[]
51,13,19,61,83,47,58,79,86,80,86,18,14,79,54,50,48,94,20,87,16,0,0,0,0,[]
52,11,19,55,84,49,57,80,86,81,90,16,14,82,56,52,48,93,31,80,23,0,0,0,0,[]
53,11,19,51,84,48,49,77,88,81,90,16,14,82,56,54,48,92,42,72,31,0,0,0,0,[]
54,11,25,54,84,47,50,2,96,3,96,17,14,83,58,51,50,92,53,66,40,0,0,0,0,[]
55,12,19,50,83,46,49,6,95,13,95,16,15,83,58,49,50,91,64,68,50,0,0,0,0,[]
56,10,24,47,75,44,54,16,95,24,93,16,16,83,58,50,52,90,70,60,60,0,0,0,0,[]
57,11,27,41,67,43,54,26,93,35,93,14,16,90,4,52,47,90,72,57,65,0,0,0,0,[]
58,18,33,31,59,39,56,39,92,51,91,13,20,83,4,52,47,90,73,62,63,0,0,0,0,[]
59,10,31,22,53,45,55,50,90,58,85,14,21,69,7,86,9,89,74,73,63,0,0,0,0,[]
60,6,29,14,43,49,51,60,89,68,81,22,29,57,8,78,17,89,76,82,66,0,0,0,0,[]
61,6,27,15,42,49,51,71,88,70,79,21,40,46,12,71,26,82,78,87,72,0,0,0,0,[]
62,7,27,14,42,48,51,78,85,76,87,19,27,44,17,64,35,82,80,82,80,0,0,0,0,[]
63,6,28,21,50,3,95,76,89,76,87,11,23,44,15,60,44,79,84,83,87,0,0,0,0,[]
64,6,28,25,57,9,85,72,89,73,88,9,24,48,18,55,46,81,85,80,89,0,0,0,0,[]
65,7,28,25,59,17,78,69,90,70,91,8,19,51,29,45,46,76,87,76,87,0,0,0,0,[]
66,6,32,31,60,26,70,68,93,70,91,8,18,52,36,49,47,76,88,75,89,0,0,0,0,[]
67,6,32,38,65,35,63,71,93,74,92,11,20,55,32,48,50,75,88,76,87,0,0,0,0,[]
68,3,92,44,67,43,56,77,90,77,89,10,24,61,36,49,49,82,85,82,86,0,0,0,0,[]
69,4,91,44,68,47,51,76,89,75,90,12,23,72,42,52,47,80,84,81,89,0,0,0,0,[]
70,6,31,48,67,48,51,71,90,72,92,14,22,72,41,52,49,76,87,80,86,0,0,0,0,[]
71,9,25,48,67,46,54,69,91,71,91,20,27,72,41,49,50,76,77,75,78,0,0,0,0,[]
72,10,27,58,69,47,53,74,88,73,87,20,27,60,40,49,48,70,68,72,76,0,0,0,0,[]
73,13,23,57,68,47,53,70,79,69,79,93,4,47,35,49,50,71,66,76,69,0,0,0,0,[]
74,10,24,58,70,45,55,75,87,70,79,89,4,35,39,47,51,75,64,76,67,0,0,0,0,[]
75,10,21,2,96,45,56,81,86,76,87,15,15,33,36,45,52,72,70,77,70,0,0,0,0,[]
76,10,22,9,95,45,58,84,85,84,85,16,17,36,39,45,54,81,77,82,78,0,0,0,0,[]
77,10,22,21,94,42,58,82,85,82,83,17,15,46,40,46,53,87,75,88,77,0,0,0,0,[]
78,10,20,33,90,40,50,77,77,78,75,14,15,56,45,48,53,89,76,87,75,0,0,0,0,[]
79,10,19,45,91,45,55,82,80,81,77,13,14,65,53,47,52,91,75,87,73,0,0,0,0,[]
80,9,21,55,85,46,55,84,81,85,83,15,16,66,63,46,52,90,79,86,75,0,0,0,0,[]
81,9,22,67,82,42,57,81,82,85,85,13,15,57,66,53,54,88,81,88,81,0,0,0,0,[]
82,8,28,72,78,43,55,79,84,82,85,14,19,54,76,54,58,87,81,86,85,0,0,0,0,[]
83,7,31,83,80,50,59,85,84,87,83,23,28,64,78,60,60,86,78,87,84,0,0,0,0,[]
84,7,30,80,86,53,64,81,84,88,84,24,31,55,76,60,62,87,77,86,86,0,0,0,0,"['6:56 BLGJinjiao(逆羽) 击杀了 LNGDuan(深海泰坦),获得一血']"
85,8,26,69,88,47,55,86,82,87,81,16,20,52,76,52,53,87,75,86,86,0,0,0,0,[]
