,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,95,4,97,2,98,1,97,2,95,94,5,95,5,95,2,96,3,93,3,2500,0,2500,0,[]
2,3,95,5,97,5,96,4,95,5,97,94,4,92,4,93,5,94,5,92,4,2500,0,2500,0,[]
3,3,95,5,97,5,96,4,95,5,97,92,4,92,4,93,5,93,5,92,4,2500,0,2500,0,[]
4,26,89,28,94,28,93,27,93,26,94,69,7,70,7,77,19,71,7,72,6,2500,0,2500,0,[]
5,46,81,52,93,50,92,49,90,48,92,46,11,47,10,60,35,48,11,50,8,2500,0,2500,0,[]
6,59,73,75,92,73,91,69,81,71,91,29,21,25,12,46,37,27,13,27,11,2500,0,2500,0,[]
7,67,78,82,89,84,88,73,75,83,89,29,23,14,10,44,37,17,10,15,11,2500,0,2500,0,[]
8,74,86,83,82,85,81,74,75,86,82,29,23,10,18,42,32,10,18,10,18,2500,0,2500,0,[]
9,79,80,77,72,78,73,76,73,79,73,21,27,18,25,42,35,18,24,19,25,2500,0,2500,0,[]
10,76,69,74,64,74,64,74,64,75,64,24,36,23,34,40,36,23,34,23,35,2500,0,2500,0,[]
11,76,59,76,56,76,58,75,57,76,57,22,43,22,43,42,33,20,41,21,45,2500,0,2500,0,[]
12,74,55,72,52,75,54,76,52,76,52,23,35,24,34,51,41,20,41,21,40,2500,0,2500,0,[]
13,75,62,75,52,76,58,73,52,71,49,27,22,27,24,52,42,95,6,21,40,2500,0,2500,0,[]
14,75,62,2,96,76,58,76,62,77,50,29,20,40,23,47,36,94,20,94,8,2500,0,2500,0,[]
15,6,90,8,86,7,87,73,69,75,60,29,21,47,24,49,39,93,31,92,19,2500,0,2500,0,[]
16,11,79,13,75,14,78,72,76,73,71,29,20,46,24,57,46,93,42,91,29,2500,0,2500,0,[]
17,16,69,17,64,18,68,71,84,71,81,28,20,46,24,53,46,87,51,90,40,2500,0,2500,0,[]
18,17,58,18,53,24,65,71,87,72,88,28,20,47,26,51,50,80,52,87,50,2500,0,2500,0,[]
19,22,48,25,48,33,61,81,84,81,83,25,15,49,26,52,47,84,62,87,59,2500,0,2542,0,[]
20,22,42,22,46,43,55,81,84,82,86,18,15,50,26,52,46,87,71,87,70,2521,0,2563,0,[]
21,16,34,22,46,47,53,82,85,83,86,17,14,50,26,51,47,87,81,87,80,2577,0,2754,0,[]
22,11,27,22,47,44,55,80,87,82,87,15,15,53,34,50,51,83,81,84,82,2770,0,2877,0,[]
23,12,21,23,56,41,58,79,85,80,85,12,16,54,32,46,54,85,84,86,87,2877,0,2973,0,[]
24,13,19,25,56,42,54,84,82,84,83,13,13,55,32,47,54,90,78,87,77,2942,0,3083,0,[]
25,11,15,25,56,40,54,86,81,87,81,17,15,54,32,47,55,90,78,86,77,3139,0,3272,0,[]
26,10,19,34,62,41,56,84,79,85,82,14,15,54,32,47,53,90,77,87,76,3226,0,3407,0,[]
27,11,23,44,67,40,58,83,82,84,81,10,18,54,32,50,60,89,78,87,76,3369,0,3510,0,[]
28,11,22,44,68,46,57,88,80,86,76,14,15,63,38,53,63,91,74,89,72,3482,0,3581,0,[]
29,10,22,45,67,45,56,89,80,85,79,11,16,69,47,56,54,89,72,89,72,3639,0,3681,0,[]
30,8,23,46,69,45,51,87,77,86,78,12,21,76,53,51,49,91,70,89,69,3690,0,3788,0,[]
31,7,27,51,72,45,52,83,83,84,83,10,23,76,53,50,48,90,78,87,76,3787,0,3843,0,[]
32,9,23,52,75,47,53,80,84,82,86,10,19,77,53,50,47,88,82,85,79,3881,0,4077,0,[]
33,10,22,53,76,45,53,81,84,82,86,10,18,83,55,50,47,89,82,85,80,4183,0,4177,0,[]
34,9,27,50,81,46,54,82,86,82,86,10,20,81,54,47,47,88,82,86,79,4271,0,4258,0,[]
35,8,26,55,83,44,56,82,83,82,86,10,20,82,55,44,52,88,82,87,79,4444,0,4408,0,[]
36,5,26,57,84,47,54,81,84,82,86,7,22,79,51,48,48,87,82,87,79,4606,0,4547,0,[]
37,8,26,59,84,44,51,82,84,82,86,12,22,74,44,51,50,87,82,86,79,4740,0,4711,0,[]
38,9,29,69,81,45,51,83,86,82,86,11,23,73,43,50,48,88,81,86,80,4893,0,4782,0,[]
39,7,28,78,73,45,52,81,83,83,85,11,21,71,41,51,48,88,81,87,79,5007,0,4957,0,[]
40,8,29,74,63,45,52,84,82,85,80,10,22,72,41,54,46,89,77,88,75,5143,0,5036,0,[]
41,7,30,71,64,43,46,84,81,85,81,10,22,72,41,55,45,89,76,87,75,5275,0,5149,0,[]
42,7,30,67,65,47,47,88,75,89,76,11,24,88,6,52,48,90,71,90,70,5366,0,5246,0,[]
43,9,29,64,63,46,51,88,76,90,76,11,24,77,7,50,47,90,70,83,66,5582,0,5346,0,[]
44,8,26,58,57,49,51,88,77,88,77,8,19,65,8,52,46,91,68,80,66,5738,0,5432,0,[]
45,8,23,54,47,47,49,88,73,91,74,12,19,54,9,54,42,90,69,90,67,5821,0,5510,0,[]
