,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,3,97,2,98,1,97,2,95,93,5,95,5,95,2,97,4,93,4,2500,0,2500,0,[]
2,4,95,4,95,4,95,3,97,3,96,93,5,95,7,95,5,94,6,95,5,2500,0,2500,0,[]
3,4,94,4,95,3,94,5,97,3,95,93,5,95,7,95,6,94,6,96,6,2500,0,2500,0,[]
4,17,76,18,76,21,81,24,87,16,78,79,23,93,31,92,29,84,26,93,31,2500,0,2500,0,[]
5,32,59,31,58,37,65,41,71,31,62,66,41,91,55,90,51,80,49,91,55,2500,0,2500,0,[]
6,33,41,34,40,44,51,49,60,32,42,66,59,90,76,89,74,75,67,90,76,2500,0,2500,0,[]
7,35,38,35,38,42,40,42,53,36,37,74,64,88,84,88,83,75,70,88,84,2500,0,2500,0,[]
8,41,32,41,32,41,35,43,43,41,30,79,74,82,84,78,83,74,71,82,84,2500,0,2500,0,[]
9,44,23,44,24,42,26,44,43,46,23,78,77,75,78,76,79,75,75,75,78,2500,0,2500,0,[]
10,54,21,55,22,51,21,44,44,56,22,69,81,67,83,69,80,68,82,67,83,2500,0,2500,0,[]
11,55,22,56,30,54,31,43,44,57,29,59,83,56,82,59,82,57,83,56,82,2500,0,2500,0,[]
12,46,23,47,24,44,36,43,44,55,30,55,85,53,84,54,83,53,84,53,84,2500,0,2500,0,[]
13,43,23,44,24,42,32,10,96,4,96,48,81,48,81,49,81,48,81,47,79,2500,0,2500,0,[]
14,46,23,43,24,41,32,23,94,15,95,51,76,47,73,49,74,48,74,47,73,2500,0,2500,0,[]
15,47,23,46,24,42,32,33,90,25,94,51,76,49,73,53,76,47,73,47,73,2500,0,2500,0,[]
16,43,24,45,24,42,32,42,84,35,90,92,5,50,72,57,70,54,76,55,75,2500,0,2500,0,[]
17,44,24,46,24,41,38,48,83,41,85,80,6,51,76,49,68,53,76,53,76,2500,0,2500,0,[]
18,45,24,47,26,46,48,54,84,50,88,69,6,52,74,54,65,54,76,53,76,2500,0,2500,0,[]
19,43,24,47,25,50,53,64,88,61,88,58,8,51,74,54,55,54,76,53,76,2500,0,2500,0,[]
20,33,23,47,25,53,52,75,89,71,89,46,9,50,74,53,50,59,76,59,76,2621,0,2600,0,[]
21,23,22,51,31,48,51,82,89,81,91,35,9,48,66,52,49,70,78,70,78,2642,0,2600,0,[]
22,14,16,49,41,47,56,81,85,82,85,24,11,51,66,52,47,81,78,81,78,2818,0,2765,0,[]
23,12,16,53,53,51,59,81,87,83,87,17,12,57,62,56,49,83,80,83,80,2869,0,2880,0,[]
24,15,11,56,61,50,52,82,84,83,87,16,9,62,61,53,46,86,81,86,81,2948,0,2966,0,[]
25,12,17,47,64,48,49,80,84,88,84,13,15,72,63,53,46,85,80,85,80,3071,0,3091,0,[]
26,13,14,48,65,49,50,81,84,84,86,16,10,73,55,51,47,87,82,87,82,3150,0,3192,0,[]
27,15,12,49,66,49,51,81,82,83,87,20,12,76,52,54,47,87,82,86,84,3267,0,3318,0,[]
28,16,12,45,67,47,49,80,88,84,88,24,12,75,55,53,47,84,81,84,81,3383,0,3404,0,[]
29,14,14,35,62,46,50,80,86,81,87,20,11,77,54,52,47,86,81,86,81,3504,0,3618,0,[]
30,12,15,29,52,47,49,81,90,80,87,18,14,80,56,52,46,86,83,86,83,3576,0,3683,0,[]
31,15,12,23,46,46,49,77,90,77,88,21,12,84,58,54,48,82,83,82,83,3722,0,3770,0,[]
32,14,14,23,44,46,49,76,89,76,87,20,13,83,56,53,46,82,86,79,84,3876,0,3959,0,[]
33,15,14,23,44,51,50,75,89,76,90,21,10,81,54,56,42,82,86,82,86,4005,0,4065,0,[]
34,14,12,21,45,50,46,76,90,78,91,21,13,75,44,57,45,80,84,80,84,4211,0,4184,0,[]
35,16,11,16,44,47,38,76,92,73,89,23,11,74,44,58,44,80,86,80,86,4384,0,4469,0,[]
36,21,9,17,45,50,49,68,92,70,91,26,9,71,41,57,45,76,91,76,91,4583,0,4531,0,[]
37,23,9,16,44,55,53,71,93,72,94,30,7,62,36,57,45,77,88,77,86,4738,0,4608,0,[]
38,22,9,23,41,51,48,76,91,73,87,28,8,51,34,58,45,80,84,80,84,4809,0,4735,0,[]
39,21,10,31,38,51,47,77,90,77,87,26,8,52,36,57,44,82,83,82,83,4944,0,4930,0,[]
40,21,9,31,38,46,36,78,88,80,91,25,8,53,34,55,40,82,83,81,83,5115,0,5044,0,[]
41,20,12,40,36,49,42,79,90,76,90,25,8,62,37,54,44,81,83,81,83,5200,0,5193,0,[]
42,19,11,42,25,47,49,73,91,73,89,25,7,67,46,55,47,82,84,82,84,5283,0,5284,0,[]
43,21,10,48,18,52,46,74,91,71,91,26,7,65,58,55,46,78,87,79,88,5404,0,5370,0,[]
44,19,11,38,15,49,48,75,92,73,89,23,9,66,64,55,47,79,86,80,87,5497,0,5488,0,[]
45,21,9,33,16,51,46,76,91,73,89,23,10,63,63,55,48,79,85,79,85,5571,0,5571,0,[]
46,18,9,30,15,46,49,74,91,72,90,23,9,58,61,56,49,78,86,78,86,5664,0,5748,0,[]
