,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,5,97,2,98,4,95,1,95,94,5,95,5,94,2,97,3,94,4,0,0,0,0,[]
2,4,95,5,97,4,96,4,95,4,95,93,5,93,5,93,4,95,4,94,6,0,0,0,0,[]
3,4,95,6,97,5,96,4,95,5,95,93,4,92,5,93,6,94,6,94,6,0,0,0,0,[]
4,25,88,28,89,28,93,27,93,26,89,68,10,71,15,75,20,84,26,81,23,0,0,0,0,[]
5,48,88,52,88,51,89,49,90,47,82,46,11,54,30,61,37,80,48,66,40,0,0,0,0,[]
6,68,82,70,79,69,80,68,82,68,82,27,22,46,36,53,47,71,63,64,58,0,0,0,0,[]
7,75,75,78,73,78,75,76,76,76,75,25,23,45,36,52,46,73,64,64,57,0,0,0,0,[]
8,73,67,73,65,73,67,74,68,73,66,25,29,44,36,55,51,67,60,95,4,0,0,0,0,[]
9,75,59,76,55,74,61,76,57,75,57,23,39,34,42,52,53,63,53,90,14,0,0,0,0,[]
10,78,51,71,51,77,51,76,49,74,49,21,48,31,52,57,49,63,50,85,24,0,0,0,0,[]
11,77,50,75,52,74,49,74,49,71,48,22,45,31,52,62,50,62,50,81,34,0,0,0,0,[]
12,74,60,72,52,69,49,70,50,69,50,26,34,31,52,60,50,60,43,89,42,0,0,0,0,[]
13,66,62,72,63,65,57,77,53,65,57,21,27,91,6,60,50,67,35,89,52,0,0,0,0,[]
14,61,62,60,62,60,61,73,63,65,62,22,26,81,10,58,50,77,34,81,51,0,0,0,0,[]
15,55,62,51,62,59,62,72,67,66,64,32,22,71,16,57,48,87,38,83,52,0,0,0,0,[]
16,45,56,40,53,48,56,77,79,74,71,43,23,60,23,53,41,89,51,92,58,0,0,0,0,[]
17,34,49,29,50,45,50,83,87,83,80,46,24,48,26,53,43,92,61,93,68,0,0,0,0,[]
18,23,47,23,48,48,49,87,84,89,81,47,26,47,25,53,46,89,71,88,72,0,0,0,0,[]
19,22,39,23,45,51,51,85,87,85,86,44,23,48,24,52,51,84,78,86,79,0,0,0,0,[]
20,13,34,21,45,49,54,82,85,82,84,36,22,49,25,56,47,85,79,87,85,0,0,0,0,[]
21,12,25,20,45,52,50,82,84,83,84,24,14,51,26,54,47,86,79,87,82,0,0,0,0,[]
22,11,14,18,45,48,52,83,85,83,84,18,15,52,34,52,48,87,81,88,83,0,0,0,0,[]
23,11,16,18,44,49,50,81,83,83,83,17,16,51,32,54,45,87,80,87,85,0,0,0,0,[]
24,10,16,18,44,50,48,81,84,81,84,16,16,48,34,54,45,88,82,87,84,0,0,0,0,[]
25,11,13,21,53,50,48,78,87,79,86,14,18,52,33,56,44,84,81,87,85,0,0,0,0,[]
26,12,18,24,56,49,48,81,84,82,85,13,14,62,36,54,44,85,80,87,85,0,0,0,0,[]
27,11,21,26,58,51,46,81,87,80,86,14,14,68,45,57,43,84,81,85,83,0,0,0,0,[]
28,9,21,34,62,53,45,82,85,82,85,15,18,73,53,58,42,87,80,88,85,0,0,0,0,[]
29,8,22,44,67,53,44,81,84,81,84,14,16,77,51,56,43,87,81,87,85,0,0,0,0,[]
30,8,22,46,64,51,47,81,83,81,82,14,18,76,52,55,45,87,79,87,85,0,0,0,0,[]
31,8,23,45,67,52,46,80,85,81,85,12,22,77,53,56,45,85,80,87,83,0,0,0,0,[]
32,10,24,49,74,52,47,81,86,80,85,10,18,81,55,56,43,84,82,87,83,0,0,0,0,[]
33,10,24,52,76,52,47,81,85,81,85,9,17,81,55,59,44,86,79,86,82,0,0,0,0,[]
34,10,26,52,76,53,47,82,85,83,85,9,19,80,54,59,42,86,79,86,78,0,0,0,0,[]
35,7,29,51,83,52,47,82,86,81,85,12,23,76,45,57,43,85,80,86,81,0,0,0,0,[]
36,7,29,55,83,51,50,82,85,81,83,11,24,73,41,58,44,87,80,87,81,0,0,0,0,[]
