,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,3,97,2,98,1,97,2,95,93,5,95,5,94,2,96,3,93,3,0,0,0,0,[]
2,2,94,4,96,4,95,3,96,5,96,93,5,93,4,92,4,95,6,93,6,0,0,0,0,[]
3,3,94,4,96,5,95,4,95,5,96,93,5,91,5,93,5,95,6,93,6,0,0,0,0,[]
4,13,73,17,78,19,78,24,90,25,85,70,9,72,17,76,19,84,26,78,24,0,0,0,0,[]
5,19,51,32,61,36,62,44,82,42,70,48,12,54,31,61,37,80,47,66,42,0,0,0,0,[]
6,22,33,34,43,47,51,63,78,57,63,30,20,52,32,53,47,81,68,63,59,0,0,0,0,[]
7,19,25,37,39,48,50,67,80,57,64,34,22,52,32,54,46,79,65,63,58,0,0,0,0,[]
8,19,26,38,39,45,52,67,80,59,67,31,20,89,8,51,48,71,65,61,61,0,0,0,0,[]
9,28,32,45,37,43,43,63,77,59,67,36,25,79,13,53,44,68,69,65,65,0,0,0,0,[]
10,26,29,35,39,44,49,57,69,10,95,39,30,69,19,51,49,62,64,60,60,0,0,0,0,[]
11,22,27,34,40,47,56,57,69,21,93,38,37,59,23,51,49,67,66,62,62,0,0,0,0,[]
12,26,32,34,43,44,53,57,69,32,91,38,38,50,23,48,48,60,58,62,60,0,0,0,0,[]
13,25,31,32,48,40,52,58,70,41,85,40,29,48,26,49,51,62,58,65,60,0,0,0,0,[]
14,27,21,31,59,40,55,61,76,49,78,45,24,47,26,50,49,71,63,68,61,0,0,0,0,[]
15,35,16,40,66,43,55,51,76,52,74,45,23,46,26,50,51,80,65,76,62,0,0,0,0,[]
16,29,21,49,75,43,54,51,77,52,76,44,23,47,27,49,49,87,69,84,66,0,0,0,0,[]
17,29,21,49,74,44,53,51,77,52,75,46,24,47,26,50,49,87,73,87,74,0,0,0,0,[]
18,29,21,49,74,46,53,51,77,52,75,46,25,47,26,49,49,88,74,88,76,0,0,0,0,[]
19,21,24,49,74,47,54,54,76,51,74,46,25,47,26,49,49,86,77,87,78,0,0,0,0,[]
20,16,16,49,76,48,51,58,77,57,77,40,23,48,24,49,49,82,80,85,82,0,0,0,0,[]
21,16,15,49,78,46,52,68,80,67,80,30,19,45,16,48,48,82,81,84,83,0,0,0,0,[]
22,15,13,55,83,44,52,75,87,75,87,21,13,43,17,45,51,83,82,83,85,0,0,0,0,[]
23,15,13,56,84,40,56,74,89,75,90,20,11,45,15,48,51,80,83,84,87,0,0,0,0,[]
24,21,11,53,84,40,57,70,89,73,93,25,11,44,14,44,53,77,89,78,83,0,0,0,0,[]
25,22,10,52,84,40,56,71,90,71,89,24,8,44,15,46,54,78,89,76,87,0,0,0,0,[]
26,22,11,52,83,40,56,77,89,77,88,25,10,46,16,45,54,82,86,82,85,0,0,0,0,[]
27,21,10,48,78,41,56,77,88,78,89,25,8,51,24,46,51,83,87,81,84,0,0,0,0,[]
