,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,3,98,1,97,1,95,94,5,95,5,95,2,96,3,93,4,2500,0,2500,0,[]
2,4,95,4,95,5,95,4,97,4,95,93,5,94,6,93,5,94,6,93,5,2500,0,2500,0,[]
3,4,94,4,95,5,95,5,96,3,94,92,5,93,6,93,5,93,6,92,5,2500,0,2500,0,[]
4,15,71,18,76,22,80,28,93,15,78,70,7,72,15,73,17,83,27,80,22,2500,0,2500,0,[]
5,20,49,32,59,36,62,50,89,32,62,48,11,54,31,66,35,79,49,66,39,2500,0,2500,0,[]
6,23,32,34,41,46,50,69,81,32,42,30,20,41,39,57,44,74,65,65,57,2500,0,2500,0,[]
7,33,35,42,34,44,45,63,76,38,37,30,21,48,34,53,42,71,63,62,61,2500,0,2500,0,[]
8,29,35,35,38,45,51,56,68,33,43,34,23,45,34,54,48,67,62,62,61,2500,0,2500,0,[]
9,28,36,35,38,45,50,50,65,33,43,41,27,51,30,55,46,60,63,59,62,2500,0,2500,0,[]
10,28,36,3,93,45,55,46,67,37,50,45,24,51,28,50,40,54,63,56,62,2500,0,2500,0,[]
11,28,36,8,86,44,52,44,69,39,60,46,25,51,27,47,35,65,63,66,62,2500,0,2520,0,[]
12,29,34,17,78,44,51,42,77,42,69,44,24,50,27,48,35,74,69,75,67,2500,0,2520,0,[]
13,27,22,18,67,50,46,49,81,44,78,41,30,48,33,56,33,76,78,76,76,2500,0,2520,0,[]
14,30,22,18,53,50,46,59,85,55,84,37,26,61,36,59,41,76,79,72,78,2505,0,2520,0,[]
15,29,21,25,46,49,50,64,88,63,87,30,21,68,46,56,44,87,81,77,80,2510,0,2520,0,[]
16,27,21,23,47,50,49,71,88,71,89,27,18,78,51,56,44,87,85,77,79,2510,0,2520,0,[]
17,25,14,25,47,50,50,72,89,71,88,30,8,75,52,53,46,82,91,80,79,2510,0,2520,0,[]
18,21,13,25,47,48,53,73,88,77,91,28,9,74,52,51,50,81,86,81,85,2510,0,2520,0,[]
19,18,12,23,46,48,53,76,87,77,88,23,8,76,52,51,49,83,86,83,89,2515,0,2541,0,[]
20,13,14,22,47,49,53,78,86,81,85,16,9,77,52,51,47,86,84,84,86,2571,0,2597,0,[]
21,14,15,21,47,50,52,78,86,80,90,15,12,77,52,53,49,84,84,84,89,2790,0,2739,0,[]
22,14,17,16,45,49,48,75,88,77,90,17,9,83,55,55,43,83,86,82,89,2861,0,2852,0,[]
23,18,16,15,43,47,52,73,88,72,92,18,11,82,56,51,50,78,90,79,91,2940,0,2924,0,[]
24,17,12,17,45,49,52,72,86,73,91,24,9,80,55,53,47,79,86,79,83,3119,0,3096,0,[]
25,18,11,23,55,47,51,72,87,74,91,24,11,75,44,52,47,79,87,80,89,3188,0,3183,0,[]
26,17,10,24,56,47,51,77,86,80,88,21,12,73,42,53,47,83,83,84,87,3386,0,3296,0,[]
27,18,12,26,58,45,53,79,88,79,88,24,10,71,41,51,48,81,80,83,82,3568,0,3424,0,[]
28,18,11,33,61,45,53,73,91,76,91,26,9,66,39,50,48,78,87,79,89,3639,0,3570,0,[]
29,19,11,42,68,44,58,74,87,73,90,26,10,56,33,47,52,81,90,80,90,3781,0,3683,0,[]
30,20,9,46,65,44,57,73,89,72,89,27,8,53,33,47,50,81,87,80,90,3922,0,3793,0,[]
31,23,8,47,65,44,57,73,88,74,88,27,8,50,33,48,51,80,86,81,89,4066,0,3872,0,[]
32,20,9,47,70,45,57,75,87,76,87,25,9,50,32,49,52,83,85,83,87,4206,0,3987,0,[]
33,20,9,50,72,44,55,74,87,76,90,25,10,49,26,48,49,82,87,82,90,4320,0,4094,0,[]
34,22,12,51,74,44,53,74,87,76,90,24,10,48,24,50,50,82,87,81,90,4560,0,4175,0,[]
35,21,10,51,83,45,52,75,87,76,89,32,7,48,22,51,48,82,86,83,89,4772,0,4325,0,[]
36,22,12,56,82,44,52,75,87,75,90,27,8,45,16,52,49,82,86,83,88,5084,0,4467,0,[]
37,24,12,58,83,49,54,75,88,77,91,27,10,44,16,52,47,82,85,82,84,5209,0,4598,0,[]
38,23,11,57,83,45,54,78,89,84,89,31,8,46,14,50,47,82,82,80,83,5400,0,4722,0,[]
39,23,11,67,82,51,52,78,86,82,88,29,8,40,16,54,46,84,80,86,84,5500,0,4864,0,[]
40,23,11,75,74,49,53,78,85,79,84,28,9,36,16,56,49,85,85,86,84,5668,0,5017,0,[]
41,24,12,71,66,53,48,80,89,80,87,30,8,40,16,56,44,88,83,85,82,5739,0,5108,0,[]
42,19,24,74,68,54,49,80,84,88,86,26,8,37,16,56,44,88,78,89,80,5906,0,5277,0,[]
43,26,32,74,70,52,50,83,85,89,84,22,7,36,15,57,45,87,79,89,81,6006,0,5394,0,[]
44,25,30,79,75,52,51,83,86,86,87,25,10,28,22,53,45,85,78,89,81,6083,0,5487,0,[]
45,23,35,79,75,53,47,85,84,89,81,19,16,24,29,57,45,87,76,89,77,6196,0,5558,0,[]
46,23,34,4,91,49,50,85,84,89,82,23,13,24,28,59,44,86,74,89,75,6268,0,5672,0,[]
47,19,22,10,82,42,56,84,82,86,80,23,12,29,23,54,46,87,68,87,66,6365,0,5727,0,[]
48,12,20,18,74,42,56,87,78,79,73,15,17,20,24,52,48,89,70,82,67,6415,0,5840,0,[]
49,10,25,27,67,2,96,87,76,75,65,11,24,11,23,50,49,92,71,84,66,6487,0,5961,0,[]
50,7,32,31,58,45,52,86,79,76,59,14,19,13,21,51,49,91,74,87,72,6590,0,6138,0,[]
51,7,32,32,46,46,50,87,79,78,71,14,20,15,21,51,49,92,73,89,73,6710,0,6328,0,[]
52,2,96,29,38,50,45,88,76,84,78,12,23,16,22,59,41,92,73,88,71,7010,0,6495,0,[]
53,7,31,33,38,49,46,82,78,80,76,16,22,19,25,59,41,91,69,90,69,7166,0,6546,0,[]
54,9,27,35,38,47,48,82,78,80,76,16,22,19,25,95,4,90,70,89,70,7303,0,6745,0,[]
55,9,26,26,37,50,43,85,80,5,96,90,6,91,12,58,42,88,68,85,65,7420,0,6815,0,[]
56,11,24,18,44,48,47,82,83,17,89,84,11,85,24,53,47,79,64,81,66,7492,0,6863,0,[]
57,11,23,14,42,47,49,82,82,25,83,76,19,81,35,54,48,72,65,77,62,7729,0,6916,0,[]
58,11,23,20,50,44,51,84,83,34,77,69,27,80,47,52,48,80,66,86,66,7832,0,6995,0,[]
59,10,23,25,57,45,54,84,88,47,70,59,36,82,55,52,47,88,69,84,66,7908,0,7114,0,[]
60,9,24,24,57,46,51,84,88,56,67,53,41,82,56,51,50,91,71,95,4,8094,0,7207,0,[]
61,10,21,30,55,46,50,8,96,60,63,44,38,81,55,51,49,91,71,92,12,8184,0,7348,0,[]
62,11,20,33,44,47,50,19,95,57,68,39,29,77,47,54,47,91,71,92,23,8332,0,7428,0,[]
63,10,20,40,36,45,49,30,93,52,65,31,22,73,43,54,47,95,10,91,34,8404,0,7551,0,[]
64,11,20,50,34,49,46,41,92,46,57,21,20,72,41,57,44,94,21,89,47,8465,0,7658,0,[]
65,13,20,49,34,50,47,52,91,50,61,20,14,69,40,59,49,93,32,88,57,8652,0,7776,0,[]
66,15,17,41,39,47,49,63,89,57,69,25,14,58,34,57,49,91,43,87,68,8742,0,7831,0,[]
67,17,15,32,45,45,52,74,87,65,77,24,13,54,31,52,47,90,54,85,78,8880,0,7903,0,[]
68,19,14,31,57,48,53,84,85,75,78,18,11,63,39,51,46,89,65,88,80,9038,0,8016,0,[]
69,18,12,40,65,48,53,82,84,81,83,27,10,67,49,53,46,87,75,88,81,9281,0,8179,0,[]
70,22,12,46,64,52,56,84,85,81,85,32,7,63,61,55,47,86,80,86,85,9550,0,8251,0,[]
