,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,3,97,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,95,5,97,2,99,1,97,2,95,94,5,95,5,95,2,96,4,93,3,2500,0,2500,0,[]
2,3,94,5,97,2,99,5,96,3,94,93,5,93,5,93,5,94,5,94,4,2500,0,2500,0,[]
3,4,94,5,97,4,96,5,96,3,94,93,5,92,5,93,6,94,6,93,6,2500,0,2500,0,[]
4,14,74,16,78,18,82,28,93,24,86,70,7,72,17,80,23,84,26,81,24,2500,0,2500,0,[]
5,19,52,32,61,34,66,50,89,41,71,48,11,54,31,63,38,80,48,66,40,2500,0,2500,0,[]
6,23,34,34,43,45,53,68,80,50,66,29,20,39,38,53,48,76,66,64,58,2500,0,2500,0,[]
7,20,28,35,39,46,52,63,76,51,66,29,22,42,33,53,48,79,74,62,62,2500,0,2500,0,[]
8,20,27,35,39,44,52,57,69,51,65,29,22,42,32,53,48,79,75,60,60,2500,0,2500,0,[]
9,20,27,34,39,45,54,56,67,49,66,29,23,95,4,51,45,79,75,62,61,2500,0,2500,0,[]
10,20,27,35,39,46,52,56,68,51,64,29,22,85,8,44,36,79,76,64,57,2500,0,2500,0,[]
11,20,28,35,39,44,55,56,68,51,65,29,22,75,13,46,35,79,76,64,57,2500,0,2500,0,[]
12,21,30,34,39,45,54,57,68,51,65,29,23,65,20,46,36,80,75,64,57,2500,0,2500,0,[]
13,30,36,35,42,44,49,57,68,52,65,29,23,57,28,47,35,79,75,64,57,2500,0,2500,0,[]
14,41,37,31,52,45,42,56,68,51,65,27,23,47,24,49,34,77,73,66,59,2500,0,2500,0,[]
15,38,37,36,63,45,42,56,68,51,66,20,28,46,24,51,31,79,74,74,69,2500,0,2500,0,[]
16,27,37,45,71,45,52,56,68,51,66,20,27,46,25,48,32,79,75,79,74,2500,0,2520,0,[]
17,18,34,47,72,48,51,61,75,59,72,20,27,50,26,47,36,79,76,79,75,2500,0,2520,0,[]
18,11,30,51,74,47,54,66,79,67,78,20,27,47,25,50,46,79,75,78,75,2500,0,2520,0,[]
19,7,20,50,76,46,55,74,87,73,85,22,25,46,23,50,49,82,81,83,79,2521,0,2541,0,[]
20,8,17,50,78,48,55,79,83,82,89,19,17,44,23,50,49,86,83,84,82,2563,0,2604,0,[]
21,8,17,49,81,50,53,79,86,84,87,19,14,41,23,51,48,83,83,86,84,2726,0,2795,0,[]
22,8,17,55,82,49,54,80,84,82,87,19,16,30,22,52,47,83,82,84,84,2877,0,2866,0,[]
23,11,18,54,84,48,53,77,88,78,89,19,14,19,25,52,48,82,84,84,87,3004,0,2973,0,[]
24,8,18,53,84,49,52,69,91,71,92,18,14,21,31,52,46,76,88,76,87,3118,0,3024,0,[]
25,14,17,53,86,52,51,74,93,75,92,18,14,32,36,54,44,78,86,78,87,3297,0,3088,0,[]
26,10,19,54,83,52,50,79,88,79,89,17,15,43,36,52,44,82,82,81,82,3424,0,3234,0,[]
27,10,18,53,85,48,53,75,88,74,87,17,14,49,33,53,45,81,88,75,78,3544,0,3319,0,[]
28,10,21,49,78,50,51,75,88,73,87,16,15,53,32,53,46,80,87,68,79,3615,0,3504,0,[]
29,12,19,46,66,56,56,69,91,71,90,16,14,55,31,55,42,78,84,63,78,3757,0,3590,0,[]
30,13,18,46,67,50,53,71,90,72,88,18,15,56,32,51,44,78,85,74,78,3866,0,3724,0,[]
