,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,96,4,97,2,98,1,97,2,95,93,5,96,5,95,2,96,4,93,3,0,0,0,0,[]
2,3,94,3,95,4,94,5,96,5,96,92,4,93,5,93,5,94,5,93,5,0,0,0,0,[]
3,3,95,4,95,5,94,5,96,5,96,92,4,92,4,93,7,94,6,93,6,0,0,0,0,[]
4,12,75,18,76,25,85,27,92,26,93,69,7,72,15,79,23,84,26,78,23,0,0,0,0,[]
5,18,53,31,58,42,70,50,89,49,93,46,12,54,31,63,39,80,48,63,39,0,0,0,0,[]
6,23,34,33,43,52,65,69,81,72,91,28,20,42,32,51,51,73,65,51,51,0,0,0,0,[]
7,20,26,33,43,52,66,76,75,83,89,28,20,42,32,52,46,72,64,59,50,0,0,0,0,[]
8,19,25,3,94,52,66,79,75,88,84,28,21,42,32,51,46,73,63,67,48,0,0,0,0,[]
9,18,25,9,83,52,66,79,75,88,83,28,21,42,32,52,47,74,64,66,54,0,0,0,0,[]
10,19,25,14,73,51,65,79,75,88,83,28,21,42,32,52,47,74,63,64,58,0,0,0,0,[]
11,19,25,18,62,52,65,79,75,88,83,29,21,42,32,51,47,73,63,64,57,0,0,0,0,[]
12,19,25,19,51,52,64,79,74,89,83,29,21,42,32,52,45,74,63,67,60,0,0,0,0,[]
13,18,24,23,48,51,65,76,76,89,83,29,21,40,34,54,46,79,64,79,64,0,0,0,0,[]
14,19,25,23,48,50,66,72,83,88,84,29,21,50,35,52,46,87,67,88,68,0,0,0,0,[]
15,19,25,23,48,51,65,83,87,89,83,29,21,54,31,52,47,87,69,90,72,0,0,0,0,[]
16,18,24,23,48,50,61,90,81,88,83,29,22,54,31,53,47,87,69,90,72,0,0,0,0,[]
17,19,24,23,48,50,59,90,81,90,81,28,17,54,31,50,48,87,70,90,72,0,0,0,0,[]
18,17,18,24,46,46,53,90,81,90,81,20,9,52,32,49,48,88,70,89,72,0,0,0,0,[]
19,16,21,22,45,46,47,88,82,88,81,17,16,53,33,53,50,86,78,83,80,0,0,0,0,[]
20,14,17,20,45,46,49,84,84,89,83,19,16,53,37,54,46,88,77,89,78,0,0,0,0,[]
21,14,16,20,46,48,52,83,85,87,86,18,15,52,33,52,46,86,78,91,79,0,0,0,0,[]
22,11,16,18,45,46,51,82,85,86,87,13,16,48,27,52,47,87,80,87,81,0,0,0,0,[]
23,15,15,16,44,43,53,85,84,85,87,18,13,47,25,53,54,88,78,88,78,0,0,0,0,[]
24,9,18,18,46,43,52,85,81,89,83,12,17,48,23,50,51,90,73,90,73,0,0,0,0,[]
25,10,20,19,48,43,54,87,79,90,79,15,16,48,23,49,52,89,74,89,74,0,0,0,0,[]
26,9,18,24,56,44,56,88,82,89,82,16,17,44,17,49,52,89,75,92,76,0,0,0,0,[]
27,10,19,33,62,44,56,88,83,87,82,13,16,42,17,50,50,90,77,91,77,0,0,0,0,[]
28,11,17,43,67,39,56,88,82,81,77,16,16,40,16,45,53,90,75,91,74,0,0,0,0,[]
29,10,21,44,68,43,58,87,80,85,80,14,15,41,16,45,54,91,74,91,74,0,0,0,0,[]
30,8,24,47,69,44,53,88,80,86,79,17,21,43,15,48,51,88,73,89,70,0,0,0,0,[]
31,8,24,44,68,45,57,88,80,86,79,12,21,42,15,48,49,88,72,81,66,0,0,0,0,[]
32,11,27,45,71,44,56,86,81,83,80,9,24,39,15,50,51,89,76,87,68,0,0,0,0,[]
33,8,25,49,73,42,53,85,82,81,78,12,20,39,15,49,54,88,77,88,77,0,0,0,0,[]
34,9,26,52,75,45,53,87,80,83,80,11,21,94,6,51,51,89,76,89,76,0,0,0,0,[]
35,10,29,51,75,47,52,84,80,85,81,10,25,89,18,53,52,89,75,89,78,0,0,0,0,[]
36,7,28,53,76,44,52,88,80,86,79,10,23,83,28,50,50,88,74,88,74,0,0,0,0,[]
37,7,26,57,83,46,51,88,77,89,78,11,23,81,38,54,47,92,73,92,72,0,0,0,0,[]
38,10,26,58,83,45,52,86,80,87,81,9,22,79,49,51,47,88,74,90,76,0,0,0,0,[]
39,10,29,59,84,44,53,88,82,85,81,9,21,73,53,51,50,89,75,91,76,0,0,0,0,[]
40,8,27,59,84,46,51,86,79,82,79,11,21,75,54,52,50,89,74,91,75,0,0,0,0,[]
41,6,27,63,82,46,51,85,79,76,72,11,24,74,55,52,49,89,73,91,74,0,0,0,0,[]
42,7,30,71,78,46,51,83,78,75,63,17,23,77,55,53,48,90,71,88,69,0,0,0,0,[]
43,6,27,76,69,51,54,85,83,77,68,25,32,76,58,51,47,87,75,86,74,0,0,0,0,[]
44,8,23,68,62,50,51,82,86,76,73,21,27,77,47,54,44,85,79,85,79,0,0,0,0,[]
45,8,24,62,62,52,50,83,84,80,80,13,21,73,43,53,44,86,77,86,77,0,0,0,0,[]
46,7,28,58,60,52,50,86,83,82,81,9,24,69,40,55,42,87,75,87,75,0,0,0,0,[]
47,11,26,58,67,50,47,87,82,88,84,9,22,64,38,53,43,89,76,89,76,0,0,0,0,[]
48,9,24,58,67,47,49,84,81,88,83,15,21,55,32,53,45,89,74,91,75,0,0,0,0,[]
49,9,22,6,90,46,50,86,82,89,83,14,21,44,36,54,46,88,76,91,77,0,0,0,0,[]
50,9,21,13,77,48,51,87,82,89,83,13,19,34,40,54,46,87,77,91,77,0,0,0,0,[]
51,9,21,17,66,48,51,85,83,88,85,14,17,36,49,55,47,89,76,89,76,0,0,0,0,[]
52,7,22,18,55,44,56,88,80,89,83,12,21,44,49,51,48,87,74,87,74,0,0,0,0,[]
53,7,26,27,50,49,51,85,80,89,82,9,21,43,44,52,44,90,74,90,74,0,0,0,0,[]
54,10,27,36,42,45,51,87,76,90,79,11,20,43,43,53,44,91,71,91,71,0,0,0,0,[]
55,11,30,44,45,44,50,88,74,89,76,17,22,42,42,50,44,91,69,91,69,0,0,0,0,[]
56,8,23,52,46,50,48,87,77,89,78,11,22,40,40,59,40,90,71,90,71,0,0,0,0,[]
57,11,30,44,44,46,49,87,76,89,83,11,21,34,39,59,40,90,71,91,73,0,0,0,0,[]
58,11,29,34,38,37,42,85,78,89,83,12,23,28,34,58,41,90,72,89,74,0,0,0,0,[]
59,10,28,25,30,29,36,82,79,8,96,17,23,25,28,61,40,88,73,91,74,0,0,0,0,[]
60,17,23,21,28,24,31,70,79,17,95,24,23,27,24,61,40,89,75,86,76,0,0,0,0,[]
61,27,19,27,21,27,24,70,79,28,93,27,16,30,19,93,6,85,79,82,82,0,0,0,0,[]
62,25,15,27,16,24,14,2,96,39,92,27,14,25,15,91,8,83,80,82,81,0,0,0,0,"['5:8 SNMaple(Íò»¨Í¨Áé) »÷É±ÁË DMOChanghong(»úÐµ¹«µÐ),»ñµÃÒ»Ñª', '5:10 DMOXiaopeng(ÓÀºãÃÎ÷Ê) »÷É±ÁË SNMaple(Íò»¨Í¨Áé)']"
63,20,15,27,18,24,14,2,96,50,91,27,14,30,9,78,19,83,82,82,81,0,0,0,0,[]
64,12,22,23,27,24,14,71,91,60,90,27,14,30,9,70,27,82,81,78,82,0,0,0,0,[]
65,10,25,19,25,2,96,73,90,71,91,95,4,39,15,63,35,84,79,84,79,0,0,0,0,[]
66,10,22,13,21,48,50,73,90,72,90,11,21,31,12,55,43,95,4,95,4,0,0,0,0,[]
67,14,17,14,21,45,49,73,88,73,88,16,16,20,14,50,46,95,5,90,12,0,0,0,0,[]
68,18,20,20,21,48,54,76,88,78,89,20,15,20,21,50,47,95,5,95,5,0,0,0,0,['5:39 DMOChanghong(»úÐµ¹«µÐ) »÷É±ÁË SNWeiwei(ÁÝ¶¬Ö®Å­)']
69,24,22,20,21,46,52,80,88,82,90,21,20,27,22,49,47,82,82,84,81,0,0,0,0,[]
70,24,14,20,21,44,53,78,88,82,90,27,19,28,16,50,46,83,81,83,81,0,0,0,0,['5:48 SNBiubiu(»ÄÄ®ÍÀ·ò) »÷É±ÁË DMOXiaopeng(ÓÀºãÃÎ÷Ê)']
71,15,16,5,89,43,54,78,88,83,90,18,16,28,16,49,50,81,83,81,83,0,0,0,0,[]
72,22,12,8,78,42,57,80,87,83,89,23,11,28,16,47,50,86,79,86,79,0,0,0,0,[]
73,21,11,15,69,41,58,80,87,82,90,24,11,86,7,47,52,86,79,86,79,0,0,0,0,['6:1 SNBiubiu(»ÄÄ®ÍÀ·ò) »÷É±ÁË DMOChanghong(»úÐµ¹«µÐ)']
74,21,10,18,58,41,59,80,85,85,87,24,11,73,7,45,53,85,79,85,79,0,0,0,0,[]
75,17,10,21,46,41,58,81,85,87,85,24,11,63,11,46,52,88,78,88,78,0,0,0,0,[]
76,17,10,27,36,41,56,83,85,87,85,87,5,54,17,53,48,90,78,90,79,0,0,0,0,[]
77,4,93,23,35,51,61,84,85,82,83,75,6,44,17,53,44,88,76,88,79,0,0,0,0,[]
78,6,79,21,44,54,61,81,78,77,74,62,6,42,18,50,49,88,75,88,75,0,0,0,0,[]
79,7,66,16,44,45,55,81,77,75,64,49,7,42,16,48,48,91,74,91,74,0,0,0,0,[]
