,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,4,96,2,95,93,5,95,5,94,2,96,3,93,3,0,0,0,0,[]
2,3,95,3,95,4,95,5,96,4,95,94,4,93,4,92,4,94,7,93,5,0,0,0,0,[]
3,4,95,4,94,5,95,5,96,5,96,92,5,92,4,92,4,94,7,93,6,0,0,0,0,[]
4,14,73,19,76,22,81,27,93,24,86,70,7,73,14,75,19,83,27,80,23,0,0,0,0,[]
5,19,51,31,57,37,65,49,89,41,71,47,12,55,30,61,37,80,48,66,39,0,0,0,0,[]
6,23,34,34,43,46,53,69,81,49,65,30,20,45,34,54,51,73,63,65,57,0,0,0,0,[]
7,20,27,34,42,46,53,75,77,50,65,30,19,46,34,53,48,72,64,64,57,0,0,0,0,[]
8,19,25,34,42,48,59,65,77,50,65,30,19,46,34,53,47,72,64,65,57,0,0,0,0,[]
9,20,27,34,42,46,58,62,77,49,65,30,20,45,34,53,47,72,64,65,57,0,0,0,0,[]
10,19,25,34,42,45,54,59,70,49,65,30,19,46,34,52,48,73,63,65,57,0,0,0,0,[]
11,20,26,34,43,44,55,60,72,49,65,30,19,47,34,52,48,73,62,64,57,0,0,0,0,[]
12,19,24,33,43,45,54,63,78,50,65,30,20,45,33,53,48,73,63,64,57,0,0,0,0,[]
13,20,27,32,50,45,55,67,80,50,65,30,20,45,33,51,49,72,64,64,57,0,0,0,0,[]
14,20,27,34,60,45,55,67,80,50,65,30,20,90,13,53,48,72,64,64,57,0,0,0,0,[]
15,19,24,43,68,49,58,61,76,50,65,30,19,85,23,55,48,72,64,64,57,0,0,0,0,[]
16,20,25,45,71,46,56,53,76,47,69,30,20,81,33,54,49,73,63,71,62,0,0,0,0,[]
17,26,22,49,74,46,54,53,76,50,75,29,21,80,47,51,49,74,62,75,57,0,0,0,0,[]
18,23,23,51,73,48,52,54,76,51,74,26,17,74,53,53,48,75,56,74,55,0,0,0,0,[]
19,15,17,51,76,46,53,56,76,56,76,17,13,73,53,51,50,76,57,74,55,0,0,0,0,[]
20,13,16,53,76,47,50,66,78,68,78,15,11,76,53,52,47,80,66,78,62,0,0,0,0,[]
21,15,17,57,77,48,50,76,79,78,74,18,13,76,47,54,45,87,70,86,66,0,0,0,0,[]
22,16,17,68,78,49,52,81,84,79,75,17,13,73,42,54,46,86,79,87,76,0,0,0,0,[]
23,19,12,78,73,51,48,81,84,79,75,22,13,71,40,56,45,87,81,89,83,0,0,0,0,[]
