,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,99,1,97,2,95,93,5,95,5,95,2,96,4,93,3,2500,0,2500,0,[]
2,3,94,4,95,4,94,4,96,5,96,93,4,93,5,93,5,95,7,94,6,2500,0,2500,0,[]
3,3,94,4,95,4,94,5,96,5,95,92,4,93,5,93,5,95,7,94,6,2500,0,2500,0,[]
4,13,74,18,77,21,86,27,92,28,93,70,7,73,17,76,20,84,26,79,23,2500,0,2500,0,[]
5,19,60,32,60,47,67,49,89,50,88,47,11,55,30,61,38,80,47,66,41,2500,0,2500,0,[]
6,24,39,34,43,52,66,69,81,68,80,29,20,50,35,52,44,75,66,64,57,2500,0,2500,0,[]
7,25,36,33,43,52,66,73,75,67,78,22,23,50,35,55,45,76,68,64,60,2500,0,2500,0,[]
8,24,37,33,43,52,66,73,77,68,79,22,21,91,5,55,46,73,63,64,57,2500,0,2500,0,[]
9,24,36,34,43,52,65,70,79,68,79,20,20,81,10,55,46,74,61,64,57,2500,0,2500,0,[]
10,24,35,33,43,52,66,69,79,68,79,20,19,70,16,55,46,73,63,64,57,2500,0,2500,0,[]
11,24,37,31,53,51,67,68,79,68,79,19,18,69,27,55,46,73,63,64,57,2500,0,2500,0,[]
12,24,36,36,62,47,66,69,79,68,79,21,20,58,23,54,47,74,62,65,57,2500,0,2500,0,[]
13,24,37,46,68,55,68,69,79,68,79,20,20,52,21,51,49,75,64,63,62,2500,0,2500,0,[]
14,24,37,57,69,63,76,72,76,70,77,21,21,52,21,55,46,75,66,73,63,2500,0,2500,0,[]
15,24,37,65,76,72,75,76,69,74,68,27,22,52,21,55,46,79,67,78,66,2511,0,2533,0,[]
16,24,37,65,77,73,67,76,72,75,61,38,23,46,24,59,50,83,65,83,67,2511,0,2533,0,[]
17,21,38,54,76,63,63,81,80,76,71,45,24,46,24,52,47,87,73,87,70,2511,0,2533,0,[]
18,12,34,51,75,52,60,85,84,83,80,47,24,48,25,49,43,88,75,90,77,2511,0,2544,0,[]
19,11,26,49,74,47,52,83,83,87,85,42,23,47,24,49,43,86,79,91,80,2533,0,2555,0,[]
20,12,25,48,74,48,52,82,87,85,88,31,20,49,25,52,48,83,81,87,82,2628,0,2555,0,[]
21,16,22,46,72,50,52,80,84,86,87,23,14,46,23,50,47,84,80,87,82,2784,0,2697,0,[]
22,13,18,46,64,49,52,86,83,88,84,14,13,46,16,54,46,86,76,89,78,2900,0,2822,0,[]
23,13,16,46,66,49,52,88,79,81,78,13,14,46,16,51,46,91,72,89,72,3056,0,2904,0,[]
