,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,98,2,99,0,97,1,95,4,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,97,2,98,1,97,2,95,4,95,94,5,95,5,95,2,97,3,93,3,0,0,0,0,[]
2,5,97,3,94,4,97,4,96,4,95,94,3,93,5,94,6,94,7,93,5,0,0,0,0,[]
3,5,97,4,95,5,97,5,96,4,95,92,5,93,5,94,6,94,7,93,6,0,0,0,0,[]
4,27,92,22,90,26,93,27,93,22,81,69,7,73,16,79,21,82,25,78,24,0,0,0,0,[]
5,49,88,43,88,48,90,49,89,38,64,47,12,55,30,66,40,80,48,67,43,0,0,0,0,[]
6,67,82,64,83,67,82,68,81,45,58,29,20,52,32,66,53,78,65,67,54,0,0,0,0,[]
7,68,79,69,79,68,79,69,78,46,58,28,21,54,32,66,46,82,64,66,48,0,0,0,0,[]
8,68,80,68,80,68,80,69,78,39,65,29,22,95,4,66,47,79,54,66,48,0,0,0,0,[]
9,69,80,68,80,68,80,69,77,47,71,29,20,85,8,66,47,72,48,66,48,0,0,0,0,[]
10,69,80,68,80,68,80,69,78,49,82,29,22,75,13,66,47,67,48,66,48,0,0,0,0,[]
11,67,80,68,80,68,80,69,78,60,83,29,22,66,20,66,47,67,48,66,48,0,0,0,0,[]
12,64,78,68,80,68,80,69,78,69,80,30,21,59,28,66,47,67,48,66,48,0,0,0,0,[]
13,56,76,2,96,70,81,69,80,65,78,29,20,62,37,66,47,67,48,66,48,0,0,0,0,[]
14,46,72,6,86,71,90,73,91,54,76,29,23,64,40,65,50,67,48,66,48,0,0,0,0,[]
15,44,68,9,75,72,92,77,93,45,71,30,20,63,38,65,41,67,48,66,48,0,0,0,0,[]
16,43,68,9,61,84,89,87,85,41,61,30,22,61,38,58,44,67,48,67,48,0,0,0,0,[]
17,44,67,11,50,89,82,90,81,46,53,30,20,53,33,54,41,77,49,78,50,0,0,0,0,[]
18,46,65,11,41,89,83,90,81,48,48,28,19,53,33,55,45,76,56,75,56,0,0,0,0,[]
19,44,67,11,30,87,82,89,80,54,48,20,14,52,33,56,42,75,63,74,64,0,0,0,0,[]
20,48,66,14,20,83,84,87,84,51,49,16,14,53,34,56,46,82,66,83,66,0,0,0,0,[]
21,45,67,14,17,84,82,89,81,48,53,17,13,51,27,50,48,88,71,87,73,0,0,0,0,[]
22,50,74,11,16,84,79,87,79,52,48,17,16,53,28,55,43,88,73,89,72,0,0,0,0,[]
23,53,76,10,15,88,75,88,77,49,48,17,15,50,24,57,46,93,70,90,69,0,0,0,0,[]
24,46,72,11,15,89,76,89,75,48,48,16,16,48,21,54,47,92,66,92,67,0,0,0,0,[]
25,54,76,12,14,89,78,89,77,51,46,18,15,46,16,55,48,90,71,89,70,0,0,0,0,[]
26,52,76,13,16,84,80,90,81,53,47,18,15,42,16,58,45,88,76,88,75,0,0,0,0,[]
27,55,83,15,13,83,80,86,82,51,46,22,14,40,15,57,44,89,77,88,76,0,0,0,0,[]
28,52,84,14,15,88,79,91,77,53,46,20,14,39,15,60,43,92,75,91,75,0,0,0,0,[]
29,56,84,17,13,89,77,86,77,53,44,22,13,39,16,57,43,90,69,90,70,0,0,0,0,[]
30,55,84,20,13,89,77,86,78,51,47,25,10,39,15,56,44,89,70,92,68,0,0,0,0,[]
31,52,83,22,10,89,80,86,78,51,50,25,7,39,15,54,43,89,73,90,72,0,0,0,0,[]
32,47,72,18,9,90,79,86,79,50,47,25,10,93,8,57,44,89,74,89,74,0,0,0,0,[]
33,50,61,20,8,89,80,85,78,50,48,26,11,91,13,55,47,89,74,89,74,0,0,0,0,[]
34,43,54,20,11,90,79,88,77,51,47,25,8,85,23,57,46,90,72,91,73,0,0,0,0,[]
35,33,49,23,12,91,78,88,78,51,46,27,6,81,33,57,43,88,73,89,73,0,0,0,0,[]
36,23,46,27,16,89,80,85,78,53,47,27,6,80,44,57,42,88,73,89,72,0,0,0,0,[]
37,23,42,25,11,88,79,86,78,54,48,27,6,80,54,54,42,91,73,91,72,0,0,0,0,[]
38,23,39,24,10,85,79,85,78,50,50,27,6,82,58,56,44,90,74,90,73,0,0,0,0,[]
39,24,40,22,11,85,78,80,76,51,47,29,8,81,56,57,43,90,75,90,73,0,0,0,0,[]
40,33,38,19,12,86,78,75,66,49,46,26,7,79,53,55,45,90,72,90,72,0,0,0,0,[]
41,27,35,21,10,79,75,74,63,52,46,27,8,79,51,57,44,93,70,87,66,0,0,0,0,[]
42,21,29,22,11,73,75,73,69,51,50,27,12,77,51,58,49,92,72,86,65,0,0,0,0,[]
43,25,36,20,13,74,74,75,73,55,51,25,8,76,47,55,52,90,74,88,71,0,0,0,0,[]
44,22,42,17,9,74,74,76,73,54,52,23,10,77,46,54,44,85,81,87,78,0,0,0,0,"['3:36 EDGScout(刀锋舞者) 击杀了 V5Windy(未来守护者),获得一血']"
45,17,45,14,12,79,82,80,83,54,52,18,10,73,48,54,43,86,81,88,84,0,0,0,0,[]
46,16,44,17,9,81,84,83,85,6,94,24,9,67,46,94,4,87,81,89,82,0,0,0,0,[]
47,19,50,21,10,83,84,87,85,16,88,28,9,65,40,87,9,87,79,88,80,0,0,0,0,[]
48,21,53,21,12,80,85,84,85,24,79,27,9,58,34,80,17,84,80,82,80,0,0,0,0,[]
49,21,52,19,11,82,84,84,85,32,71,24,8,48,33,72,24,84,80,85,79,0,0,0,0,[]
50,28,51,17,11,81,88,84,87,39,63,23,11,41,31,65,33,85,81,84,80,0,0,0,0,[]
51,35,38,18,12,80,87,80,85,46,55,24,10,46,34,58,41,83,82,85,84,0,0,0,0,[]
52,45,35,20,12,83,85,87,85,49,49,25,13,52,33,53,50,83,80,85,81,0,0,0,0,[]
53,41,28,20,13,85,78,87,76,50,52,22,10,47,35,54,44,87,73,84,80,0,0,0,0,[]
54,49,22,21,8,84,80,88,78,51,51,24,7,43,35,53,43,91,72,90,73,0,0,0,0,[]
55,44,21,18,11,85,82,86,81,48,48,31,6,49,33,56,46,89,74,88,76,0,0,0,0,[]
56,36,14,23,12,85,84,84,80,49,46,31,6,59,35,57,46,87,77,89,77,0,0,0,0,[]
57,36,15,20,11,87,82,82,79,50,47,26,7,67,42,57,44,87,75,88,75,0,0,0,0,[]
58,34,11,23,11,86,81,85,77,51,46,29,6,72,54,58,44,89,73,89,74,0,0,0,0,[]
59,29,10,22,10,81,84,78,73,48,53,28,10,74,62,57,44,93,70,88,68,0,0,0,0,[]
60,34,7,27,9,73,85,76,75,48,58,33,6,76,68,55,45,92,74,89,74,0,0,0,0,['4:58 V5Ben4(狂野女猎手) 击杀了 EDGJinoo(猩红收割者)']
61,38,16,34,9,2,96,69,80,48,51,33,6,71,77,55,48,86,78,79,78,0,0,0,0,[]
62,38,15,36,13,7,96,61,85,46,51,33,6,68,81,52,47,84,82,81,83,0,0,0,0,[]
63,43,18,36,15,9,96,62,84,45,52,95,4,64,83,46,53,85,84,78,86,0,0,0,0,[]
64,41,17,30,19,63,86,62,85,47,54,27,8,65,83,51,51,79,84,67,83,0,0,0,0,[]
65,36,16,30,19,68,91,68,92,49,57,26,10,71,77,54,50,78,81,74,87,0,0,0,0,[]
66,36,23,2,96,71,91,71,90,45,51,26,9,78,73,54,48,95,4,78,73,0,0,0,0,[]
67,36,23,4,87,74,89,65,88,45,51,27,16,70,65,52,49,95,7,78,73,0,0,0,0,[]
68,6,95,12,21,81,90,65,88,45,54,18,13,65,59,49,50,94,18,94,6,0,0,0,0,[]
69,15,91,15,15,82,89,7,95,44,53,14,10,65,57,52,51,93,29,93,8,0,0,0,0,[]
70,27,85,14,19,79,89,14,94,44,53,17,11,95,4,50,51,92,40,89,21,0,0,0,0,[]
71,36,76,16,17,82,89,22,89,44,56,18,11,93,8,48,48,91,51,89,33,0,0,0,0,[]
72,44,68,14,16,82,87,30,83,45,56,14,10,88,18,46,45,90,62,89,44,0,0,0,0,[]
73,45,65,13,23,83,87,39,76,43,55,14,17,83,28,48,48,88,73,88,56,0,0,0,0,[]
74,54,67,14,22,81,88,49,68,42,57,15,15,80,39,45,52,84,81,87,67,0,0,0,0,[]
75,59,70,13,22,80,88,57,67,41,57,18,18,79,50,49,51,84,81,84,78,0,0,0,0,[]
76,60,76,12,20,81,88,64,76,43,54,17,15,76,59,59,50,84,81,81,79,0,0,0,0,[]
77,59,83,12,17,82,84,72,84,42,56,17,17,70,64,65,56,85,80,74,71,0,0,0,0,[]
78,60,82,11,17,81,84,79,83,43,54,17,16,64,62,64,64,88,77,71,68,0,0,0,0,[]
79,61,84,10,17,84,88,80,85,43,53,14,15,72,63,59,62,86,75,79,75,0,0,0,0,[]
80,60,84,15,14,83,86,82,85,44,54,22,11,79,56,55,56,86,80,83,78,0,0,0,0,[]
81,70,79,17,12,84,85,86,86,43,53,23,13,80,55,51,51,84,80,85,80,0,0,0,0,[]
82,78,74,14,14,83,82,86,80,44,53,20,13,80,55,56,54,87,76,88,76,0,0,0,0,[]
83,68,79,17,18,84,83,90,80,49,58,21,11,77,49,56,55,89,76,88,75,0,0,0,0,[]
84,59,74,26,22,87,83,81,78,48,56,28,8,75,44,53,48,90,75,89,76,0,0,0,0,[]
85,57,65,24,12,89,81,86,79,49,53,27,7,70,41,51,49,89,74,90,72,0,0,0,0,[]
86,51,64,20,9,88,81,87,84,50,54,27,7,62,37,50,47,87,75,89,74,0,0,0,0,[]
87,49,73,18,10,89,81,81,85,49,55,25,7,53,33,50,48,89,74,90,72,0,0,0,0,[]
88,46,72,19,9,85,87,82,81,47,54,26,10,54,32,51,48,91,69,90,68,0,0,0,0,[]
89,41,67,17,10,85,87,84,88,48,54,24,8,53,30,51,47,90,68,80,66,0,0,0,0,[]
90,31,61,18,10,5,96,84,88,47,55,25,10,52,29,53,48,90,71,73,64,0,0,0,0,[]
91,24,56,19,11,12,96,8,94,48,58,25,10,52,28,49,49,88,76,66,70,0,0,0,0,[]
92,22,54,22,9,25,94,19,91,47,54,27,8,53,30,51,47,85,81,66,69,0,0,0,0,[]
93,15,43,21,9,36,93,31,89,45,55,27,10,53,30,51,50,85,84,60,62,0,0,0,0,[]
94,15,42,23,12,47,92,35,80,44,53,26,11,91,5,49,50,83,83,56,60,0,0,0,0,[]
95,15,40,25,11,60,92,41,71,44,58,29,7,84,6,49,51,85,80,55,57,0,0,0,0,[]
96,15,40,20,15,68,91,47,73,50,61,28,8,74,10,51,49,85,80,57,56,0,0,0,0,[]
97,8,94,23,26,72,89,58,76,43,58,25,7,62,11,49,52,95,11,57,56,0,0,0,0,[]
98,20,91,23,34,69,79,66,77,43,54,24,10,51,11,51,50,94,22,94,4,0,0,0,0,[]
99,33,89,21,24,76,79,73,73,45,54,25,14,46,15,48,49,93,33,93,17,0,0,0,0,[]
100,46,88,18,16,80,84,70,69,44,52,27,18,47,15,50,50,91,44,92,30,0,0,0,0,[]
101,59,84,16,13,81,84,75,74,42,60,24,14,50,21,51,50,90,55,90,42,0,0,0,0,[]
102,71,78,18,13,80,77,78,72,42,60,24,14,54,31,53,46,88,66,89,54,0,0,0,0,[]
103,78,72,16,15,83,78,78,72,3,95,23,12,63,38,51,47,90,73,89,67,0,0,0,0,[]
104,76,61,16,14,82,79,76,61,10,92,21,14,66,47,48,51,90,77,90,78,0,0,0,0,[]
105,74,59,12,18,82,79,74,59,20,82,19,15,73,50,54,53,90,75,87,71,0,0,0,0,[]
106,73,70,12,19,86,80,74,71,28,73,18,18,78,50,63,57,90,76,81,66,0,0,0,0,[]
107,73,71,13,18,87,80,73,70,35,64,19,17,69,47,64,57,89,75,89,72,0,0,0,0,[]
108,73,71,13,18,81,81,72,69,42,56,20,15,62,41,94,5,88,76,86,78,0,0,0,0,[]
109,74,77,8,17,85,83,73,75,43,54,14,17,51,41,85,11,89,76,88,74,0,0,0,0,[]
110,71,77,12,18,84,88,73,77,46,55,17,13,57,46,79,21,86,80,79,75,0,0,0,0,[]
111,75,76,16,19,85,85,80,77,52,60,14,14,57,48,73,28,88,79,88,79,0,0,0,0,[]
112,62,75,13,22,84,86,82,84,57,60,15,18,53,47,66,37,86,80,84,79,0,0,0,0,[]
113,52,67,7,30,80,87,82,84,62,57,11,24,59,50,66,48,84,78,78,74,0,0,0,0,[]
114,49,65,7,31,78,80,77,76,58,58,14,20,66,55,60,57,86,77,76,71,0,0,0,0,[]
115,50,59,3,96,75,75,72,71,50,55,11,20,58,56,54,57,82,81,66,64,0,0,0,0,[]
116,45,65,5,88,85,79,81,77,42,53,10,20,61,59,50,49,89,80,62,62,0,0,0,0,[]
117,41,65,6,76,85,84,82,83,42,53,11,20,63,61,43,51,89,76,54,62,0,0,0,0,['9:45 EDGScout(刀锋舞者) 击杀了 V5Windy(未来守护者)']
118,35,59,6,64,87,85,79,85,42,53,11,17,67,53,52,53,89,73,59,72,0,0,0,0,[]
119,35,60,7,53,84,85,82,82,42,53,11,17,68,50,59,59,89,74,70,68,0,0,0,0,[]
120,31,58,7,40,76,87,76,87,42,53,90,5,76,46,49,52,88,74,80,75,0,0,0,0,[]
121,24,47,7,30,84,88,74,87,42,53,83,5,72,41,44,54,86,76,86,78,0,0,0,0,[]
122,24,41,9,20,84,87,82,86,42,53,71,6,64,37,40,55,85,80,85,79,0,0,0,0,[]
123,33,38,11,17,82,88,82,87,8,93,59,7,55,32,47,52,85,81,86,83,0,0,0,0,[]
124,32,30,18,19,82,89,78,87,18,85,48,9,50,33,50,51,83,80,83,85,0,0,0,0,[]
125,30,31,27,22,83,88,82,86,26,75,36,9,48,35,50,51,87,71,87,74,0,0,0,0,[]
126,28,33,25,25,83,84,86,83,34,66,26,9,39,37,86,10,87,66,87,66,0,0,0,0,[]
127,27,35,25,29,84,81,83,79,43,55,26,14,40,36,77,18,87,66,87,66,0,0,0,0,[]
128,22,43,20,26,85,83,78,75,44,51,27,21,34,36,68,26,95,4,89,7,0,0,0,0,[]
129,16,45,16,17,86,82,79,75,35,47,22,23,26,37,59,29,37,39,75,14,0,0,0,0,[]
130,21,50,15,14,90,74,80,75,34,42,20,15,37,37,58,39,46,45,70,27,0,0,0,0,[]
131,30,56,14,17,91,73,80,75,40,37,20,15,46,39,47,40,44,42,57,33,0,0,0,0,[]
132,33,43,8,19,92,73,7,95,32,37,17,21,47,35,36,38,35,38,33,37,0,0,0,0,[]
133,33,43,10,20,92,74,17,90,31,37,15,20,43,35,32,37,35,36,29,34,0,0,0,0,['11:2 EDGiBoy(战争女神) 击杀了 V5Windy(未来守护者)']
134,40,52,6,22,88,77,28,89,31,37,9,21,38,27,35,41,31,39,34,42,0,0,0,0,[]
135,50,60,5,32,90,73,39,87,31,37,11,24,31,32,44,45,27,35,28,36,0,0,0,0,[]
136,62,63,6,43,90,73,48,80,31,37,11,23,31,32,53,53,30,35,38,40,0,0,0,0,[]
137,68,68,5,44,89,73,57,74,31,37,9,30,32,32,45,55,29,35,34,38,0,0,0,0,[]
138,67,67,3,95,90,74,57,63,2,96,9,28,31,34,45,56,29,36,28,37,0,0,0,0,[]
139,68,67,4,85,85,79,57,56,13,89,10,28,27,32,41,56,27,35,28,35,0,0,0,0,[]
140,66,67,7,72,83,79,50,55,22,81,10,23,25,29,39,55,21,27,22,44,0,0,0,0,['11:40 V5 击杀了火龙']
141,65,62,10,62,83,79,40,56,29,71,9,25,19,24,33,47,13,22,20,38,0,0,0,0,[]
142,73,65,6,50,85,78,40,57,36,62,8,25,23,24,39,43,9,27,8,32,0,0,0,0,[]
143,84,66,5,44,89,72,49,53,47,54,8,22,30,18,47,44,10,29,8,29,0,0,0,0,[]
144,91,69,5,45,88,71,51,52,48,53,9,29,38,17,53,47,10,31,8,30,0,0,0,0,[]
145,91,68,5,44,89,70,53,47,52,50,8,38,45,15,56,44,12,35,13,36,0,0,0,1,"['12:1 EDG 击破了防御塔,获得一塔']"
146,91,69,5,49,89,71,48,55,45,56,9,43,43,15,53,45,11,40,8,44,0,0,0,1,[]
147,84,78,7,49,87,76,39,50,35,49,11,34,38,15,49,43,14,35,14,36,0,1,0,1,['12:11 V5Ben4(狂野女猎手) 击破了防御塔']
148,71,78,7,48,87,76,33,43,33,48,11,31,38,14,46,41,14,35,14,36,0,1,0,1,[]
149,57,83,6,47,7,95,34,39,33,42,95,4,38,14,48,43,95,9,94,5,0,1,0,1,[]
150,56,81,6,36,7,92,32,46,38,49,89,5,91,5,47,51,94,23,87,14,0,1,0,1,[]
151,52,85,7,23,19,82,32,46,43,55,80,6,88,6,50,44,93,35,76,25,0,1,0,1,[]
152,53,77,10,20,27,73,8,93,46,58,67,7,78,12,48,40,92,47,67,37,0,1,0,1,[]
153,47,73,8,18,34,63,17,84,54,66,55,8,68,18,48,40,90,53,55,47,0,1,0,1,[]
154,46,72,8,18,44,55,26,75,42,67,43,9,58,23,86,9,91,52,53,47,0,1,0,1,[]
155,46,65,5,96,49,50,34,66,32,61,30,9,53,29,80,20,85,52,60,51,0,1,0,1,[]
156,43,68,13,94,50,51,44,58,23,54,25,11,53,30,71,29,80,55,66,55,0,1,0,1,[]
157,43,68,27,93,52,50,49,49,17,44,16,18,53,33,62,37,79,56,77,56,0,1,0,1,[]
158,3,96,40,92,51,50,43,42,11,37,14,18,57,34,53,46,83,62,77,50,0,1,0,1,[]
159,9,83,53,91,49,58,48,47,5,45,14,18,66,40,58,44,87,73,66,54,0,1,0,1,[]
160,15,71,63,88,50,50,41,39,5,44,20,23,70,41,64,53,82,82,59,63,0,1,0,1,[]
161,19,61,63,87,50,48,45,45,5,44,25,32,66,41,61,50,82,82,57,72,0,1,0,1,[]
162,23,56,73,88,51,49,51,47,7,40,28,34,57,44,59,48,79,87,56,68,0,1,0,1,[]
163,35,59,74,93,47,53,48,57,10,37,33,36,55,45,55,46,78,85,59,71,0,1,0,1,[]
164,48,58,72,90,48,55,55,65,9,40,41,31,61,52,55,51,76,86,70,79,0,1,0,1,[]
165,60,59,78,89,56,59,59,61,10,40,33,23,65,58,63,58,75,78,63,76,0,1,0,1,[]
166,65,57,71,87,57,58,56,60,9,40,52,64,62,63,63,58,68,67,57,59,0,1,0,1,"['13:47 V5y4(探险家) 击杀了 EDGScout(刀锋舞者)', '13:49 EDGJiejie(死亡颂唱者) 击杀了 V5Ben4(狂野女猎手)']"
167,65,57,67,80,61,52,52,57,11,46,49,58,58,60,63,58,59,57,57,56,0,1,0,1,[]
168,65,57,58,70,66,49,41,58,11,46,44,56,50,55,63,58,66,50,68,53,0,1,0,1,['14:0 EDGiBoy(战争女神) 击杀了 V5y4(探险家)']
169,65,57,51,64,66,49,31,63,10,47,47,52,49,53,63,58,53,50,58,60,0,1,0,1,[]
170,65,57,39,65,66,49,28,68,10,47,42,56,44,55,63,58,42,54,53,56,0,1,0,1,[]
171,65,57,38,61,66,49,28,68,21,53,46,57,44,51,63,58,41,51,43,57,0,1,0,1,[]
172,65,57,43,55,66,49,7,93,11,46,58,61,43,45,95,4,49,48,48,49,0,1,0,1,[]
