,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,98,3,96,0,97,2,95,2,99,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,98,3,95,1,97,1,96,2,98,93,5,95,5,95,2,97,3,93,4,0,0,0,0,[]
2,5,96,3,94,4,97,3,96,4,96,93,5,94,6,94,5,97,3,93,4,0,0,0,0,[]
3,5,95,4,94,5,97,5,95,5,95,93,6,93,7,94,7,94,7,93,4,0,0,0,0,[]
4,18,77,16,74,27,93,24,84,22,79,79,24,83,27,81,26,84,26,92,7,0,0,0,0,[]
5,32,59,18,54,49,90,41,71,39,63,67,42,79,50,80,48,80,48,83,28,0,0,0,0,[]
6,35,41,24,35,65,82,47,55,47,55,64,58,73,67,72,65,75,66,79,50,0,0,0,0,[]
7,34,39,20,27,61,85,48,47,48,47,70,67,71,70,69,67,79,73,76,68,0,0,0,0,[]
8,35,38,20,27,62,87,44,50,44,50,72,71,77,70,72,70,77,80,79,78,0,0,0,0,[]
9,34,39,20,27,71,90,42,59,44,51,71,77,75,78,71,76,71,78,72,76,0,0,0,0,[]
10,40,36,25,25,70,89,36,67,42,41,63,78,65,77,63,76,64,77,62,77,0,0,0,0,[]
11,51,32,32,20,71,87,32,76,44,42,52,76,55,76,53,76,54,76,52,76,0,0,0,0,[]
12,41,30,30,22,72,90,31,86,44,50,54,76,51,74,52,76,51,76,51,75,0,0,0,0,[]
13,45,24,41,23,68,88,40,90,41,38,57,73,55,76,52,76,57,73,57,72,0,0,0,0,[]
14,46,24,45,23,70,88,50,91,41,31,56,68,56,67,88,4,56,75,56,67,0,0,0,0,[]
15,47,25,45,23,70,84,61,91,42,32,56,59,58,59,77,6,57,64,60,60,0,0,0,0,[]
16,51,24,49,26,69,80,71,87,51,32,57,68,57,68,66,7,57,70,57,68,0,0,0,0,[]
17,50,24,46,24,71,87,71,87,43,32,55,76,52,76,52,9,52,75,57,74,0,0,0,0,[]
18,47,26,47,25,71,87,71,87,46,33,57,65,51,74,41,10,55,76,53,76,0,0,0,0,[]
19,48,25,47,25,71,87,71,87,42,42,57,54,51,74,30,11,58,76,56,76,0,0,0,0,[]
20,48,24,39,23,71,84,71,84,45,50,54,52,52,76,22,12,66,78,65,78,0,0,0,0,[]
21,48,20,29,22,77,89,77,89,45,50,52,50,54,76,27,18,75,78,76,78,0,0,0,0,[]
22,43,18,22,22,79,88,79,88,46,52,51,48,50,75,21,13,83,82,85,84,0,0,0,0,[]
23,40,16,12,19,75,88,75,88,49,49,55,45,45,67,17,16,78,86,77,88,0,0,0,0,[]
24,40,16,15,20,72,91,72,91,49,46,56,47,46,65,19,11,77,86,77,88,0,0,0,0,[]
25,39,15,14,21,73,89,73,89,51,47,58,45,50,66,18,13,80,87,81,90,0,0,0,0,[]
26,38,15,15,18,72,89,72,89,50,45,57,43,57,69,17,12,80,84,81,91,0,0,0,0,[]
27,37,15,15,17,70,90,70,90,51,48,56,44,56,81,18,13,79,84,78,86,0,0,0,0,[]
28,38,17,15,20,73,88,73,88,46,54,54,46,58,83,17,13,80,86,80,89,0,0,0,0,[]
29,32,21,16,17,69,91,69,91,43,54,54,48,60,84,18,12,78,85,74,86,0,0,0,0,[]
30,40,29,15,21,69,91,69,91,39,60,52,50,60,85,17,13,75,87,69,80,0,0,0,0,[]
31,49,35,17,18,72,92,72,92,44,57,52,50,61,84,17,12,75,88,74,87,0,0,0,0,[]
32,48,34,13,19,72,89,72,91,44,54,52,49,65,82,18,12,75,87,76,87,0,0,0,0,[]
33,50,33,12,17,70,91,70,91,47,55,52,51,62,84,16,12,77,90,76,88,0,0,0,0,[]
34,47,33,13,21,72,92,72,92,45,53,50,50,66,83,16,16,76,87,75,87,0,0,0,0,[]
35,41,31,13,21,70,91,68,90,44,51,51,51,73,74,17,16,78,82,73,89,0,0,0,0,[]
36,37,26,12,23,70,90,70,90,44,51,51,51,74,63,17,17,78,81,77,85,0,0,0,0,[]
37,28,21,11,25,70,89,70,89,44,51,53,47,75,56,14,22,95,4,73,78,0,0,0,0,[]
