,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGHope, ,EDGMeiko, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
2,3,95,4,95,5,96,5,96,4,95,93,3,93,5,92,4,95,5,94,6,0,0,0,0,[]
3,3,94,4,95,5,96,5,96,4,95,92,4,92,4,94,6,95,4,94,6,0,0,0,0,[]
4,14,73,18,77,23,83,27,92,8,94,71,7,73,17,78,23,85,24,79,23,0,0,0,0,[]
5,19,51,32,59,41,70,50,89,26,85,48,11,55,30,62,39,80,45,66,41,0,0,0,0,[]
6,23,33,34,42,47,59,69,80,43,70,29,20,47,34,51,50,73,64,63,57,0,0,0,0,[]
7,22,31,34,40,45,58,73,72,51,65,26,23,47,34,53,47,74,63,62,58,0,0,0,0,[]
8,20,27,35,39,36,50,75,74,52,67,29,22,47,34,53,47,74,63,63,58,0,0,0,0,[]
9,24,31,35,39,34,39,76,73,56,67,29,23,47,33,52,49,73,63,63,58,0,0,0,0,[]
10,33,36,35,39,42,35,75,75,56,67,29,23,47,33,52,46,74,63,62,57,0,0,0,0,[]
11,41,33,42,36,49,32,73,76,56,67,30,21,55,32,50,41,74,63,57,55,0,0,0,0,[]
12,41,36,41,40,46,36,73,76,56,67,30,20,61,38,51,42,73,63,58,55,0,0,0,0,[]
13,40,36,44,50,43,45,71,76,56,67,27,22,62,39,55,42,73,63,64,58,0,0,0,0,[]
14,30,36,51,62,47,52,66,77,56,67,20,27,70,48,54,45,72,64,64,59,0,0,0,0,[]
15,28,37,56,67,49,58,58,70,56,67,20,27,76,52,57,42,73,64,73,63,0,0,0,0,[]
16,33,38,57,66,52,60,57,64,59,62,19,26,76,53,54,43,74,61,74,55,0,0,0,0,[]
17,25,37,63,60,57,55,64,59,61,57,19,25,75,54,54,47,77,53,74,54,0,0,0,0,[]
18,19,39,67,53,55,53,68,54,67,53,19,26,75,53,50,48,77,54,74,54,0,0,0,0,[]
19,18,35,75,53,53,57,74,51,74,53,18,25,77,52,52,50,79,54,76,54,0,0,0,0,[]
20,11,31,75,57,51,54,73,56,76,57,16,18,78,50,53,50,79,53,80,53,0,0,0,0,[]
21,12,21,73,62,50,54,75,65,75,62,16,16,77,54,53,47,81,57,80,56,0,0,0,0,[]
22,13,22,75,61,47,50,76,67,74,57,14,15,75,55,53,49,78,56,76,56,0,0,0,0,[]
23,13,21,71,62,47,50,76,67,73,64,16,17,75,56,52,50,77,60,77,59,0,0,0,0,[]
24,12,19,61,63,46,52,79,74,77,73,15,16,77,53,53,49,80,65,80,65,0,0,0,0,[]
25,9,22,57,71,45,52,82,82,82,82,13,18,79,51,51,50,87,69,87,69,0,0,0,0,[]
26,10,24,52,75,45,56,81,83,86,85,10,18,79,49,49,49,87,79,89,80,0,0,0,0,[]
27,10,27,51,75,44,52,81,83,84,86,12,20,79,51,49,48,85,82,87,83,0,0,0,0,[]
28,11,23,52,75,44,55,81,83,87,85,12,18,78,50,47,51,87,82,88,81,0,0,0,0,[]
29,11,24,51,75,45,52,82,83,86,86,14,21,73,44,48,50,87,80,89,81,0,0,0,0,[]
30,10,25,53,76,46,55,83,84,85,86,13,21,72,40,49,49,88,82,88,83,0,0,0,0,[]
31,10,27,54,83,48,54,84,79,88,81,11,23,68,40,50,47,89,75,91,76,0,0,0,0,[]
32,9,23,54,84,43,53,85,80,88,81,13,20,62,36,48,48,87,75,91,77,0,0,0,0,[]
33,10,24,53,84,42,55,84,78,90,80,13,20,53,29,47,52,89,74,91,76,0,0,0,0,[]
34,11,25,53,84,45,52,85,77,90,80,10,22,50,26,50,49,90,73,90,74,0,0,0,0,[]
35,9,27,51,83,44,50,89,82,88,82,10,23,45,23,50,50,88,74,90,75,0,0,0,0,[]
36,9,26,47,76,44,46,88,81,83,79,11,25,44,23,51,50,90,74,88,74,0,0,0,0,[]
