,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDRD, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,2,97,1,95,94,5,95,5,95,2,96,3,93,3,0,0,0,0,[]
2,2,96,4,96,4,95,5,96,4,95,95,5,93,4,93,5,95,6,93,5,0,0,0,0,[]
3,3,94,5,95,4,95,6,96,5,95,92,5,92,5,94,6,95,6,94,4,0,0,0,0,[]
4,23,83,25,83,22,82,28,93,25,85,72,12,72,17,73,11,85,24,82,21,0,0,0,0,[]
5,41,71,44,69,37,65,50,89,41,70,66,32,53,32,53,19,80,46,66,38,0,0,0,0,[]
6,57,70,55,76,49,60,68,80,48,68,52,44,47,38,33,22,75,66,64,57,0,0,0,0,[]
7,55,76,55,76,47,69,69,79,51,75,47,36,51,34,40,29,71,64,64,58,0,0,0,0,[]
8,55,76,54,77,53,76,69,78,54,76,47,33,52,31,47,38,66,55,66,59,0,0,0,0,[]
9,54,77,53,76,55,76,58,77,54,76,48,34,50,32,51,47,58,47,66,57,0,0,0,0,[]
10,53,76,52,76,55,76,54,76,54,76,45,33,95,4,50,49,52,41,65,57,0,0,0,0,[]
11,52,76,52,75,55,76,54,77,54,76,48,33,84,9,51,47,59,40,65,56,0,0,0,0,[]
12,52,76,51,75,54,77,54,77,54,76,50,32,75,16,50,48,70,41,66,56,0,0,0,0,[]
13,44,69,52,75,51,76,54,77,54,76,50,32,65,21,50,48,79,48,65,57,0,0,0,0,[]
14,35,62,52,75,47,73,54,76,54,76,46,33,55,30,50,48,87,57,66,54,0,0,0,0,[]
15,25,58,52,75,42,67,53,76,54,77,51,32,54,32,52,43,85,64,69,48,0,0,0,0,[]
16,17,51,52,75,41,58,54,76,54,77,54,32,54,31,49,39,84,63,69,48,0,0,0,0,[]
17,15,48,52,75,43,52,55,76,52,76,54,32,52,29,53,32,86,64,68,48,0,0,0,0,[]
18,18,47,51,73,43,42,54,76,52,75,51,29,50,26,52,29,88,67,76,53,0,0,0,0,[]
19,23,37,51,73,46,52,54,76,53,76,59,36,50,27,45,23,87,74,83,60,0,0,0,0,[]
20,20,27,50,73,47,51,64,78,63,78,54,46,52,27,34,22,85,80,87,70,0,0,0,0,[]
21,16,20,46,66,45,52,73,85,72,84,53,49,53,28,26,15,84,81,86,80,0,0,0,0,[]
22,12,17,46,65,46,50,79,88,78,88,53,48,54,32,17,14,85,83,85,82,0,0,0,0,[]
23,12,18,45,65,47,51,79,89,82,88,53,50,54,32,17,14,83,83,84,84,0,0,0,0,[]
24,15,20,37,64,47,50,77,86,80,91,53,48,55,32,15,14,84,84,82,85,0,0,0,0,[]
25,15,14,30,55,48,50,74,88,79,92,54,47,55,32,14,12,80,86,79,88,0,0,0,0,[]
26,11,19,22,50,47,50,75,88,75,91,54,48,57,33,18,16,79,87,80,91,0,0,0,0,[]
27,15,20,23,47,48,48,75,91,71,90,54,48,66,41,14,13,80,87,82,89,0,0,0,0,[]
28,13,16,22,47,52,48,73,92,72,89,57,47,73,49,17,12,80,88,82,86,0,0,0,0,[]
29,12,16,21,46,55,46,75,92,72,90,61,42,76,52,17,10,81,90,80,86,0,0,0,0,[]
30,17,16,22,54,49,48,72,93,69,94,58,45,77,52,19,10,78,90,77,88,0,0,0,0,[]
31,12,17,24,56,49,49,71,93,71,91,56,46,77,52,19,14,77,88,78,89,0,0,0,0,[]
32,15,17,22,54,50,47,76,89,78,91,56,45,75,45,17,12,82,86,82,86,0,0,0,0,[]
33,13,18,16,45,48,47,79,90,81,91,55,47,76,44,17,12,80,84,81,84,0,0,0,0,[]
34,12,17,15,43,49,48,75,89,74,90,55,47,76,46,19,13,80,85,82,87,0,0,0,0,[]
35,12,16,17,44,50,47,75,91,72,91,56,46,77,47,18,14,80,85,79,85,0,0,0,0,[]
36,12,20,23,36,47,48,72,90,70,90,55,47,68,51,16,13,80,88,78,86,0,0,0,0,[]
37,13,20,24,25,50,49,70,91,73,93,55,47,60,58,15,14,76,90,77,88,0,0,0,0,[]
38,16,16,25,15,50,48,71,90,70,91,56,45,58,66,18,13,77,89,76,88,0,0,0,0,[]
39,17,15,20,15,50,43,70,91,67,91,57,46,62,63,22,10,79,89,77,88,0,0,0,0,[]
40,22,11,22,12,44,37,68,91,63,87,56,43,67,62,23,11,77,89,77,87,0,0,0,0,[]
41,20,11,25,14,39,30,70,92,69,94,56,47,67,62,31,6,77,90,76,88,0,0,0,0,[]
42,13,19,35,16,33,22,69,91,71,94,51,51,75,59,23,8,76,90,74,89,0,0,0,0,[]
43,18,16,34,10,25,15,69,89,70,94,51,50,82,56,23,8,75,91,77,89,0,0,0,0,[]
44,20,12,39,10,28,15,67,88,63,88,49,51,82,56,34,6,80,84,81,84,0,0,0,0,[]
45,23,13,37,6,37,13,71,88,61,86,51,51,79,56,35,6,82,83,80,83,0,0,0,0,[]
46,27,9,37,11,35,12,73,89,70,88,51,51,73,64,34,6,82,85,80,85,0,0,0,0,"['3:47 FPXTian(狂战士) 击杀了 LGDYuuki(天启者),获得一血']"
47,18,9,41,18,35,12,72,90,61,85,93,5,72,75,34,6,79,87,79,86,0,0,0,0,[]
48,17,9,35,18,3,93,69,92,63,87,92,7,68,80,95,4,76,89,74,88,0,0,0,0,[]
49,3,96,26,24,5,83,72,93,67,89,87,16,60,84,28,8,76,89,75,87,0,0,0,0,[]
50,8,86,28,33,9,72,71,92,66,88,79,24,61,85,22,11,78,90,72,84,0,0,0,0,[]
51,17,80,32,40,10,67,62,84,62,83,70,31,61,83,18,9,76,87,68,80,0,0,0,0,[]
52,25,76,36,42,69,82,63,87,66,83,62,38,60,73,17,10,77,86,73,76,0,0,0,0,[]
53,29,67,45,48,61,74,69,89,70,79,54,46,59,63,18,9,77,88,80,79,0,0,0,0,[]
54,38,60,48,56,57,64,68,91,71,83,50,52,59,60,16,14,76,79,81,79,0,0,0,0,[]
55,47,53,53,48,56,56,71,89,71,78,55,47,57,56,13,20,72,70,77,77,0,0,0,0,[]
56,58,56,48,56,63,57,73,89,73,72,52,47,65,56,11,21,67,61,75,68,0,0,0,0,[]
57,59,60,51,64,57,57,72,84,75,72,53,47,65,57,12,18,75,63,75,64,0,0,0,0,['4:41 FPXGimGoon(解脱者) 击杀了 LGDRD(巨魔之王)']
58,52,61,47,65,46,56,79,85,79,83,52,49,65,57,8,18,86,66,84,66,0,0,0,0,[]
59,6,28,47,67,44,53,79,86,81,88,51,50,90,6,8,18,86,76,86,74,0,0,0,0,[]
60,9,26,47,73,45,52,80,79,89,82,54,51,82,11,92,5,87,76,90,74,0,0,0,0,[]
61,17,23,47,73,44,53,85,78,88,81,51,50,71,18,82,5,89,74,89,75,0,0,0,0,[]
62,16,19,7,96,45,53,86,79,87,83,52,49,60,24,71,7,89,75,89,76,0,0,0,0,[]
63,16,14,8,96,43,56,90,80,89,78,56,45,53,32,60,8,87,74,90,74,0,0,0,0,[]
64,18,19,7,94,39,59,87,81,86,78,50,42,53,34,47,9,88,75,91,75,0,0,0,0,[]
65,19,22,10,82,39,59,81,89,79,85,40,39,53,33,36,9,84,78,82,82,0,0,0,0,[]
66,2,96,15,71,4,91,70,91,72,89,45,46,52,31,27,8,84,82,81,85,0,0,0,0,[]
67,13,88,17,59,5,78,65,93,62,86,49,48,54,32,25,9,83,83,79,87,0,0,0,0,[]
68,19,78,18,47,7,67,2,96,57,83,49,49,65,38,23,10,82,83,82,83,0,0,0,0,[]
69,27,70,14,43,8,55,8,96,57,83,52,47,74,43,20,11,81,83,76,87,0,0,0,0,[]
70,36,62,16,44,10,43,19,95,61,86,53,46,75,43,21,13,83,87,78,84,0,0,0,0,[]
71,41,54,22,53,11,31,30,93,68,91,95,4,76,44,20,13,84,88,78,82,0,0,0,0,[]
72,46,53,25,56,14,20,41,93,70,89,87,8,75,46,16,12,95,4,95,4,0,0,0,0,[]
73,49,50,30,60,14,18,52,92,73,91,86,10,66,52,20,12,95,8,92,9,0,0,0,0,[]
74,52,56,39,65,15,19,64,90,74,91,55,45,62,60,17,9,94,8,86,17,0,0,0,0,[]
75,62,62,51,66,17,18,74,87,70,94,56,41,66,55,22,11,93,19,77,25,0,0,0,0,[]
76,61,62,57,70,22,24,74,87,70,94,53,43,66,56,22,9,92,30,69,34,0,0,0,0,[]
77,55,61,57,59,30,34,77,86,4,94,47,40,68,62,20,10,91,41,67,45,0,0,0,0,[]
78,50,52,60,58,37,42,78,84,4,91,44,37,77,56,26,14,86,50,66,55,0,0,0,0,[]
79,51,52,63,62,46,49,78,86,15,82,53,42,82,55,19,20,81,55,70,50,0,0,0,0,[]
