,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDKui, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,1,96,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,3,98,1,97,1,95,94,5,96,5,95,2,96,3,93,3,0,0,0,0,[]
2,2,95,4,95,1,95,5,96,3,94,92,5,93,5,94,6,93,5,93,4,0,0,0,0,[]
3,3,94,4,95,1,95,5,96,3,94,92,5,92,4,93,6,93,5,94,6,0,0,0,0,[]
4,18,77,18,76,16,78,24,84,18,79,75,16,72,15,77,20,86,22,80,23,0,0,0,0,[]
5,32,60,31,57,32,61,30,68,33,62,55,21,55,30,60,35,80,43,66,40,0,0,0,0,[]
6,32,40,34,39,33,42,32,46,32,42,34,17,45,36,54,44,74,63,64,57,0,0,0,0,[]
7,35,31,37,37,36,36,35,38,37,36,30,18,47,35,55,46,78,73,61,61,0,0,0,0,[]
8,41,30,36,36,41,35,37,36,39,36,30,18,47,34,51,45,78,73,61,61,0,0,0,0,[]
9,42,34,41,35,42,25,35,38,41,37,30,19,49,34,52,41,71,78,56,59,0,0,0,0,[]
10,37,42,41,37,41,35,35,38,41,45,30,19,49,34,50,41,68,82,56,68,0,0,0,0,[]
11,46,46,39,39,42,42,7,96,48,50,30,19,50,34,57,44,68,82,60,63,0,0,0,0,[]
12,41,46,35,39,31,40,18,95,40,57,30,19,47,37,55,46,70,79,63,62,0,0,0,0,[]
13,41,46,35,39,31,44,29,94,34,65,32,22,45,37,50,44,74,76,62,62,0,0,0,0,[]
14,41,46,8,84,22,50,42,94,28,77,39,23,45,33,55,41,79,74,63,62,0,0,0,0,[]
15,42,45,14,74,16,41,51,93,31,88,50,26,42,26,58,33,79,74,72,63,0,0,0,0,[]
16,42,45,17,62,10,32,60,93,41,90,54,30,46,24,55,22,78,74,77,68,0,0,0,0,[]
17,42,45,20,50,12,34,70,91,53,91,56,32,45,24,46,22,79,74,78,73,0,0,0,0,[]
18,48,49,24,47,20,38,70,90,64,90,55,41,47,25,48,25,79,75,77,73,0,0,0,0,[]
19,49,49,24,46,28,35,77,87,74,88,46,37,47,25,51,30,77,78,79,76,0,0,0,0,[]
20,50,51,21,46,21,26,83,86,83,88,39,29,47,24,48,40,80,80,83,80,0,0,0,0,[]
21,50,49,18,45,17,17,81,86,83,87,32,21,47,24,53,44,81,81,85,81,0,0,0,0,[]
22,45,46,17,45,15,16,80,85,79,87,24,13,46,15,52,42,81,81,84,80,0,0,0,0,[]
23,37,39,18,46,15,16,78,88,78,89,19,14,43,16,55,42,83,85,84,88,0,0,0,0,[]
24,28,31,18,46,18,16,78,86,79,89,22,11,44,15,54,41,84,85,85,85,0,0,0,0,[]
25,24,22,18,46,22,24,76,90,73,89,23,6,45,15,54,43,78,78,78,78,0,0,0,0,[]
26,18,13,22,54,27,34,81,88,81,89,23,8,45,15,53,44,80,82,80,82,0,0,0,0,[]
27,17,12,25,58,32,44,81,87,78,87,24,10,52,19,49,41,84,83,81,80,0,0,0,0,[]
28,15,11,27,59,38,51,79,89,78,86,22,12,57,31,42,32,84,85,82,83,0,0,0,0,[]
29,17,12,33,61,41,56,78,89,76,86,23,13,65,39,35,24,84,85,79,85,0,0,0,0,[]
30,19,13,43,67,44,53,79,88,77,88,31,20,69,48,27,16,85,84,84,82,0,0,0,0,[]
31,17,12,45,68,45,53,78,88,82,89,39,28,76,53,22,10,83,82,87,85,0,0,0,0,[]
32,16,15,46,69,46,53,82,88,83,88,41,38,76,55,21,9,83,80,88,83,0,0,0,0,[]
33,15,16,48,66,46,52,81,87,81,85,47,46,81,55,19,10,85,80,83,79,0,0,0,0,[]
34,14,14,46,69,47,52,80,88,76,88,50,48,80,56,20,12,83,81,86,84,0,0,0,0,[]
35,18,12,47,73,51,47,78,90,76,87,55,44,83,57,19,10,81,81,82,83,0,0,0,0,[]
36,19,13,46,71,50,47,75,89,73,85,55,43,80,55,21,9,82,83,80,84,0,0,0,0,[]
37,18,11,46,72,52,48,75,89,74,87,54,43,76,57,26,7,83,88,82,86,0,0,0,0,[]
38,18,8,48,76,52,47,76,89,77,90,55,42,75,63,24,11,82,88,80,85,0,0,0,0,[]
39,20,8,53,84,46,48,75,90,74,89,53,43,75,69,24,9,82,88,79,85,0,0,0,0,[]
40,19,10,57,83,49,49,72,91,70,89,55,43,68,63,23,6,80,87,78,86,0,0,0,0,[]
41,20,9,58,84,43,54,72,91,70,91,53,50,65,61,26,8,80,84,79,76,0,0,0,0,[]
42,20,20,59,84,46,52,71,91,71,91,50,50,62,60,26,7,80,81,72,68,0,0,0,0,[]
43,26,30,58,84,42,52,76,88,77,91,51,49,53,60,28,15,85,87,61,62,0,0,0,0,[]
44,35,36,59,84,44,51,82,87,84,88,50,49,50,58,33,22,89,80,53,58,0,0,0,0,[]
45,29,34,2,96,43,53,82,86,76,88,52,50,52,60,39,31,86,80,58,58,0,0,0,0,[]
46,21,26,8,87,41,56,86,85,74,86,49,51,58,66,41,35,86,77,67,64,0,0,0,0,[]
47,14,18,17,78,40,56,80,89,74,86,45,53,62,59,41,35,86,80,76,73,0,0,0,0,[]
48,13,16,25,70,40,55,82,89,75,88,44,53,69,50,87,4,85,81,82,81,0,0,0,0,[]
49,15,13,32,60,41,54,83,89,80,88,47,50,73,43,75,5,83,81,84,82,0,0,0,0,[]
50,16,13,32,49,40,54,81,88,82,87,49,52,72,41,64,7,83,80,82,81,0,0,0,0,[]
51,15,13,30,39,42,55,81,86,76,88,48,51,70,41,51,8,83,80,78,75,0,0,0,0,[]
52,17,12,27,36,41,55,80,89,69,81,47,53,60,36,40,10,83,81,84,82,0,0,0,0,[]
53,17,9,33,38,43,53,76,88,70,81,47,51,55,32,29,10,84,84,84,87,0,0,0,0,[]
54,17,9,44,38,43,52,76,87,76,89,49,52,54,32,27,10,81,84,82,89,0,0,0,0,[]
55,4,92,50,45,49,51,78,87,81,89,55,47,52,34,25,8,83,83,85,87,0,0,0,0,[]
56,12,83,43,43,47,51,79,88,81,91,53,49,43,33,24,12,81,82,79,76,0,0,0,0,[]
57,20,75,40,35,44,49,80,87,82,85,53,48,43,24,23,13,81,81,73,69,0,0,0,0,[]
58,30,65,42,25,42,46,79,85,83,86,56,42,43,16,16,10,84,81,79,77,0,0,0,0,[]
59,37,56,48,20,2,96,81,87,79,86,55,43,45,12,21,9,83,82,79,80,0,0,0,0,[]
