,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,98,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,1,95,93,5,95,5,94,2,97,3,93,3,0,0,0,0,[]
2,4,95,4,96,5,96,5,97,3,94,93,4,93,5,92,4,94,6,93,3,0,0,0,0,[]
3,4,94,4,95,4,95,5,97,3,94,93,5,92,5,92,5,94,5,93,3,0,0,0,0,[]
4,13,73,19,76,21,82,26,90,24,85,72,15,71,16,78,22,83,24,83,15,0,0,0,0,[]
5,19,52,32,63,34,64,48,90,41,70,55,30,53,31,64,39,80,46,70,33,0,0,0,0,[]
6,23,34,32,63,45,53,68,82,49,67,39,29,44,33,53,48,73,64,66,54,0,0,0,0,[]
7,23,34,6,94,42,54,65,78,50,75,35,21,42,32,57,55,73,64,64,58,0,0,0,0,[]
8,24,37,15,88,45,53,62,75,59,74,30,19,42,32,57,55,73,63,64,58,0,0,0,0,[]
9,23,37,19,77,44,54,52,75,53,76,30,19,42,32,57,55,72,63,64,57,0,0,0,0,[]
10,23,37,27,69,46,54,47,69,47,73,30,19,42,32,57,54,72,63,64,57,0,0,0,0,[]
11,24,37,32,59,44,54,49,67,52,76,30,19,42,32,57,54,72,63,64,57,0,0,0,0,[]
12,23,38,31,53,44,54,50,76,56,75,30,19,42,32,57,54,73,63,64,57,0,0,0,0,[]
13,23,38,31,53,44,54,51,83,50,78,30,19,93,7,57,55,72,63,65,57,0,0,0,0,[]
14,23,38,31,56,43,55,61,86,57,85,29,19,88,17,57,55,72,63,64,57,0,0,0,0,[]
15,23,37,38,64,43,55,69,91,67,90,30,19,83,28,57,55,72,63,64,57,0,0,0,0,[]
16,23,37,44,69,44,54,74,92,77,92,29,22,81,39,54,59,72,63,65,57,0,0,0,0,[]
17,13,34,47,73,43,52,84,89,85,88,29,22,76,51,50,51,79,65,71,62,0,0,0,0,[]
18,10,25,50,74,49,49,83,89,84,89,29,22,74,53,53,48,85,66,80,66,0,0,0,0,[]
