,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,2,95,93,5,95,5,95,2,96,3,93,3,0,0,0,0,[]
2,2,94,4,95,4,95,4,97,3,96,93,5,93,3,93,5,95,4,92,4,0,0,0,0,[]
3,3,94,4,95,4,95,5,96,5,96,93,5,92,4,93,5,94,7,92,5,0,0,0,0,[]
4,14,74,18,77,22,80,26,92,25,86,70,7,71,15,76,19,84,26,79,21,0,0,0,0,[]
5,19,52,32,59,36,62,48,90,41,70,48,11,53,31,61,36,80,48,66,39,0,0,0,0,[]
6,24,36,35,42,45,54,68,82,51,65,30,19,46,33,53,48,73,63,64,57,0,0,0,0,[]
7,24,36,35,42,47,58,67,79,52,66,30,19,48,33,53,47,71,63,65,57,0,0,0,0,[]
8,25,36,35,42,44,53,58,74,50,65,30,19,47,34,53,47,72,63,64,57,0,0,0,0,[]
9,25,36,35,42,45,53,57,69,50,65,30,19,46,33,53,47,72,63,65,57,0,0,0,0,[]
10,24,36,35,42,46,54,57,69,50,66,30,19,46,34,53,49,72,63,65,56,0,0,0,0,[]
11,24,36,32,45,45,54,57,69,51,65,30,19,46,33,54,48,72,63,65,57,0,0,0,0,[]
12,23,37,40,53,46,53,57,69,52,66,30,19,47,34,54,48,73,63,64,57,0,0,0,0,[]
13,24,36,49,59,47,57,57,67,52,66,30,19,46,34,54,47,73,63,65,57,0,0,0,0,[]
14,23,36,62,59,57,59,61,62,57,67,30,19,46,34,54,47,73,62,66,55,0,0,0,0,[]
15,23,37,55,63,55,57,57,66,57,73,34,23,51,31,59,48,76,62,66,47,0,0,0,0,[]
16,16,34,47,70,55,57,54,76,53,77,28,20,48,26,58,47,74,63,66,47,0,0,0,0,[]
17,9,28,50,74,53,56,52,76,53,76,24,14,48,26,60,49,82,66,70,49,0,0,0,0,[]
18,10,25,51,74,49,52,55,76,54,76,15,10,47,27,55,49,88,72,77,59,0,0,0,0,[]
19,11,21,52,76,48,52,57,76,56,76,11,13,49,26,52,47,86,76,83,66,0,0,0,0,[]
20,12,20,50,77,48,53,67,80,66,79,13,13,51,26,52,47,87,74,87,72,0,0,0,0,[]
21,11,19,53,84,48,53,75,87,73,88,12,13,52,27,52,47,88,80,89,82,0,0,0,0,[]
22,13,19,52,85,50,52,80,85,82,90,14,13,57,32,53,47,86,81,86,80,0,0,0,0,[]
23,11,20,55,84,47,50,80,85,82,86,17,17,66,39,52,48,88,83,89,83,0,0,0,0,[]
24,8,24,54,84,51,51,82,82,84,85,20,26,70,41,51,46,89,78,89,78,0,0,0,0,[]
25,8,27,53,84,50,51,81,84,83,86,18,24,72,41,52,46,88,83,86,75,0,0,0,0,[]
26,7,25,49,79,50,52,83,85,84,85,13,21,72,41,52,47,87,78,87,78,0,0,0,0,[]
27,8,26,46,68,49,50,83,84,85,85,12,21,76,47,53,46,87,79,87,81,0,0,0,0,[]
28,7,25,47,65,54,51,83,83,88,85,12,21,76,53,57,43,86,75,89,75,0,0,0,0,[]
29,8,28,51,65,55,52,85,85,86,81,12,22,76,53,58,43,87,74,90,75,0,0,0,0,[]
30,7,28,55,64,55,48,87,84,82,78,10,23,80,54,57,44,91,74,90,74,0,0,0,0,[]
31,8,26,64,61,54,48,86,81,76,68,9,21,80,55,56,44,90,75,90,78,0,0,0,0,[]
32,7,24,70,64,53,48,88,83,79,73,11,19,81,55,56,44,91,75,90,74,0,0,0,0,[]
33,9,24,75,61,50,50,89,81,84,78,13,18,81,55,55,46,89,74,87,66,0,0,0,0,[]
34,9,24,68,61,49,50,88,80,85,78,12,18,74,60,53,47,90,73,85,66,0,0,0,0,[]
35,9,24,56,62,43,55,85,81,84,80,12,19,77,49,49,51,92,75,89,74,0,0,0,0,[]
36,9,24,46,67,45,55,88,79,89,80,13,21,67,51,46,50,91,72,88,69,0,0,0,0,[]
37,10,25,35,63,45,54,88,76,92,76,11,19,63,60,46,52,88,69,80,66,0,0,0,0,[]
38,7,25,27,59,48,50,87,76,88,77,11,22,59,59,49,50,92,69,89,69,0,0,0,0,[]
39,9,24,28,59,43,52,88,76,90,77,13,20,48,55,45,51,92,72,89,73,0,0,0,0,[]
40,7,27,30,57,42,53,88,76,89,76,12,21,45,46,51,48,93,68,91,67,0,0,0,0,[]
41,8,28,25,47,52,51,91,74,92,74,13,22,49,42,54,44,90,69,90,67,0,0,0,0,[]
42,8,29,21,48,53,46,87,76,92,74,19,25,40,37,54,43,93,70,88,69,0,0,0,0,[]
43,10,24,21,48,50,49,84,81,85,79,26,33,32,38,54,43,90,72,88,70,0,0,0,0,[]
44,18,23,23,46,50,46,83,84,79,72,24,26,33,37,54,43,89,78,89,77,0,0,0,0,[]
45,20,28,30,38,42,39,84,84,82,79,21,20,44,33,59,42,90,79,89,76,0,0,0,0,[]
46,17,18,38,41,47,35,87,83,82,78,16,14,53,32,57,40,89,77,88,75,0,0,0,0,[]
47,14,20,44,50,48,38,84,82,79,72,15,13,54,32,56,43,90,77,90,76,0,0,0,0,[]
48,12,19,50,59,42,41,83,82,76,63,17,12,56,31,54,43,89,78,87,76,0,0,0,0,[]
49,11,15,61,61,48,47,84,83,76,57,18,13,55,32,54,47,89,78,87,75,0,0,0,0,[]
50,11,17,67,62,51,50,85,83,76,62,18,16,55,31,54,45,90,77,90,74,0,0,0,0,[]
51,11,15,70,67,51,49,83,82,78,71,18,16,57,26,52,44,90,77,85,64,0,0,0,0,[]
52,10,18,70,64,49,50,84,82,80,75,17,16,48,19,56,43,90,77,88,69,0,0,0,0,[]
53,13,16,69,65,53,46,86,82,83,78,17,16,43,16,55,43,89,76,89,75,0,0,0,0,[]
54,13,20,69,65,51,47,86,82,82,78,17,16,43,16,55,45,89,74,89,74,0,0,0,0,[]
55,7,22,16,93,53,45,85,80,89,81,13,18,44,16,63,41,93,69,90,69,0,0,0,0,[]
56,6,23,28,92,46,50,85,79,90,81,9,20,44,15,60,41,93,69,91,71,0,0,0,0,[]
57,10,25,40,91,46,50,84,79,90,79,10,17,44,15,56,43,92,72,89,71,0,0,0,0,[]
58,10,24,51,89,3,96,86,77,89,78,12,16,94,7,56,46,91,69,90,69,0,0,0,0,[]
59,7,24,54,85,7,93,89,73,92,74,12,18,89,17,49,49,93,69,90,67,0,0,0,0,[]
60,7,24,52,84,8,93,88,73,91,75,11,19,83,28,49,50,93,69,90,69,0,0,0,0,[]
61,9,26,55,83,47,53,89,76,91,77,17,19,81,40,49,50,91,70,87,67,0,0,0,0,[]
62,9,24,53,84,48,54,88,80,89,81,14,19,78,46,58,42,93,68,79,64,0,0,0,0,[]
63,8,19,50,82,47,54,85,79,89,81,13,20,76,46,59,41,93,68,74,63,0,0,0,0,[]
