,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,4,95,4,98,2,99,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,95,4,98,2,98,1,95,94,5,95,5,94,2,96,4,93,4,2500,0,2500,0,[]
2,4,95,3,94,4,96,3,95,4,95,93,5,94,6,92,3,94,6,92,4,2500,0,2500,0,[]
3,4,95,3,94,5,95,4,94,4,95,92,4,93,6,92,4,94,7,92,5,2500,0,2500,0,[]
4,25,86,14,74,13,75,20,80,19,81,69,7,74,18,76,16,84,26,78,19,2500,0,2500,0,[]
5,41,71,18,52,19,52,36,63,36,66,50,20,55,30,64,35,80,48,66,37,2500,0,2500,0,[]
6,47,66,23,33,26,35,45,50,42,56,34,23,51,32,54,50,72,63,65,57,2500,0,2500,0,[]
7,38,64,19,23,19,25,40,44,35,48,45,24,61,37,55,45,70,63,65,57,2500,0,2500,0,[]
8,31,57,22,21,22,21,34,39,33,40,54,30,68,45,55,45,73,62,65,56,2500,0,2500,0,[]
9,32,46,23,22,23,21,35,36,30,36,58,39,66,54,57,48,71,62,65,57,2500,0,2500,0,[]
10,34,39,23,22,24,22,37,37,35,38,61,50,73,50,58,44,70,62,65,56,2520,0,2500,0,[]
11,33,40,29,23,33,23,36,37,35,39,66,55,76,56,56,43,62,62,62,60,2520,0,2500,0,[]
12,41,36,34,23,38,27,43,37,42,33,59,63,69,63,59,36,57,67,55,67,2520,0,2500,0,[]
13,41,32,45,24,42,36,50,33,51,30,55,66,58,63,53,46,54,76,44,68,2520,0,2500,0,[]
14,41,39,41,30,44,47,43,37,50,32,57,56,57,63,55,56,51,77,47,68,2520,0,2500,0,[]
15,44,49,42,41,48,52,47,48,41,39,61,58,69,63,61,57,61,77,57,63,2520,0,2500,0,[]
16,42,59,41,34,42,41,54,53,44,50,67,50,74,56,68,50,71,76,68,63,2520,0,2500,0,[]
17,42,66,43,24,41,30,56,49,40,60,65,40,74,54,66,41,74,66,74,61,2520,0,2500,0,[]
18,41,76,44,23,44,24,54,50,40,71,58,32,73,54,57,44,78,72,74,55,2520,0,2500,0,[]
