,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,94,4,97,2,98,1,97,1,96,94,5,95,5,95,2,97,3,93,3,0,0,0,0,[]
2,3,94,2,97,4,95,4,96,2,95,93,5,93,6,94,6,97,3,93,3,0,0,0,0,[]
3,3,94,4,95,5,95,5,97,4,95,92,4,93,6,94,6,94,5,93,3,0,0,0,0,[]
4,14,73,16,79,22,80,27,93,21,86,70,7,77,20,77,18,84,25,92,5,0,0,0,0,[]
5,20,50,32,62,37,64,50,89,39,73,47,11,58,28,63,36,80,46,80,23,0,0,0,0,[]
6,22,32,34,43,46,52,68,81,51,63,29,20,47,39,52,48,66,58,66,41,0,0,0,0,[]
7,20,27,34,42,46,53,69,79,49,57,30,22,56,44,53,48,69,62,65,56,0,0,0,0,[]
8,20,28,34,42,47,54,69,77,47,56,29,22,64,52,56,44,63,61,57,56,0,0,0,0,[]
9,20,28,10,95,45,55,67,78,50,65,29,22,63,61,55,51,61,62,55,59,0,0,0,0,[]
10,20,28,22,93,44,56,57,76,47,73,29,21,57,67,56,58,56,68,55,68,0,0,0,0,[]
11,20,28,33,90,46,58,53,76,50,73,29,20,60,60,56,56,58,63,56,64,0,0,0,0,[]
12,20,28,41,86,45,53,57,77,55,76,30,19,66,52,56,56,69,63,67,64,0,0,0,0,[]
13,19,25,47,78,45,53,54,77,55,76,30,22,66,41,89,8,78,64,73,63,0,0,0,0,[]
14,20,27,47,79,45,53,54,76,55,76,30,22,58,34,79,16,76,67,74,63,0,0,0,0,[]
15,20,27,47,79,46,53,54,77,54,76,32,22,49,26,72,25,79,73,79,73,0,0,0,0,[]
16,20,27,47,79,46,53,54,76,53,76,40,23,46,24,65,33,79,74,79,75,0,0,0,0,[]
17,20,27,47,79,46,54,54,76,52,76,48,24,46,24,58,41,79,74,79,75,0,0,0,0,[]
18,20,27,51,73,47,53,52,77,51,77,47,25,48,27,50,48,79,75,78,75,0,0,0,0,[]
