,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,96,4,97,2,98,4,97,2,95,93,5,95,5,95,2,96,3,93,3,0,0,0,0,[]
2,3,94,5,96,4,95,3,97,5,96,93,5,92,4,92,5,95,6,93,5,0,0,0,0,[]
3,3,94,5,96,5,95,5,96,5,97,93,5,92,4,92,5,94,6,93,6,0,0,0,0,[]
4,6,72,18,79,21,80,27,93,24,86,70,7,73,17,76,20,81,25,80,23,0,0,0,0,[]
5,11,50,32,61,37,64,49,90,41,70,48,11,56,30,61,38,80,43,66,40,0,0,0,0,[]
6,23,36,33,43,45,53,68,81,56,68,29,19,40,36,52,47,73,63,64,59,0,0,0,0,[]
7,23,34,33,43,45,53,60,75,50,60,24,30,40,35,52,47,74,63,62,60,0,0,0,0,[]
8,23,42,32,41,51,49,54,67,50,50,25,36,40,35,58,42,74,62,59,56,0,0,0,0,[]
9,21,50,33,44,44,51,43,67,40,51,22,44,92,10,51,48,71,63,53,58,0,0,0,0,[]
10,22,44,33,43,34,48,36,61,35,48,24,34,85,18,50,46,73,64,57,59,0,0,0,0,[]
11,21,41,33,44,40,53,38,64,40,57,23,36,74,19,51,47,71,64,62,62,0,0,0,0,[]
12,22,46,31,53,38,50,45,72,41,67,21,30,64,21,49,47,71,64,62,61,0,0,0,0,[]
13,19,49,36,62,42,57,49,78,47,75,23,35,54,21,51,47,74,62,65,63,0,0,0,0,[]
14,11,41,45,71,42,55,58,85,55,84,14,35,47,24,50,48,75,62,77,62,0,0,0,0,[]
15,17,34,50,74,42,55,67,88,64,88,21,38,46,24,52,47,79,64,80,65,0,0,0,0,[]
16,18,34,50,74,44,55,70,88,72,89,25,29,45,23,50,48,87,66,89,65,0,0,0,0,[]
