,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,96,5,97,2,99,1,97,2,95,93,5,95,5,95,2,96,3,93,4,0,0,0,0,[]
2,3,95,5,97,3,94,5,96,4,96,92,4,93,5,93,5,94,6,92,5,0,0,0,0,[]
3,3,94,5,97,4,94,5,96,5,95,92,4,92,5,94,6,94,6,93,6,0,0,0,0,[]
4,17,83,23,86,23,81,28,93,25,85,71,8,71,17,79,24,83,27,79,21,0,0,0,0,[]
5,38,74,40,72,38,64,50,89,42,70,48,11,53,31,63,37,79,49,64,37,0,0,0,0,[]
6,57,68,57,69,46,54,69,80,52,76,40,23,44,36,51,46,72,65,43,32,0,0,0,0,[]
7,55,75,54,76,45,58,65,77,51,77,29,21,42,37,49,50,69,63,41,32,0,0,0,0,[]
8,52,76,52,76,43,55,54,76,53,74,30,22,40,36,48,49,64,57,43,34,0,0,0,0,[]
9,51,74,52,75,44,55,51,74,53,74,29,20,44,35,48,49,65,57,58,35,0,0,0,0,[]
10,49,74,52,76,37,56,51,74,53,74,29,21,44,35,48,52,64,58,61,37,0,0,0,0,[]
11,49,74,52,76,33,59,51,76,52,75,29,21,90,13,49,50,64,57,66,46,0,0,0,0,[]
12,48,73,56,76,40,66,51,76,51,74,30,21,82,21,49,51,65,58,65,57,0,0,0,0,[]
13,42,68,46,72,41,66,51,83,51,77,29,21,74,29,49,52,65,57,64,57,0,0,0,0,[]
14,33,61,38,65,34,59,58,89,56,84,29,21,66,38,50,54,65,57,64,57,0,0,0,0,[]
15,24,57,31,57,34,59,66,89,66,88,29,21,66,49,54,57,65,56,64,57,0,0,0,0,[]
16,21,50,24,46,30,51,66,89,66,88,29,21,64,61,56,57,64,59,63,61,0,0,0,0,[]
17,22,44,23,47,40,51,66,89,66,88,29,21,62,62,55,57,63,63,62,62,0,0,0,0,[]
18,22,45,23,47,46,50,66,89,66,88,29,23,57,72,52,53,57,69,57,71,0,0,0,0,[]
19,24,44,24,47,47,52,77,86,77,87,27,19,51,74,53,49,53,76,51,77,0,0,0,0,[]
20,23,36,21,47,47,52,80,84,81,85,20,11,50,73,52,47,57,76,49,74,0,0,0,0,[]
21,19,25,20,51,46,50,80,84,81,85,17,15,51,72,54,49,67,78,60,77,0,0,0,0,[]
