,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,96,2,95,93,5,95,5,94,2,97,3,93,4,0,0,0,0,[]
2,3,94,4,95,3,96,5,96,3,94,93,4,93,6,93,6,94,6,95,4,0,0,0,0,[]
3,4,94,5,95,4,95,5,96,3,94,93,4,93,5,94,6,94,7,93,5,0,0,0,0,[]
4,21,82,18,77,22,84,28,93,20,82,71,11,73,17,81,22,83,27,81,23,0,0,0,0,[]
5,40,71,32,59,35,74,50,89,36,66,48,12,55,30,64,38,80,48,66,39,0,0,0,0,[]
6,40,54,33,43,49,66,69,81,49,60,29,20,42,32,55,52,71,63,65,58,0,0,0,0,[]
7,32,46,34,43,50,65,74,75,47,68,24,28,44,33,54,53,60,63,57,63,0,0,0,0,[]
8,27,37,34,43,51,65,73,77,52,68,25,30,47,40,56,58,65,64,56,63,0,0,0,0,[]
9,24,34,34,43,50,66,69,77,56,74,25,27,47,40,56,59,65,63,59,62,0,0,0,0,[]
10,24,34,34,43,50,66,71,77,56,75,24,25,46,38,55,59,69,67,60,62,0,0,0,0,[]
11,26,34,33,43,50,67,64,77,3,96,25,24,48,40,53,51,71,64,62,62,0,0,0,0,[]
12,25,35,31,52,48,65,66,78,14,95,27,22,53,43,49,41,71,63,62,62,0,0,0,0,[]
13,25,34,36,63,47,64,55,76,25,93,29,21,61,50,44,37,71,65,62,62,0,0,0,0,[]
14,25,36,38,65,47,64,52,76,35,89,29,20,66,59,45,38,71,66,62,62,0,0,0,0,[]
15,29,37,40,71,43,69,51,76,43,83,29,21,62,62,46,39,68,62,62,62,0,0,0,0,[]
16,22,38,46,79,40,73,47,79,50,80,29,21,62,62,46,38,64,62,62,62,0,0,0,0,[]
17,13,34,52,75,47,73,52,77,53,74,29,21,60,63,49,41,61,63,60,63,0,0,0,0,[]
18,11,27,47,79,47,78,45,79,46,79,29,21,57,70,48,51,57,70,57,70,0,0,0,0,[]
19,12,23,47,79,47,78,46,79,50,80,29,22,54,77,49,49,56,75,53,77,0,0,0,0,[]
20,14,17,57,76,56,74,56,75,58,73,26,16,60,73,50,50,62,75,62,75,0,0,0,0,[]
21,14,14,54,77,50,74,56,78,51,78,18,12,60,73,46,53,63,77,61,77,0,0,0,0,[]
22,16,15,47,76,41,67,46,79,55,84,17,12,92,6,49,58,64,77,56,76,0,0,0,0,[]
23,13,17,44,70,40,62,46,79,57,84,18,13,88,17,47,66,54,77,46,72,0,0,0,0,[]
24,15,16,45,70,44,69,2,96,49,79,17,13,83,27,50,65,59,76,53,66,0,0,0,0,[]
25,14,16,50,76,50,68,2,96,53,77,21,11,81,37,47,55,56,76,57,74,0,0,0,0,[]
26,16,16,60,76,58,71,67,78,62,76,19,11,80,48,49,58,65,77,65,77,0,0,0,0,[]
27,16,14,70,77,63,75,73,73,72,76,22,11,76,58,60,63,73,71,73,71,0,0,0,0,[]
28,15,14,73,73,62,75,75,69,76,73,21,12,75,65,71,67,71,63,73,66,0,0,0,0,[]
29,17,15,69,80,57,69,77,72,78,82,23,11,75,70,74,71,76,63,79,75,0,0,0,0,[]
30,19,16,63,78,50,61,3,96,79,86,24,11,74,60,65,62,76,63,86,81,0,0,0,0,[]
31,20,10,53,77,45,54,14,95,81,90,25,9,75,59,55,55,95,4,84,81,0,0,0,0,[]
32,20,11,47,74,43,54,25,93,81,90,23,9,76,56,49,50,84,82,81,81,0,0,0,0,[]
33,21,12,46,74,47,53,36,92,6,95,23,10,80,53,47,49,83,84,82,90,0,0,0,0,[]
34,21,12,53,77,45,54,47,91,13,95,24,11,81,55,48,49,83,83,84,89,0,0,0,0,[]
