,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,1,95,94,5,95,5,95,2,96,3,94,3,0,0,0,0,[]
2,3,95,5,96,4,96,4,97,4,95,93,5,93,5,93,5,95,6,93,6,0,0,0,0,[]
3,4,95,5,96,4,96,5,97,4,95,93,5,93,5,93,5,95,6,94,5,0,0,0,0,[]
4,24,86,24,84,20,83,24,85,23,86,81,22,74,16,76,20,92,28,76,20,0,0,0,0,[]
5,40,72,42,70,37,66,41,71,39,72,66,39,55,30,61,37,89,50,61,37,0,0,0,0,[]
6,56,64,57,63,46,55,56,63,56,64,65,57,39,33,50,49,81,69,50,49,0,0,0,0,[]
7,56,55,62,58,48,55,56,55,58,56,66,55,48,39,55,53,76,61,55,53,0,0,0,0,[]
8,55,54,60,56,53,54,55,53,59,56,61,51,54,46,59,47,67,60,59,47,0,0,0,0,[]
9,63,57,67,55,62,57,63,58,66,58,65,53,59,50,64,53,72,62,64,53,0,0,0,0,[]
10,62,59,63,59,62,57,65,53,66,56,60,49,60,49,60,50,74,60,67,52,0,0,0,0,"['0:47 VGPuff(圣枪游侠) 击杀了 JDGLvMao(魔法猫咪),获得一血']"
11,65,57,67,51,66,57,69,49,67,47,59,45,60,38,59,45,82,58,94,6,0,0,0,0,[]
12,65,57,77,53,66,55,78,52,76,49,59,45,56,39,59,45,84,65,89,17,0,0,0,0,[]
13,3,90,79,63,65,62,79,62,77,59,85,5,47,37,86,10,84,65,88,28,0,0,0,0,[]
14,4,79,82,66,63,63,85,65,83,66,73,7,41,31,79,18,91,69,89,39,0,0,0,0,[]
15,5,68,76,57,63,63,82,65,81,65,63,10,41,31,71,26,92,72,90,50,0,0,0,0,[]
16,7,56,75,55,56,63,81,66,82,65,55,17,41,31,64,34,93,69,92,60,0,0,0,0,[]
17,8,45,75,54,48,56,78,62,80,66,46,23,45,24,55,42,91,72,91,72,0,0,0,0,[]
18,10,34,75,52,48,53,75,62,75,65,45,23,45,28,50,47,90,73,90,73,0,0,0,0,[]
19,12,24,75,53,48,51,77,73,77,74,46,24,47,26,49,49,86,77,86,77,0,0,0,0,[]
20,20,23,75,52,45,53,81,83,81,83,35,23,46,24,48,52,87,79,88,83,0,0,0,0,[]
21,14,20,77,52,43,54,80,84,81,82,27,18,38,24,49,50,87,83,86,84,0,0,0,0,[]
22,13,18,78,51,43,54,80,85,82,86,18,12,27,23,48,50,86,83,86,83,0,0,0,0,[]
23,12,19,74,44,43,54,81,83,87,84,13,11,22,26,49,52,86,78,86,78,0,0,0,0,[]
24,10,20,74,44,44,54,81,83,81,84,11,14,23,35,48,50,87,81,87,81,0,0,0,0,[]
25,11,20,79,51,44,56,81,84,84,87,10,13,24,45,47,50,86,81,89,83,0,0,0,0,[]
26,14,18,83,57,44,55,81,84,82,86,11,14,23,42,48,52,86,80,85,83,0,0,0,0,[]
27,12,18,83,56,46,52,83,85,84,86,14,11,21,44,46,47,86,79,89,81,0,0,0,0,[]
28,13,19,79,56,44,50,81,86,83,87,12,13,21,52,48,48,85,80,85,80,0,0,0,0,[]
29,10,20,71,63,46,56,82,85,88,83,14,14,22,54,47,49,85,78,85,78,0,0,0,0,[]
30,10,19,60,63,45,56,83,81,88,84,14,15,21,53,46,50,88,75,89,76,0,0,0,0,[]
31,10,18,49,65,44,54,81,83,89,82,16,17,19,48,47,48,87,68,87,68,0,0,0,0,[]
32,11,19,47,64,45,56,81,82,89,83,17,16,16,43,46,50,87,67,85,65,0,0,0,0,[]
33,11,19,47,69,45,55,82,83,89,83,17,14,18,44,45,50,94,5,95,4,0,0,0,0,[]
34,11,18,51,73,43,57,81,83,89,84,17,16,23,42,45,53,93,11,94,13,0,0,0,0,[]
35,10,18,49,74,45,54,82,83,89,82,15,17,31,37,41,45,93,21,93,21,0,0,0,0,[]
36,11,18,51,83,46,54,82,82,89,83,15,15,43,36,41,45,92,32,92,32,0,0,0,0,[]
37,8,19,55,84,47,53,82,82,89,82,14,15,49,35,41,45,90,43,90,43,0,0,0,0,[]
38,11,19,54,84,46,54,83,82,89,82,15,15,48,35,94,4,84,51,84,51,0,0,0,0,[]
39,10,16,57,83,41,51,83,82,90,81,16,16,47,35,50,49,76,57,76,57,0,0,0,0,[]
40,10,17,60,83,39,50,82,83,89,81,15,16,38,36,54,45,81,66,81,66,0,0,0,0,[]
41,11,18,69,80,3,96,82,83,89,83,16,16,30,36,57,42,87,71,87,71,0,0,0,0,[]
42,9,21,72,69,13,89,84,83,89,81,14,16,24,33,56,45,87,74,87,74,0,0,0,0,[]
43,11,19,68,62,21,81,83,82,85,81,15,15,22,26,55,45,89,76,89,76,0,0,0,0,[]
44,10,19,66,60,29,72,83,81,80,76,15,14,32,22,51,47,90,76,90,76,0,0,0,0,[]
45,12,20,73,63,36,63,83,81,80,82,14,14,43,18,58,55,89,76,89,76,0,0,0,0,[]
46,11,18,75,61,41,57,83,79,79,74,17,13,43,16,64,58,88,73,88,73,0,0,0,0,[]
47,12,19,76,68,46,54,83,81,87,77,17,15,44,17,58,55,90,73,90,73,0,0,0,0,[]
48,11,21,76,68,47,51,86,79,89,79,10,16,49,17,54,48,91,71,88,68,0,0,0,0,[]
49,14,21,4,92,49,52,88,77,87,78,14,10,50,18,52,47,89,71,89,71,0,0,0,0,[]
50,15,17,5,80,48,52,88,78,86,80,18,10,50,18,46,48,90,71,90,71,0,0,0,0,[]
51,17,16,8,69,47,52,89,79,89,76,16,12,93,8,49,48,89,71,89,71,0,0,0,0,[]
52,17,16,16,62,43,55,87,79,89,81,20,11,86,23,47,54,88,72,90,72,0,0,0,0,[]
53,17,15,19,52,45,54,85,87,89,81,21,10,81,34,51,50,91,68,90,68,0,0,0,0,[]
54,16,17,26,58,45,52,85,87,10,94,17,10,75,47,53,52,92,71,88,72,0,0,0,0,[]
55,17,14,36,62,44,52,5,96,21,88,23,10,66,55,49,50,91,71,90,71,0,0,0,0,[]
56,18,12,45,67,44,53,18,95,31,80,22,11,63,60,49,51,89,72,91,71,0,0,0,0,[]
57,15,13,56,60,42,53,29,93,40,71,22,11,71,49,46,53,89,72,87,73,0,0,0,0,[]
58,15,16,55,53,48,51,40,92,49,66,19,13,75,44,52,49,89,72,89,72,0,0,0,0,[]
59,17,15,56,46,53,46,51,91,56,58,23,10,76,45,58,45,88,72,88,72,0,0,0,0,['4:55 VGJay(万花通灵) 击杀了 JDGYagao(解脱者)']
60,18,15,53,50,50,49,62,89,64,57,25,10,76,46,58,45,87,73,87,73,0,0,0,0,[]
61,19,13,55,53,53,52,73,87,65,56,25,10,73,42,58,45,87,74,87,74,0,0,0,0,[]
62,22,12,64,59,57,55,78,80,67,54,26,11,67,42,92,9,87,76,87,76,0,0,0,0,[]
63,23,11,67,63,57,55,80,78,68,61,26,9,63,52,86,18,88,79,88,79,0,0,0,0,[]
64,21,10,65,57,2,96,81,82,66,54,26,8,62,52,81,28,88,79,88,79,0,0,0,0,[]
65,23,13,66,54,53,52,82,83,65,53,25,8,63,41,74,33,88,81,88,81,0,0,0,0,[]
66,22,11,66,63,50,51,80,81,69,63,25,7,74,44,64,38,88,83,85,81,0,0,0,0,[]
67,16,10,57,67,51,52,81,83,75,72,25,10,79,53,55,44,88,82,88,82,0,0,0,0,[]
68,20,10,48,65,53,53,82,83,80,82,25,9,84,57,54,46,88,82,88,82,0,0,0,0,[]
