,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,1,95,94,4,95,5,95,2,97,3,94,4,0,0,0,0,[]
2,3,96,3,95,4,96,5,96,4,95,95,4,94,6,93,5,94,6,94,4,0,0,0,0,[]
3,3,93,4,94,5,95,6,96,6,95,93,4,94,5,93,6,94,6,93,7,0,0,0,0,[]
4,14,74,19,76,22,81,29,94,25,83,74,6,79,16,79,23,84,26,79,24,0,0,0,0,[]
5,18,54,31,58,37,64,51,89,43,69,51,9,59,26,63,39,80,47,67,41,0,0,0,0,[]
6,25,36,36,41,45,51,69,80,53,64,31,18,44,36,52,48,71,63,64,57,0,0,0,0,[]
7,36,36,43,36,42,41,73,72,62,62,27,24,44,36,53,42,74,62,64,57,0,0,0,0,[]
8,33,36,37,38,42,44,73,68,57,56,24,28,43,37,47,42,74,60,65,57,0,0,0,0,[]
9,24,30,35,38,42,45,73,73,51,49,25,24,48,34,50,42,74,65,64,63,0,0,0,0,[]
10,23,28,34,39,47,49,70,80,48,56,30,20,48,34,58,39,74,66,69,70,0,0,0,0,[]
11,21,28,35,39,46,51,70,79,51,66,29,20,89,6,60,38,73,63,67,60,0,0,0,0,[]
12,20,28,35,39,49,49,70,79,51,67,29,20,79,12,95,4,73,63,65,56,0,0,0,0,[]
13,20,27,6,88,49,49,70,79,56,68,29,21,70,18,89,14,74,63,66,58,0,0,0,0,[]
14,20,26,12,78,49,49,68,80,61,75,29,21,61,23,81,22,74,64,65,57,0,0,0,0,[]
15,20,25,16,68,49,49,71,78,70,80,29,21,51,21,73,29,74,63,66,57,0,0,0,0,[]
16,19,25,18,56,49,49,76,76,74,76,29,22,46,23,65,37,74,63,69,61,0,0,0,0,[]
17,19,25,22,47,52,48,74,72,72,76,29,21,46,24,58,42,82,66,78,64,0,0,0,0,[]
18,18,24,23,47,49,52,71,68,74,71,26,17,47,24,54,47,84,66,82,66,0,0,0,0,[]
19,18,22,23,46,47,53,73,71,73,75,17,11,49,23,52,50,87,72,87,67,0,0,0,0,[]
20,14,20,21,46,48,47,77,78,78,81,16,16,49,20,54,48,86,78,78,65,0,0,0,0,[]
21,10,17,20,45,47,50,81,86,85,87,13,17,50,20,51,46,86,79,84,66,0,0,0,0,[]
22,11,18,19,45,51,50,84,83,89,83,13,12,49,20,51,45,86,78,87,74,0,0,0,0,[]
23,13,19,16,44,51,48,84,81,88,80,16,15,43,17,54,42,85,77,87,74,0,0,0,0,[]
24,13,18,15,44,52,49,86,81,90,79,15,15,42,16,52,44,89,74,91,75,0,0,0,0,[]
25,10,21,15,43,53,49,87,80,88,82,13,18,43,17,55,43,88,73,90,74,0,0,0,0,[]
26,11,19,20,51,51,48,87,82,90,81,11,18,44,16,57,45,88,73,90,75,0,0,0,0,[]
27,11,26,25,56,51,50,88,79,90,80,13,19,43,15,55,45,87,73,89,74,0,0,0,0,[]
28,9,24,26,56,51,47,86,80,90,80,15,16,45,15,57,44,88,73,90,74,0,0,0,0,[]
29,10,23,27,59,45,46,86,80,85,80,13,18,49,18,56,43,89,74,90,72,0,0,0,0,[]
30,8,22,29,59,48,46,89,75,89,75,12,19,52,29,55,46,90,69,91,69,0,0,0,0,[]
31,8,26,33,61,47,49,88,75,90,77,10,18,54,31,54,47,93,69,93,72,0,0,0,0,[]
32,11,26,43,67,50,49,87,78,90,78,8,19,54,31,53,42,92,72,91,73,0,0,0,0,[]
33,10,25,51,74,49,48,87,79,91,79,12,18,53,32,55,45,90,74,92,73,0,0,0,0,[]
34,12,23,52,75,46,50,89,78,90,78,15,18,53,29,52,48,88,72,92,73,0,0,0,0,[]
35,8,25,54,76,50,51,89,78,83,78,12,20,44,24,54,45,89,72,91,72,0,0,0,0,[]
36,8,27,57,73,46,51,89,76,80,76,11,21,32,29,52,49,90,69,91,70,0,0,0,0,[]
37,8,28,57,64,46,53,87,76,76,72,10,24,24,36,53,47,92,72,90,74,0,0,0,0,[]
38,7,26,61,58,46,55,86,81,83,79,10,23,18,34,50,50,88,78,87,76,0,0,0,0,[]
39,8,29,55,52,46,50,82,83,84,83,10,26,15,34,52,47,90,80,88,79,0,0,0,0,[]
40,6,28,62,57,44,56,84,84,89,81,10,24,15,34,57,40,87,75,85,77,0,0,0,0,[]
41,5,26,67,57,44,58,88,79,91,77,9,28,7,30,57,40,88,71,90,72,0,0,0,0,[]
42,7,24,74,56,45,58,88,75,91,74,11,20,10,22,94,8,89,68,90,69,0,0,0,0,[]
43,7,24,74,58,45,58,88,79,92,76,11,13,20,26,95,5,89,69,92,71,0,0,0,0,[]
44,2,96,75,56,2,96,85,82,84,80,11,13,27,34,52,54,89,70,87,68,0,0,0,0,[]
45,9,25,80,55,5,95,89,79,78,71,90,4,32,38,56,56,83,62,83,61,0,0,0,0,[]
46,9,24,75,58,49,54,85,78,75,65,76,5,31,39,57,54,88,69,84,63,0,0,0,0,[]
47,10,26,80,55,55,55,87,78,76,59,65,7,36,41,54,50,89,71,90,70,0,0,0,0,[]
48,10,26,76,56,51,57,89,75,75,65,54,8,42,39,52,50,90,69,91,69,0,0,0,0,[]
49,9,22,69,62,48,56,89,76,80,75,42,10,53,41,48,48,89,69,93,70,0,0,0,0,[]
50,10,20,66,64,48,55,91,77,85,78,31,12,64,41,50,48,89,71,91,71,0,0,0,0,[]
51,14,20,61,62,47,54,88,81,83,79,20,14,72,42,52,48,90,73,88,72,0,0,0,0,[]
52,12,19,59,63,46,52,88,81,91,81,16,16,73,43,53,48,88,75,91,74,0,0,0,0,[]
53,10,19,57,71,47,53,89,81,82,78,15,17,77,49,53,46,89,75,91,75,0,0,0,0,[]
54,12,17,57,82,48,51,87,80,83,78,20,12,77,59,54,48,89,74,90,73,0,0,0,0,[]
55,21,20,57,82,47,53,85,81,84,81,23,11,77,62,54,47,89,74,88,77,0,0,0,0,[]
56,19,15,57,83,51,51,86,80,85,81,22,11,77,62,54,46,91,76,90,73,0,0,0,0,[]
57,21,14,55,82,51,52,85,81,85,82,25,11,91,5,54,44,90,76,90,73,0,0,0,0,[]
58,24,12,55,82,50,59,86,79,85,81,26,9,79,10,53,45,89,74,90,74,0,0,0,0,[]
59,20,19,55,82,50,59,80,76,78,73,28,8,67,11,47,50,91,70,90,72,0,0,0,0,[]
60,25,28,6,88,51,62,74,72,78,73,26,9,55,11,49,49,90,70,91,72,0,0,0,0,[]
61,31,22,12,76,46,59,79,78,4,95,26,10,45,14,49,49,91,69,92,71,0,0,0,0,[]
62,41,26,17,66,48,53,83,85,16,87,23,11,42,16,53,47,91,69,88,74,0,0,0,0,[]
63,31,22,17,55,45,52,82,85,23,78,19,11,42,14,52,48,95,4,91,81,0,0,0,0,[]
64,21,20,16,44,46,53,81,85,32,74,21,11,43,16,55,44,91,72,88,83,0,0,0,0,[]
