,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,98,2,99,1,97,2,95,94,5,95,5,95,3,97,4,94,3,0,0,0,0,[]
2,2,95,3,95,4,95,5,96,4,95,95,4,92,4,93,6,94,6,94,5,0,0,0,0,[]
3,3,94,3,95,5,95,5,96,4,95,94,5,92,5,93,7,94,7,93,6,0,0,0,0,[]
4,14,74,17,77,21,80,27,94,24,84,71,7,71,15,79,23,84,27,80,23,0,0,0,0,[]
5,18,52,32,60,37,64,49,89,42,70,48,11,54,31,61,37,80,48,66,41,0,0,0,0,[]
6,25,35,33,42,46,52,69,81,57,64,29,20,39,38,52,48,74,65,63,58,0,0,0,0,[]
7,29,36,42,37,46,53,73,74,56,62,25,23,46,35,53,47,66,63,62,62,0,0,0,0,[]
8,30,37,37,39,46,51,64,76,52,66,25,24,47,34,53,49,58,63,57,64,0,0,0,0,[]
9,25,35,35,39,45,53,57,74,47,69,25,24,45,35,56,54,60,63,57,67,0,0,0,0,[]
10,25,36,2,96,45,53,57,72,54,65,25,24,41,36,54,47,64,62,59,62,0,0,0,0,[]
11,25,35,13,93,46,52,60,72,50,66,26,24,43,36,54,46,71,62,64,57,0,0,0,0,[]
12,25,36,24,90,44,54,64,78,50,66,26,24,44,35,52,48,75,59,64,57,0,0,0,0,[]
13,24,37,35,88,43,55,67,79,51,66,26,24,42,33,54,48,79,56,94,8,0,0,0,0,[]
14,24,37,43,82,43,54,66,80,51,66,26,25,41,32,54,47,74,60,93,19,0,0,0,0,[]
15,24,37,52,77,43,54,63,78,52,66,25,25,42,32,53,48,75,58,92,30,0,0,0,0,[]
16,21,37,52,76,43,55,54,76,57,73,20,28,41,31,55,57,83,51,91,41,0,0,0,0,[]
17,23,37,52,76,44,55,54,76,53,76,23,26,42,25,50,50,90,56,91,53,0,0,0,0,[]
18,18,31,51,76,46,54,54,76,55,75,16,15,46,26,53,51,89,68,89,66,0,0,0,0,[]
19,11,30,53,76,45,55,55,76,55,75,12,14,47,25,50,47,86,77,88,76,0,0,0,0,[]
20,12,20,55,77,43,55,62,77,63,77,16,13,46,25,49,50,85,80,82,81,0,0,0,0,[]
21,13,18,66,77,47,53,71,83,71,84,15,11,47,25,50,47,85,80,81,77,0,0,0,0,[]
22,12,17,74,74,43,55,79,86,81,87,18,14,46,24,47,54,85,80,86,81,0,0,0,0,[]
23,15,18,79,75,47,52,80,85,83,85,17,14,44,16,53,50,85,81,88,83,0,0,0,0,[]
24,12,20,89,74,43,52,86,79,89,76,17,13,44,15,51,52,91,73,87,75,0,0,0,0,[]
25,13,19,90,82,41,55,88,81,89,80,16,13,44,16,45,52,90,77,89,78,0,0,0,0,[]
26,14,18,82,89,43,54,81,83,82,84,18,12,44,16,48,49,88,75,88,76,0,0,0,0,[]
27,13,15,70,91,41,58,81,82,81,85,20,13,44,15,48,54,89,79,87,84,0,0,0,0,[]
28,14,14,70,91,43,52,82,82,82,84,21,13,46,16,49,49,89,78,90,79,0,0,0,0,[]
29,15,13,4,91,41,53,84,81,85,81,22,12,51,25,46,50,91,72,92,74,0,0,0,0,[]
30,16,12,7,83,41,57,86,80,86,78,24,13,50,32,47,52,91,71,92,72,0,0,0,0,[]
31,20,12,13,73,41,54,89,78,87,78,24,11,53,31,47,52,90,72,91,72,0,0,0,0,[]
32,17,13,17,63,40,55,86,80,82,78,23,13,51,33,47,52,90,73,89,73,0,0,0,0,[]
33,19,11,19,52,43,56,86,79,86,80,25,10,53,32,47,52,91,74,92,75,0,0,0,0,[]
34,19,10,21,46,43,53,86,76,86,80,25,11,55,32,49,50,91,72,90,71,0,0,0,0,[]
35,20,11,21,45,42,53,87,75,81,77,29,10,58,39,50,50,93,69,90,68,0,0,0,0,[]
36,21,11,19,47,46,56,91,76,86,77,28,9,60,49,55,47,92,71,88,68,0,0,0,0,[]
37,21,11,26,57,45,55,87,76,86,77,25,11,74,53,62,42,91,71,90,71,0,0,0,0,[]
38,22,11,27,59,43,53,86,78,84,80,26,11,74,57,62,42,91,74,91,74,0,0,0,0,[]
39,20,11,30,59,42,53,83,79,83,83,29,9,74,59,94,5,89,75,89,83,0,0,0,0,[]
40,23,10,33,62,42,54,82,80,83,83,27,7,74,60,90,12,89,76,87,85,0,0,0,0,[]
41,22,11,42,67,44,55,85,81,88,84,27,8,68,69,82,18,88,74,90,83,0,0,0,0,[]
42,23,11,48,66,44,55,83,82,85,84,27,7,70,79,75,27,86,76,89,78,0,0,0,0,[]
43,14,16,47,68,43,55,83,82,84,81,29,9,72,83,68,35,86,78,87,78,0,0,0,0,[]
44,12,17,50,66,43,55,81,84,76,87,26,11,71,82,60,44,87,79,85,78,0,0,0,0,[]
45,14,17,50,66,42,53,74,86,75,87,20,11,73,73,52,51,88,80,82,78,0,0,0,0,[]
46,16,18,57,69,42,54,81,85,81,86,18,10,69,63,52,53,87,82,79,75,0,0,0,0,[]
47,12,16,64,76,43,54,82,87,82,87,18,14,64,63,51,52,84,80,79,79,0,0,0,0,[]
48,11,23,72,83,42,54,81,88,83,87,14,14,73,67,50,53,84,79,81,79,0,0,0,0,[]
49,13,17,69,80,43,54,79,88,83,89,16,12,68,61,51,49,83,78,80,81,0,0,0,0,[]
50,13,16,69,79,43,54,80,88,85,87,16,12,63,63,50,49,84,79,86,83,0,0,0,0,[]
51,12,22,62,77,42,55,79,86,80,88,12,20,70,63,45,50,84,80,85,83,0,0,0,0,[]
52,6,32,55,83,41,56,80,89,77,88,14,19,77,63,47,53,83,83,84,89,0,0,0,0,[]
53,6,32,54,84,37,61,79,89,78,89,17,11,87,66,47,49,82,83,85,86,0,0,0,0,[]
54,3,95,54,85,37,61,76,88,76,90,19,12,87,71,46,50,82,85,83,85,0,0,0,0,[]
55,4,92,52,84,3,96,71,87,72,91,23,12,89,81,45,51,78,88,77,87,0,0,0,0,[]
56,5,80,50,82,41,57,72,85,73,91,19,12,87,85,52,49,79,88,80,88,0,0,0,0,[]
57,6,69,50,82,45,55,73,85,74,90,21,13,87,85,52,48,80,88,83,89,0,0,0,0,[]
58,8,59,4,92,43,55,73,87,73,91,23,12,87,85,50,51,79,88,85,85,0,0,0,0,[]
59,9,48,10,78,46,54,70,89,70,90,24,12,89,6,51,50,85,85,84,88,0,0,0,0,[]
60,10,37,16,69,45,56,71,91,73,90,21,9,79,10,49,52,84,88,84,88,0,0,0,0,[]
61,15,32,17,58,43,54,71,90,72,87,23,12,69,17,50,51,93,6,94,7,0,0,0,0,[]
62,11,26,14,44,47,54,69,91,72,87,22,13,59,26,51,51,93,15,89,19,0,0,0,0,[]
63,14,16,15,42,45,58,69,91,2,96,21,13,50,32,54,56,92,27,88,32,0,0,0,0,[]
64,15,16,14,42,40,57,2,96,12,95,21,11,41,31,54,57,91,38,89,43,0,0,0,0,[]
65,16,17,19,48,45,52,75,87,23,94,20,12,38,37,95,5,90,49,88,54,0,0,0,0,[]
66,16,17,23,52,46,51,75,88,34,92,20,14,50,35,88,14,89,60,88,66,0,0,0,0,[]
67,13,19,22,43,45,53,75,88,45,92,16,14,48,34,80,21,87,70,91,76,0,0,0,0,[]
68,12,18,22,32,45,51,77,86,54,86,18,13,51,34,71,29,84,80,88,85,0,0,0,0,[]
69,12,18,19,25,47,52,77,88,64,83,18,14,49,34,63,36,84,82,87,84,0,0,0,0,[]
70,18,16,19,25,40,52,77,88,74,87,18,13,38,37,54,42,84,80,81,78,0,0,0,0,[]
71,13,22,25,23,32,45,81,88,81,86,16,14,29,37,55,41,83,81,84,81,0,0,0,0,[]
72,12,21,25,26,34,40,80,84,78,85,15,16,36,36,52,43,87,81,87,83,0,0,0,0,[]
73,13,20,27,36,31,38,82,79,81,77,18,17,42,25,55,43,90,75,88,83,0,0,0,0,[]
74,15,20,23,31,32,37,85,83,82,79,20,15,41,16,54,48,88,77,90,76,0,0,0,0,[]
75,12,17,23,37,32,44,84,81,83,79,24,8,40,16,55,48,88,75,89,76,0,0,0,0,[]
76,12,15,21,48,40,51,83,80,88,81,24,8,42,16,54,50,87,75,88,76,0,0,0,0,[]
77,14,14,25,58,42,51,82,83,82,83,23,11,44,16,56,61,86,76,89,83,0,0,0,0,[]
78,17,21,27,59,43,52,80,82,78,84,20,13,47,22,56,61,89,81,86,86,0,0,0,0,[]
79,15,20,30,60,42,53,78,87,76,87,24,8,42,26,50,52,84,79,86,86,0,0,0,0,[]
80,15,17,38,65,41,52,78,85,79,86,25,7,45,35,49,53,85,83,83,81,0,0,0,0,[]
81,15,17,44,69,40,53,79,84,79,87,95,4,45,40,48,51,84,80,79,74,0,0,0,0,[]
82,10,23,45,69,42,55,79,85,78,87,15,17,39,34,40,42,85,84,83,78,0,0,0,0,[]
83,8,30,48,73,47,51,80,87,82,87,19,14,39,34,34,38,85,80,87,80,0,0,0,0,[]
84,8,30,50,75,47,53,82,89,77,90,25,13,47,26,40,38,83,79,88,85,0,0,0,0,[]
85,3,95,52,76,48,52,82,90,76,90,24,12,48,26,50,45,85,82,86,87,0,0,0,0,[]
86,4,88,55,76,46,50,80,90,77,89,20,15,48,26,54,47,84,82,84,83,0,0,0,0,[]
87,5,77,58,84,49,53,80,91,76,91,18,13,55,31,55,45,83,83,82,86,0,0,0,0,[]
88,6,66,60,83,53,58,79,90,77,91,18,13,64,38,57,42,82,84,83,85,0,0,0,0,[]
89,7,56,59,83,50,52,76,89,76,91,18,13,74,43,55,42,82,84,83,86,0,0,0,0,[]
90,8,45,60,83,47,54,76,87,76,89,19,16,76,45,53,46,84,87,82,86,0,0,0,0,[]
91,10,34,62,83,46,54,75,87,79,90,18,15,77,52,52,47,83,82,82,85,0,0,0,0,[]
92,12,24,69,80,47,52,75,87,77,89,18,15,81,55,52,45,82,84,82,86,0,0,0,0,[]
93,13,20,78,80,47,52,80,88,83,85,17,17,82,58,54,50,83,83,82,81,0,0,0,0,[]
