, , , , , , , , , , , , , , , , , , , , ,blue_economics,blue_towers,red_economics,red_towers,captions
0,1,95,4,98,4,95,0,97,2,99,93,3,95,2,97,3,96,5,94,5,2500,0,2500,0,[]
1,1,97,4,98,2,95,2,98,4,95,95,2,96,3,94,5,95,5,93,3,2500,0,2500,0,[]
2,2,95,3,95,4,95,5,97,5,96,93,6,94,6,93,5,93,5,93,4,2500,0,2500,0,[]
3,4,95,4,96,4,95,4,95,5,96,93,5,94,6,93,5,92,4,92,4,2500,0,2500,0,[]
4,22,93,25,94,25,86,25,90,28,94,76,19,84,26,72,15,69,7,73,14,2500,0,2500,0,[]
5,45,91,48,92,41,71,48,88,51,93,57,28,79,49,55,30,46,11,56,30,2500,0,2500,0,[]
6,62,84,71,91,49,77,67,82,73,91,41,31,75,66,39,33,41,17,41,32,2500,0,2500,0,[]
7,64,82,70,89,58,85,65,82,77,90,41,32,78,74,38,33,45,23,39,34,2500,0,2500,0,[]
8,63,81,62,83,66,82,64,81,66,89,42,32,76,67,41,31,41,30,41,31,2500,0,2500,0,[]
9,61,82,62,81,66,82,62,81,65,81,41,32,81,66,41,31,41,30,41,31,2500,0,2500,0,[]
10,59,83,62,81,66,82,62,81,64,81,42,32,87,67,42,32,41,30,41,31,2500,0,2500,0,[]
11,49,80,51,83,55,83,53,84,56,83,44,33,87,67,42,35,40,30,41,31,2500,0,2500,0,[]
12,44,70,42,77,48,77,47,76,48,79,55,32,90,6,52,42,35,23,41,31,2500,0,2500,0,[]
13,38,61,40,66,42,68,40,67,40,74,66,34,80,11,54,46,27,15,94,13,2500,0,2500,0,[]
14,39,64,34,62,37,63,38,65,38,63,79,33,68,19,52,48,21,11,93,25,2500,0,2500,0,[]
15,47,72,29,58,43,69,46,73,40,54,88,38,59,23,53,47,22,11,92,38,2500,0,2500,0,[]
16,49,74,20,53,51,76,51,77,42,46,88,48,48,22,59,49,22,11,88,48,2500,0,2500,0,[]
17,49,74,22,46,52,75,53,76,43,47,88,57,46,24,51,48,17,10,81,51,2500,0,2500,0,[]
18,50,74,21,37,51,75,54,76,46,54,88,62,47,25,50,48,13,12,83,61,2500,0,2500,0,[]
19,50,74,11,34,51,75,53,76,46,53,87,72,49,26,51,49,12,18,87,71,2500,0,2500,0,[]
20,50,74,11,22,59,77,61,77,47,52,87,75,51,26,52,47,17,16,91,77,2621,0,2542,0,[]
21,52,84,12,18,69,81,70,83,47,52,86,75,53,29,51,48,14,14,90,76,2642,0,2663,0,[]
22,55,83,13,15,77,87,78,87,46,52,84,81,52,36,51,48,16,14,86,82,2846,0,2939,0,[]
