,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,97,2,95,94,5,95,5,95,2,97,4,93,4,2500,0,2500,0,[]
2,2,95,3,96,3,96,4,95,4,95,92,3,94,6,92,4,94,5,93,5,2500,0,2500,0,[]
3,4,95,4,95,5,96,4,95,4,96,92,4,93,6,92,5,93,6,94,6,2500,0,2500,0,[]
4,17,82,23,80,22,81,25,89,25,86,69,7,73,17,76,21,84,25,80,23,2500,0,2500,0,[]
5,18,57,32,59,38,64,48,88,41,70,47,11,55,31,65,39,80,48,66,41,2500,0,2500,0,[]
6,25,37,34,43,46,58,68,82,51,66,30,18,52,32,65,57,72,63,66,59,2500,0,2500,0,[]
7,26,37,34,42,46,58,60,83,49,66,30,19,52,32,67,67,69,64,73,66,2500,0,2500,0,[]
8,26,37,35,39,45,51,50,81,50,66,30,19,92,6,69,70,70,63,75,63,2500,0,2500,0,[]
9,25,37,34,39,45,51,47,71,50,66,30,19,82,11,69,70,69,60,74,63,2500,0,2500,0,[]
10,26,36,35,39,45,52,50,67,51,65,30,20,72,17,69,70,68,60,74,63,2500,0,2500,0,[]
11,27,37,32,43,44,50,51,67,52,66,31,20,62,23,69,70,69,61,79,64,2500,0,2500,0,[]
12,25,37,31,55,44,52,50,66,50,66,31,20,52,21,69,70,66,56,83,65,2500,0,2500,0,[]
13,25,37,37,64,45,54,51,67,50,67,30,19,47,24,66,65,66,56,82,66,2500,0,2500,0,[]
14,24,37,49,68,48,59,54,68,54,68,30,20,48,25,66,54,68,51,83,66,2500,0,2500,0,[]
15,24,37,59,72,55,67,62,75,62,75,30,20,52,28,56,46,78,51,87,67,2500,0,2500,0,[]
16,21,38,68,78,63,75,71,78,71,78,30,20,52,28,54,46,83,60,89,70,2500,0,2500,0,[]
17,12,34,77,73,72,75,77,70,77,70,29,18,52,28,54,45,89,69,92,74,2500,0,2500,0,[]
18,11,27,75,62,73,64,76,61,76,61,22,12,47,26,51,49,91,79,88,84,2500,0,2500,0,[]
19,12,22,75,55,62,61,74,58,73,53,20,13,48,24,50,50,87,85,84,89,2500,0,2500,0,[]
20,11,18,74,55,52,56,75,58,76,56,17,15,49,24,50,50,89,82,85,87,2521,0,2500,0,[]
21,12,17,76,55,50,51,75,66,75,66,17,13,49,24,51,47,89,82,85,87,2621,0,2684,0,[]
22,13,17,77,49,45,54,77,77,77,77,18,13,45,16,51,49,87,83,85,82,2714,0,2818,0,[]
23,11,19,76,44,49,53,80,84,80,84,16,13,45,14,49,47,87,82,87,82,2895,0,2890,0,[]
24,8,18,76,44,46,54,80,84,81,86,15,13,47,16,49,49,85,82,86,82,3056,0,3025,0,[]
25,11,17,76,45,44,53,80,83,81,85,17,15,44,16,49,51,86,80,88,84,3207,0,3157,0,[]
26,10,20,77,47,46,54,83,85,83,85,15,16,46,15,51,47,90,78,89,82,3299,0,3262,0,[]
27,10,20,80,55,48,53,83,84,83,84,16,18,49,19,50,46,88,79,87,80,3421,0,3355,0,[]
28,12,19,81,56,50,49,84,83,84,83,17,14,52,31,55,46,88,78,88,78,3646,0,3426,0,[]
29,11,21,76,56,54,47,85,85,85,85,16,16,53,35,55,43,87,74,91,80,3753,0,3612,0,[]
30,11,20,68,63,52,50,87,78,86,79,15,17,55,31,54,44,89,72,91,73,3823,0,3702,0,[]
31,10,24,57,65,53,51,90,76,91,75,18,14,55,32,52,45,87,71,93,71,3924,0,3785,0,[]
32,11,24,55,76,53,49,90,78,90,78,19,18,64,38,54,44,87,73,91,72,4005,0,3895,0,[]
33,11,19,52,75,53,51,86,79,86,79,18,17,66,49,53,45,88,73,92,76,4119,0,3994,0,[]
34,12,17,52,75,48,49,86,79,86,79,18,17,64,60,57,44,89,74,91,74,4336,0,4122,0,[]
35,12,16,52,75,47,53,84,79,84,79,18,13,67,66,53,48,87,71,92,73,4515,0,4309,0,[]
36,12,18,57,71,53,60,78,79,78,79,18,16,66,55,54,47,88,67,91,70,4566,0,4522,0,[]
37,13,18,59,61,55,56,78,78,78,78,17,17,68,43,53,45,89,71,91,73,4622,0,4626,0,[]
38,12,20,70,63,52,49,86,80,86,80,17,14,59,35,54,44,88,75,91,75,4744,0,4732,0,[]
39,13,20,72,63,51,51,85,83,85,83,16,13,48,32,51,46,86,77,91,77,4858,0,4832,0,[]
40,10,20,67,64,49,53,83,81,83,81,17,15,40,34,50,51,86,78,90,81,5049,0,4939,0,[]
41,10,20,73,64,46,54,85,79,85,79,19,14,30,37,50,48,90,74,92,78,5167,0,5010,0,[]
42,6,28,70,62,46,55,85,80,85,80,19,13,27,34,49,50,88,75,91,76,5265,0,5114,0,[]
43,6,28,58,58,45,54,85,79,85,79,19,13,29,35,48,50,89,73,90,76,5330,0,5256,0,[]
44,2,95,55,57,45,52,83,80,83,80,18,15,24,40,48,52,88,68,89,69,5444,0,5370,0,[]
45,4,85,53,50,52,47,82,79,79,78,16,14,24,40,55,43,89,76,84,67,5593,0,5420,0,[]
46,6,70,56,55,52,48,84,81,84,81,17,17,23,40,56,43,90,71,84,66,5665,0,5576,0,[]
47,7,59,66,62,54,48,86,81,86,81,16,18,21,44,57,42,88,73,84,67,5749,0,5787,0,[]
48,8,45,78,64,58,55,87,75,87,75,14,21,15,43,51,48,88,69,84,64,5811,0,5893,0,[]
49,8,34,84,64,66,60,89,75,89,75,10,25,19,44,49,50,93,70,91,70,5904,0,6056,0,[]
50,9,25,84,64,57,57,86,77,86,77,13,21,19,46,49,49,93,64,93,64,5983,0,6277,0,[]
51,7,26,84,64,48,54,84,80,87,80,12,21,14,43,42,45,91,58,90,57,6055,0,6372,0,[]
52,8,28,83,67,46,51,85,78,87,78,11,22,16,41,32,39,93,65,89,60,6272,0,6504,0,[]
53,6,31,84,65,48,53,89,73,91,73,11,25,14,36,20,36,94,61,92,60,6433,0,6590,0,[]
54,5,30,84,65,50,51,88,76,91,74,11,26,12,34,14,34,93,67,90,68,6500,0,6796,0,[]
55,8,28,2,96,51,51,6,32,5,36,18,18,21,38,20,37,90,75,90,74,6682,0,6866,0,[]
56,7,28,8,86,50,52,6,32,5,37,24,14,25,28,31,37,85,80,87,81,6777,0,6933,0,[]
57,7,26,17,78,47,54,7,96,3,96,24,14,34,22,44,37,86,82,85,80,6853,0,7044,0,[]
58,8,26,28,74,45,55,11,95,11,95,93,4,42,18,55,44,86,81,88,78,6936,0,7235,0,[]
59,8,26,40,71,4,96,25,94,25,94,83,5,42,16,49,50,88,82,88,78,7008,0,7358,0,[]
60,9,25,45,65,8,94,36,93,36,93,72,6,43,16,46,53,94,5,95,4,7073,0,7512,0,[]
61,8,23,46,64,18,86,47,93,47,93,61,6,45,14,47,51,94,10,94,15,7238,0,7628,0,[]
62,9,20,45,62,25,77,59,93,58,93,50,8,46,14,50,46,93,21,92,26,7331,0,7688,0,[]
63,11,18,45,63,32,68,69,91,69,91,39,10,52,11,50,46,92,32,91,38,7427,0,7739,0,[]
64,11,19,46,63,41,59,74,88,71,84,28,12,52,11,93,5,91,43,90,50,7555,0,7790,0,[]
65,13,21,51,66,46,58,75,87,73,86,20,13,87,8,86,9,92,54,88,62,7648,0,7903,0,[]
66,18,24,53,61,49,58,75,87,73,86,26,12,77,14,78,17,89,65,90,74,7731,0,7972,0,[]
67,18,24,50,58,49,54,77,87,75,87,24,10,67,20,71,26,86,75,88,84,7818,0,8065,0,[]
68,4,88,53,61,49,52,80,86,80,87,24,11,58,27,63,33,84,80,87,85,7946,0,8129,0,[]
69,5,74,61,63,51,49,80,87,80,87,24,11,53,33,56,42,83,82,87,85,8133,0,8222,0,[]
70,7,63,71,63,56,56,83,82,83,85,26,14,54,32,58,42,87,77,88,79,8264,0,8427,0,[]
71,10,49,78,55,64,62,87,75,87,75,24,9,62,35,57,43,91,67,87,68,8341,0,8614,0,[]
72,10,38,79,56,71,63,88,75,88,75,25,10,66,46,52,47,91,70,90,69,8393,0,8922,0,[]
73,15,33,78,55,60,63,90,76,90,76,23,11,62,53,49,49,92,71,87,67,8573,0,9071,0,[]
74,11,32,75,63,49,59,88,78,88,78,18,13,65,53,57,49,92,72,88,72,8645,0,9164,0,[]
75,12,21,74,69,45,52,89,78,89,78,18,14,68,63,66,55,91,71,87,75,8824,0,9256,0,[]
76,12,19,80,78,49,58,87,75,87,77,14,13,74,69,70,65,92,71,87,70,8947,0,9379,0,[]
77,8,27,77,79,56,67,87,80,84,79,10,20,68,66,70,67,89,71,87,71,9029,0,9481,0,[]
78,9,32,71,68,59,63,78,74,77,74,9,25,66,59,65,60,87,66,85,66,9103,0,9617,0,[]
79,9,26,65,61,63,62,74,71,75,73,8,24,65,53,60,50,79,68,80,69,9217,0,9678,0,[]
80,7,27,62,57,64,60,70,63,74,69,14,20,75,49,50,51,80,67,81,69,9293,0,9829,0,[]
81,10,23,63,60,53,56,73,73,75,76,14,20,82,58,55,49,79,67,80,67,9344,0,9879,0,[]
82,10,25,54,61,46,54,80,81,81,82,13,20,83,58,65,50,87,69,87,71,9484,0,9969,0,[]
83,10,26,44,56,49,49,84,84,81,82,13,19,75,52,74,52,87,79,89,80,9620,0,10069,0,[]
84,7,31,35,49,49,48,82,82,82,82,9,24,76,53,76,53,91,73,90,75,9727,0,10220,0,[]
85,7,28,30,40,49,47,82,82,82,82,13,21,77,50,78,51,88,75,89,79,9980,0,10270,0,[]
86,10,22,22,30,46,45,85,82,85,82,20,15,75,43,67,50,91,76,87,78,10045,0,10374,0,[]
87,12,20,23,24,36,39,83,85,83,85,17,15,73,42,58,47,86,78,89,81,10141,0,10692,0,[]
88,12,19,29,20,32,37,81,86,81,86,23,11,70,40,55,44,84,79,87,85,10247,0,10763,0,[]
89,15,19,24,29,32,44,75,87,75,87,33,12,60,35,48,52,83,80,84,88,10347,0,10849,0,[]
90,12,16,23,41,40,50,75,87,75,87,39,14,52,29,49,51,82,79,84,88,10482,0,10963,0,[]
91,17,18,16,44,42,55,77,88,77,88,29,12,52,28,47,52,80,77,84,81,10554,0,11207,0,[]
92,18,15,16,43,38,58,83,85,83,85,23,9,54,29,45,43,84,78,88,82,10794,0,11362,0,[]
93,15,12,19,48,40,57,85,83,85,83,22,11,56,32,46,44,87,75,91,78,10964,0,11413,0,[]
94,17,11,23,56,42,58,85,83,85,83,26,9,57,42,53,52,88,73,87,71,11162,0,11554,0,[]
95,15,11,23,56,49,58,87,80,87,80,27,8,59,53,56,54,89,71,89,69,11266,0,11716,0,[]
96,15,10,32,61,47,54,87,75,87,75,28,9,53,58,50,48,88,67,87,67,11317,0,11809,0,[]
97,18,13,41,66,46,55,88,75,88,75,28,11,53,58,50,49,88,67,92,66,11456,0,11920,0,[]
98,19,11,45,65,46,56,85,79,86,79,27,17,53,58,52,46,86,66,81,66,11598,0,11992,0,[]
99,14,12,46,64,46,55,84,79,82,78,21,12,53,58,50,47,90,63,73,63,11814,0,12073,0,[]
100,13,13,47,66,47,55,90,72,90,72,24,11,53,58,51,46,92,67,65,57,12068,0,12168,0,[]
101,11,14,46,67,42,56,91,73,91,74,28,9,53,58,51,47,92,65,63,62,12213,0,12308,0,[]
