,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,5,97,2,98,1,96,2,95,94,5,95,5,95,2,96,4,93,4,2500,0,2500,0,[]
2,3,95,5,97,4,95,4,97,4,95,93,5,93,5,94,6,93,3,95,6,2500,0,2500,0,[]
3,4,95,5,97,4,95,5,96,4,94,92,5,93,5,93,6,94,5,94,6,2500,0,2500,0,[]
4,22,83,23,80,22,81,21,83,21,81,69,7,73,17,79,23,85,20,80,23,2500,0,2500,0,[]
5,34,68,39,63,38,64,36,66,37,66,47,11,55,30,62,39,80,41,66,40,2500,0,2500,0,[]
6,48,55,52,56,48,57,48,55,49,55,30,18,41,36,54,48,75,63,64,57,2500,0,2500,0,[]
7,58,57,63,57,57,61,59,58,60,57,26,24,33,40,52,45,79,66,66,50,2520,0,2500,0,[]
8,66,55,67,49,66,56,66,54,67,53,26,34,28,50,54,44,81,69,66,41,2520,0,2500,0,[]
9,71,49,72,49,72,50,75,50,69,47,24,33,24,50,54,43,87,67,65,35,2520,0,2500,0,[]
10,76,54,76,55,76,56,75,58,77,51,25,25,24,50,55,42,86,75,74,33,2520,0,2500,0,[]
11,75,65,76,67,73,67,75,69,75,62,30,21,87,7,52,45,86,75,85,34,2520,0,2500,0,[]
12,78,73,79,75,73,71,79,76,78,72,31,21,78,14,52,44,87,71,89,43,2520,0,2500,0,[]
13,78,73,87,82,73,71,88,82,84,80,31,21,68,19,53,44,87,68,88,54,2520,0,2500,0,[]
14,4,92,82,83,10,91,80,87,80,80,40,23,58,23,54,44,87,68,85,63,2520,0,2500,0,[]
15,5,81,77,72,20,83,77,78,78,72,46,23,50,22,55,43,85,66,85,64,2520,0,2500,0,[]
16,7,67,75,59,28,74,75,66,74,62,46,23,48,24,53,45,87,66,87,69,2520,0,2500,0,[]
17,7,56,75,60,36,66,72,63,74,62,46,23,48,24,50,48,85,77,88,74,2520,0,2500,0,[]
18,8,45,74,52,43,59,74,57,73,54,46,24,48,25,50,49,86,75,87,69,2520,0,2500,0,[]
19,14,35,74,54,49,55,73,57,74,57,44,24,49,26,50,48,84,65,84,63,2641,0,2621,0,[]
20,20,40,77,51,48,54,74,64,73,66,36,23,53,29,50,48,85,65,84,63,2683,0,2691,0,[]
21,14,34,74,44,47,50,76,74,75,76,27,17,59,38,53,48,87,68,83,63,2715,0,2705,0,[]
22,11,26,74,44,40,54,82,81,82,84,17,12,60,49,46,50,87,78,87,66,2905,0,2797,0,[]
