,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,97,2,95,94,4,96,5,95,2,96,4,93,4,2500,0,2500,0,[]
2,3,94,3,96,5,96,4,96,4,95,94,5,95,6,94,5,95,6,94,6,2500,0,2500,0,[]
3,3,94,4,94,4,95,5,96,5,96,93,6,94,7,92,5,95,6,94,7,2500,0,2500,0,[]
4,13,75,18,76,22,81,26,93,25,86,83,27,83,28,78,23,84,26,89,27,2500,0,2500,0,[]
5,19,52,32,59,37,64,49,90,41,71,80,49,80,51,66,41,82,48,80,51,2500,0,2500,0,[]
6,25,34,33,42,48,51,68,81,51,65,87,70,87,73,76,57,87,69,87,73,2500,0,2500,0,[]
7,26,35,36,37,47,51,62,77,51,66,81,79,78,79,72,67,82,79,78,79,2500,0,2500,0,[]
8,37,36,43,33,46,47,52,76,49,65,71,78,69,81,72,76,73,77,69,81,2500,0,2520,0,[]
9,41,28,46,32,43,38,44,79,50,61,62,83,58,83,65,83,64,83,58,83,2500,0,2520,0,[]
10,49,22,42,33,50,33,41,83,41,60,52,83,51,83,54,83,53,84,51,83,2500,0,2520,0,[]
11,41,28,37,39,39,37,44,88,34,68,48,73,46,73,48,76,52,77,46,73,2500,0,2520,0,[]
12,37,37,33,43,32,44,48,91,28,77,53,76,46,72,51,75,51,77,48,75,2500,0,2520,0,[]
13,32,46,31,49,38,51,45,90,31,82,55,75,56,76,56,75,54,77,55,76,2500,0,2520,0,[]
14,30,53,33,62,40,60,35,84,32,80,57,65,56,68,57,66,57,72,56,67,2500,0,2520,0,[]
15,32,62,33,73,33,69,36,76,36,77,65,57,55,75,56,67,51,77,55,75,2500,0,2520,0,[]
16,32,74,37,75,38,75,38,76,36,77,68,48,46,79,57,67,44,79,46,79,2500,0,2520,0,[]
17,38,76,43,78,40,77,41,78,40,75,62,37,49,78,55,76,49,79,49,78,2520,0,2531,0,[]
18,45,79,51,77,47,78,49,77,48,78,53,30,54,76,55,76,58,76,54,76,2520,0,2531,0,[]
19,48,78,47,78,49,74,50,79,50,80,45,24,56,75,56,75,58,76,56,75,2520,0,2542,0,[]
