,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGTeeen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,1,97,2,95,94,5,95,5,95,2,96,3,93,3,2500,0,2500,0,[]
2,4,94,5,96,4,95,4,96,3,94,93,5,94,6,92,3,93,5,93,3,2500,0,2500,0,[]
3,4,94,5,96,4,95,5,97,4,94,93,5,93,6,92,4,93,5,92,6,2500,0,2500,0,[]
4,14,75,17,78,20,81,27,93,24,84,70,7,72,17,71,11,72,15,72,12,2500,0,2500,0,[]
5,18,53,32,61,35,64,49,90,42,70,47,12,54,31,51,20,53,21,53,19,2500,0,2500,0,[]
6,32,43,34,42,42,55,68,81,50,66,30,21,43,35,43,24,44,23,43,24,2500,0,2500,0,[]
7,31,40,35,39,43,54,68,82,51,66,30,22,44,35,43,24,44,23,43,24,2500,0,2500,0,[]
8,25,38,35,39,42,46,63,78,50,66,30,22,44,35,44,23,44,23,43,24,2500,0,2500,0,[]
9,24,38,35,39,41,56,60,68,51,65,30,21,43,34,52,27,44,24,49,25,2500,0,2500,0,[]
10,24,38,35,39,44,54,57,72,50,65,30,21,47,34,59,35,95,4,57,33,2500,0,2500,0,[]
11,24,38,35,39,47,51,57,70,50,65,30,21,56,33,55,45,94,14,66,39,2500,0,2500,0,[]
12,24,38,34,39,45,53,54,76,50,66,30,21,61,37,52,48,89,23,66,39,2500,0,2500,0,[]
13,24,38,32,44,44,54,55,76,50,66,30,21,67,46,53,49,81,31,66,49,2500,0,2500,0,[]
14,33,39,31,57,45,54,49,74,50,66,30,21,60,36,52,49,81,44,66,48,2500,0,2500,0,[]
15,32,38,39,65,44,55,48,75,50,66,30,21,52,28,50,50,87,53,78,50,2500,0,2500,0,[]
16,32,38,46,70,46,53,50,76,51,65,28,19,47,24,54,48,86,63,83,60,2500,0,2500,0,[]
17,28,37,49,73,44,53,52,76,50,67,23,11,46,24,50,49,83,66,84,66,2500,0,2500,0,[]
18,19,35,51,73,46,51,53,76,47,73,13,11,48,26,52,49,87,73,88,73,2500,0,2500,0,[]
19,11,32,51,75,45,52,55,76,52,75,11,13,49,26,52,47,87,80,89,82,2600,0,2521,0,[]
20,13,21,50,80,46,52,66,79,62,78,16,15,50,26,52,47,86,80,88,84,2621,0,2521,0,[]
21,13,20,54,84,46,53,74,86,71,84,16,15,52,28,52,48,80,76,85,82,2652,0,2663,0,[]
22,14,19,54,84,46,53,82,87,80,85,16,12,53,32,52,47,85,78,87,82,2918,0,2938,0,[]
23,10,20,54,84,46,54,82,86,80,85,13,13,54,31,51,47,86,82,89,84,2995,0,3023,0,[]
24,11,19,53,83,47,53,81,84,81,86,17,14,56,33,50,48,86,81,88,85,3090,0,3084,0,[]
25,13,19,51,83,48,51,80,83,81,89,16,14,64,38,51,48,85,82,85,87,3229,0,3197,0,[]
26,13,19,47,72,46,53,79,84,84,88,17,13,75,44,51,47,85,81,86,82,3319,0,3252,0,[]
27,12,19,46,64,47,53,80,85,82,86,17,15,76,45,52,47,87,82,88,83,3453,0,3454,0,[]
28,11,19,45,68,48,53,80,85,79,89,16,16,76,47,52,47,84,82,84,88,3610,0,3581,0,[]
29,12,19,45,67,48,53,75,90,77,88,15,14,77,47,52,47,78,85,79,87,3748,0,3749,0,[]
30,11,19,42,66,46,53,73,87,76,89,12,13,74,54,50,48,85,85,84,88,3799,0,3845,0,[]
31,10,19,32,61,45,51,77,87,77,90,14,15,74,57,52,49,85,84,85,88,3927,0,3963,0,[]
32,9,20,25,58,46,53,79,86,82,89,22,14,74,59,53,48,85,84,87,85,4002,0,4043,0,[]
33,9,20,23,55,46,52,81,87,80,89,16,16,73,62,53,48,84,82,86,84,4167,0,4281,0,[]
