,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,96,2,95,94,5,96,5,95,2,96,4,93,4,0,0,0,0,[]
2,4,94,5,96,4,96,4,96,2,95,93,5,92,4,93,5,94,5,94,6,0,0,0,0,[]
3,4,94,5,96,4,95,4,96,2,95,93,5,92,4,93,5,94,6,94,6,0,0,0,0,[]
4,14,74,17,77,22,81,24,93,13,90,73,12,72,15,79,22,84,27,80,23,0,0,0,0,[]
5,19,52,32,60,36,63,46,88,32,79,56,22,54,31,62,38,66,38,66,40,0,0,0,0,[]
6,23,34,35,42,44,54,66,82,50,66,34,23,46,34,51,49,66,58,63,57,0,0,0,0,[]
7,20,28,37,39,41,56,75,77,51,66,29,23,45,35,50,52,75,62,50,52,0,0,0,0,[]
8,20,27,35,38,39,59,67,78,51,66,29,21,46,34,48,48,80,69,48,48,0,0,0,0,[]
9,20,27,35,39,38,60,70,82,51,67,29,21,46,36,54,48,75,64,58,50,0,0,0,0,[]
10,20,27,35,39,37,61,73,85,50,67,29,22,46,36,63,53,72,63,65,53,0,0,0,0,[]
11,20,27,35,38,41,57,69,81,50,67,29,22,48,35,56,46,72,63,66,56,0,0,0,0,[]
12,20,27,35,39,44,54,68,80,50,67,29,22,48,35,54,45,74,66,64,53,0,0,0,0,[]
13,20,27,34,39,49,60,68,80,49,68,30,22,93,8,57,46,73,64,65,57,0,0,0,0,[]
14,20,28,34,38,44,56,68,80,48,74,30,23,86,18,55,46,73,62,65,56,0,0,0,0,[]
15,24,37,34,39,44,53,68,80,58,76,29,22,81,28,55,46,73,63,70,61,0,0,0,0,[]
16,23,42,30,38,46,52,72,84,70,82,29,21,80,42,56,45,76,62,71,62,0,0,0,0,[]
17,22,44,24,43,45,53,79,90,78,88,29,20,76,52,57,45,84,66,84,66,0,0,0,0,[]
18,23,45,23,48,47,54,88,85,87,86,24,14,76,52,51,47,89,69,89,69,0,0,0,0,[]
19,23,42,23,47,44,52,88,84,88,84,16,17,77,54,53,49,87,76,87,76,0,0,0,0,[]
20,23,35,21,45,44,52,83,85,85,85,17,14,79,54,51,51,82,79,82,79,0,0,0,0,[]
21,18,24,19,44,46,53,81,83,85,85,17,15,80,54,52,47,86,79,86,81,0,0,0,0,[]
22,13,19,15,43,45,53,80,86,84,88,14,13,81,55,50,47,84,80,88,82,0,0,0,0,[]
23,12,20,15,42,45,53,81,86,84,88,13,13,83,56,51,51,84,81,88,83,0,0,0,0,[]
24,8,22,15,43,48,52,81,86,84,87,15,16,83,56,50,48,85,80,88,82,0,0,0,0,[]
25,13,20,18,46,47,52,82,83,85,86,15,17,78,50,52,49,86,79,89,81,0,0,0,0,[]
26,12,22,23,55,45,54,83,81,86,83,14,18,73,43,52,47,88,77,88,77,0,0,0,0,[]
27,9,23,24,56,46,54,83,83,88,84,13,21,74,43,49,48,85,78,85,78,0,0,0,0,[]
28,8,27,25,58,46,53,83,80,89,78,13,20,69,40,52,48,90,71,89,69,0,0,0,0,[]
29,10,30,28,59,48,49,85,80,85,78,11,19,59,35,55,42,89,68,86,66,0,0,0,0,[]
30,10,27,32,61,47,50,87,77,88,76,14,20,53,32,56,46,92,72,91,72,0,0,0,0,[]
31,10,28,41,66,47,49,87,76,89,77,16,22,53,33,55,48,90,69,90,69,0,0,0,0,[]
32,8,28,47,66,49,49,88,78,83,78,10,24,53,31,56,46,89,73,90,71,0,0,0,0,[]
33,7,29,47,65,47,50,85,77,80,76,11,22,52,27,56,45,91,72,91,72,0,0,0,0,[]
34,9,29,46,67,48,49,88,77,82,77,12,23,53,26,57,44,89,70,89,70,0,0,0,0,[]
35,9,30,51,73,52,47,83,78,76,68,11,24,49,21,57,41,91,69,90,69,0,0,0,0,[]
36,7,32,51,75,50,49,79,73,76,60,10,26,43,17,57,45,90,69,88,71,0,0,0,0,[]
37,7,31,52,76,51,49,81,77,76,68,10,26,43,16,57,44,90,70,88,72,0,0,0,0,[]
38,7,31,56,74,51,50,86,81,81,77,11,22,45,15,56,43,91,72,89,72,0,0,0,0,[]
