,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,4,95,2,97,3,93,3,0,0,0,0,[]
1,3,96,5,97,2,98,1,97,2,95,93,5,95,5,94,2,97,3,93,3,0,0,0,0,[]
2,2,95,5,97,4,95,4,96,5,97,92,4,94,6,94,4,95,4,94,6,0,0,0,0,[]
3,4,95,5,96,5,95,5,95,5,97,92,4,94,6,92,5,95,6,94,6,0,0,0,0,[]
4,13,75,19,79,22,79,28,92,24,86,70,7,73,17,78,22,85,26,80,23,0,0,0,0,[]
5,18,53,32,60,37,62,50,89,41,71,47,11,55,30,62,38,80,47,66,40,0,0,0,0,[]
6,23,35,34,42,46,53,68,81,50,66,29,20,40,38,54,46,75,66,64,57,0,0,0,0,[]
7,23,33,34,42,48,51,58,76,49,66,20,25,41,38,55,45,75,68,64,57,0,0,0,0,[]
8,23,33,34,42,47,56,48,73,49,65,20,27,44,36,56,45,75,67,64,57,0,0,0,0,[]
9,23,34,34,42,47,53,51,67,47,54,19,24,43,38,55,44,76,68,64,57,0,0,0,0,[]
10,24,35,34,42,48,50,50,67,48,50,20,27,46,35,60,40,78,74,64,57,0,0,0,0,[]
11,24,34,34,42,42,47,50,67,42,47,20,27,46,35,61,40,78,75,64,57,0,0,0,0,[]
12,23,34,34,42,43,38,50,67,43,37,20,27,47,34,94,4,78,73,64,57,0,0,0,0,[]
13,23,34,3,96,40,43,49,66,43,46,20,27,47,33,85,10,75,71,63,62,0,0,0,0,[]
14,23,34,14,94,44,53,49,68,46,56,20,26,47,35,77,18,79,74,64,57,0,0,0,0,[]
15,23,33,23,89,42,58,50,67,50,67,20,26,46,34,70,27,78,74,64,57,0,0,0,0,[]
16,24,34,33,80,41,56,47,73,47,73,20,27,46,32,61,36,79,74,64,57,0,0,0,0,[]
17,23,37,44,76,40,58,47,71,47,71,20,26,51,27,54,44,79,74,71,66,0,0,0,0,[]
18,14,34,51,75,45,55,54,76,53,77,23,31,49,24,50,49,79,75,78,74,0,0,0,0,[]
19,10,26,51,76,47,57,54,77,55,76,19,20,46,24,49,49,82,77,79,76,0,0,0,0,[]
