,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,3,97,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,93,5,95,5,95,3,96,4,93,4,0,0,0,0,[]
2,3,94,5,96,3,95,5,96,4,95,93,4,93,6,95,4,94,5,93,5,0,0,0,0,[]
3,3,93,5,96,4,95,5,96,5,95,92,4,93,6,93,5,93,6,92,5,0,0,0,0,[]
4,14,73,17,78,22,80,26,90,26,85,72,15,74,16,76,19,83,26,80,23,0,0,0,0,[]
5,18,52,32,60,36,62,48,90,43,69,55,30,56,30,60,36,80,48,66,40,0,0,0,0,[]
6,24,38,34,42,46,52,68,82,51,65,40,37,40,38,46,40,72,63,65,58,0,0,0,0,[]
7,22,44,31,52,40,52,73,77,51,65,32,44,32,44,44,42,74,62,65,57,0,0,0,0,[]
8,21,48,31,52,39,55,75,71,50,66,30,38,39,38,44,44,74,62,65,57,0,0,0,0,[]
9,21,48,29,51,41,57,74,71,57,66,25,28,41,29,44,43,75,62,93,9,0,0,0,0,[]
10,5,91,21,48,41,54,75,74,57,66,29,21,41,29,45,43,74,62,88,19,0,0,0,0,[]
11,10,82,21,47,40,55,73,76,58,63,30,23,95,4,43,44,75,61,86,29,0,0,0,0,[]
12,14,72,20,44,34,59,73,77,57,67,29,21,90,14,44,43,76,61,88,39,0,0,0,0,[]
13,17,62,21,52,31,56,70,78,57,67,29,21,85,24,45,43,84,66,89,50,0,0,0,0,[]
14,19,51,29,60,29,53,69,77,11,95,25,13,81,35,45,43,84,66,88,61,0,0,0,0,[]
15,23,48,39,66,25,50,69,79,22,94,16,9,80,46,44,43,85,64,88,66,0,0,0,0,[]
16,23,48,44,69,21,48,68,81,34,93,10,14,76,56,45,43,86,65,87,66,0,0,0,0,[]
17,23,48,46,72,22,47,68,80,45,92,11,13,75,54,45,43,87,67,87,66,0,0,0,0,[]
18,22,43,51,74,22,50,71,86,56,91,15,13,75,53,47,46,88,66,88,69,0,0,0,0,[]
19,15,37,50,76,36,49,76,86,70,89,20,24,77,54,49,48,86,77,87,76,0,0,0,0,[]
20,11,27,50,76,44,53,80,86,80,87,19,24,81,55,51,50,86,82,84,83,0,0,0,0,[]
21,10,19,50,77,46,54,79,84,82,86,15,20,79,52,48,50,85,82,84,83,0,0,0,0,[]
22,12,19,54,83,41,56,80,88,79,89,18,13,79,54,44,52,85,82,82,83,0,0,0,0,[]
23,13,19,53,85,40,57,76,87,77,89,15,13,80,54,42,45,84,83,83,82,0,0,0,0,[]
24,13,19,53,85,42,56,72,87,72,90,15,14,80,53,46,51,80,88,80,88,0,0,0,0,[]
25,12,19,56,83,43,56,73,86,74,91,15,16,74,44,47,50,79,88,79,88,0,0,0,0,[]
26,13,19,55,83,42,55,73,90,74,90,18,16,72,43,49,50,78,86,79,86,0,0,0,0,[]
27,10,17,54,84,41,54,74,88,76,89,17,17,69,40,47,52,80,86,80,87,0,0,0,0,[]
28,10,18,53,84,42,53,72,88,72,91,17,16,69,40,48,49,80,88,79,86,0,0,0,0,[]
29,11,20,49,78,46,52,73,90,73,89,16,16,60,34,51,49,78,88,79,88,0,0,0,0,[]
