,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,99,1,96,2,95,93,5,95,5,94,2,97,3,94,4,0,0,0,0,[]
2,3,94,3,94,3,97,3,97,4,96,92,4,94,4,92,4,93,5,94,6,0,0,0,0,[]
3,3,94,3,94,4,95,5,97,5,95,92,4,92,4,92,4,93,6,94,6,0,0,0,0,[]
4,18,77,17,77,23,82,27,90,25,86,70,6,72,17,79,21,82,24,79,23,0,0,0,0,[]
5,32,59,32,60,32,61,49,89,41,70,48,11,54,31,63,37,80,47,67,41,0,0,0,0,[]
6,34,41,33,42,33,42,65,82,48,66,30,19,39,39,53,45,72,64,65,57,0,0,0,0,[]
7,32,38,35,37,34,41,54,84,44,67,29,22,46,37,54,44,70,62,64,57,0,0,0,0,[]
8,34,39,34,39,36,38,46,80,44,67,29,22,48,34,54,46,62,62,63,61,0,0,0,0,[]
9,29,37,35,39,32,44,48,78,10,94,29,22,47,39,51,54,57,64,57,66,0,0,0,0,[]
10,33,42,34,39,35,48,47,78,20,90,29,22,46,37,49,52,60,62,57,63,0,0,0,0,[]
11,35,39,37,38,33,48,47,78,29,83,30,20,48,38,51,47,67,61,65,57,0,0,0,0,[]
12,28,38,31,48,40,51,4,96,37,76,29,21,47,38,51,47,77,62,65,57,0,0,0,0,[]
13,31,45,31,59,40,52,15,95,47,79,35,24,41,39,47,45,81,69,64,53,0,0,0,0,[]
14,34,42,40,66,37,49,26,94,49,78,39,33,43,38,41,39,84,64,59,50,0,0,0,0,[]
15,30,39,47,73,40,52,36,89,52,75,38,27,53,44,46,40,83,66,61,50,0,0,0,0,[]
16,20,37,54,76,45,54,44,82,51,75,30,21,62,50,53,46,84,65,72,50,0,0,0,0,[]
17,11,32,51,77,49,49,53,77,52,75,35,17,76,49,55,48,87,67,81,56,0,0,0,0,[]
18,8,22,50,75,46,50,54,76,51,75,31,11,76,52,52,51,87,68,86,65,0,0,0,0,[]
19,11,13,50,76,47,52,55,76,52,76,21,12,75,53,50,48,85,77,86,75,0,0,0,0,[]
20,11,13,50,75,45,51,66,79,62,78,18,14,77,53,52,46,83,80,83,82,0,0,0,0,[]
21,12,15,56,82,47,49,74,86,71,83,18,14,78,52,52,48,84,81,88,82,0,0,0,0,[]
22,12,17,54,83,44,51,80,88,78,87,17,14,78,54,50,49,83,81,84,81,0,0,0,0,[]
23,13,20,52,85,42,53,80,87,80,86,18,14,81,55,47,41,86,83,83,80,0,0,0,0,[]
24,14,18,54,84,47,53,80,86,82,90,16,17,80,55,50,47,85,82,86,81,0,0,0,0,[]
25,16,16,52,84,46,50,81,85,87,85,18,16,77,48,52,46,85,78,86,78,0,0,0,0,[]
26,12,20,42,78,44,52,82,85,87,84,17,15,74,43,50,46,85,80,86,79,0,0,0,0,[]
27,10,20,32,70,45,50,82,83,88,84,15,20,74,43,52,47,87,75,89,75,0,0,0,0,[]
28,10,23,32,59,44,51,82,82,87,84,15,18,65,38,49,48,87,75,88,75,0,0,0,0,[]
29,8,25,25,47,44,54,82,83,88,83,14,21,55,32,49,50,88,73,89,74,0,0,0,0,[]
30,5,29,23,45,44,54,83,79,88,82,14,22,53,36,50,49,87,74,89,73,0,0,0,0,[]
31,7,28,21,48,44,52,83,83,88,83,9,24,52,34,51,48,89,78,86,77,0,0,0,0,[]
32,7,26,21,48,47,51,82,83,89,82,8,23,51,28,52,49,86,75,88,75,0,0,0,0,[]
33,7,26,22,44,44,52,84,81,89,81,9,19,49,25,50,47,87,72,89,73,0,0,0,0,[]
34,7,23,27,35,45,49,86,79,88,82,11,22,49,24,50,46,88,70,89,71,0,0,0,0,[]
35,6,27,29,21,45,44,86,80,87,80,9,23,48,19,55,45,89,69,90,72,0,0,0,0,[]
36,11,24,27,20,48,48,88,79,86,77,11,20,42,17,55,46,90,70,92,73,0,0,0,0,[]
37,15,18,24,14,48,49,89,78,82,78,16,16,40,17,57,48,91,72,90,72,0,0,0,0,[]
38,23,11,25,12,47,50,88,78,81,77,25,10,29,15,53,44,91,72,88,72,0,0,0,0,[]
39,24,14,36,16,46,48,90,76,85,78,25,7,22,12,51,43,91,73,89,70,0,0,0,0,[]
40,25,15,27,16,41,40,91,76,88,75,25,7,25,15,48,42,93,69,89,69,0,0,0,0,[]
41,25,15,26,16,23,13,89,75,87,74,92,5,27,18,42,39,93,71,90,68,0,0,0,0,[]
42,2,96,26,16,16,17,90,74,88,75,25,14,24,25,44,47,91,69,90,69,0,0,0,0,[]
43,7,95,12,93,11,28,88,77,88,79,24,13,30,35,45,51,91,72,88,71,0,0,0,0,[]
44,43,55,21,86,11,28,83,81,86,81,25,13,34,41,45,52,88,74,90,73,0,0,0,0,[]
45,43,54,33,79,5,94,83,80,89,80,25,12,39,43,48,50,87,72,92,73,0,0,0,0,[]
46,45,54,41,70,15,88,87,81,84,80,25,12,33,44,48,49,88,73,91,72,0,0,0,0,[]
47,40,51,52,66,24,78,83,78,81,77,24,12,34,43,48,51,90,71,90,72,0,0,0,0,[]
48,34,49,62,62,32,69,79,73,75,69,25,13,39,38,46,48,90,68,91,71,0,0,0,0,[]
49,22,46,64,63,41,61,85,81,80,76,23,11,41,35,49,51,90,71,88,72,0,0,0,0,[]
50,15,38,71,66,43,54,90,82,84,81,23,11,40,44,49,52,89,75,83,66,0,0,0,0,[]
51,11,28,64,62,45,52,87,82,85,78,23,12,40,44,50,50,86,78,76,61,0,0,0,0,[]
52,16,20,60,59,52,54,84,80,80,76,22,10,35,39,57,42,88,69,80,66,0,0,0,0,[]
53,18,15,49,65,52,56,80,76,77,71,23,13,35,39,58,41,90,69,89,69,0,0,0,0,[]
54,15,17,38,64,42,55,80,76,70,65,22,13,92,9,95,4,87,71,90,70,0,0,0,0,[]
55,17,21,28,59,41,53,79,83,68,65,21,13,86,19,95,4,90,71,91,71,0,0,0,0,[]
56,18,24,21,51,44,53,80,84,61,63,19,15,82,30,58,44,91,70,87,67,0,0,0,0,[]
57,15,16,21,41,46,55,89,78,71,68,20,15,81,42,52,49,91,70,87,70,0,0,0,0,[]
58,13,15,15,44,44,57,89,81,80,76,20,14,80,52,50,51,95,4,83,66,0,0,0,0,[]
59,12,16,17,45,44,50,87,81,84,80,19,15,82,56,50,52,91,69,86,66,0,0,0,0,[]
60,9,22,17,46,43,51,85,82,82,80,19,18,79,51,49,52,88,75,87,74,0,0,0,0,[]
61,9,24,25,56,44,52,84,82,82,80,19,20,73,43,50,52,89,77,88,75,0,0,0,0,[]
62,9,23,27,60,45,51,83,80,86,82,15,17,69,40,52,51,91,76,88,75,0,0,0,0,[]
63,10,22,31,60,46,54,86,83,88,83,16,17,59,35,52,49,89,75,87,74,0,0,0,0,[]
64,12,20,39,65,53,61,83,80,84,82,16,16,52,35,51,47,90,75,89,73,0,0,0,0,[]
65,10,23,47,65,50,59,76,78,87,84,13,20,51,35,49,43,91,74,88,73,0,0,0,0,[]
66,10,24,48,65,51,53,72,78,88,78,14,19,42,37,46,48,92,73,88,73,0,0,0,0,[]
67,7,26,58,69,48,53,72,78,84,87,8,22,34,41,50,46,90,74,87,75,0,0,0,0,[]
68,10,27,56,82,50,52,2,96,84,88,10,20,23,37,50,46,89,77,87,75,0,0,0,0,[]
