,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,99,1,97,2,94,94,5,95,5,95,2,97,3,93,4,0,0,0,0,[]
2,4,94,5,96,4,95,4,95,4,95,92,4,93,5,93,6,94,6,94,6,0,0,0,0,[]
3,4,94,4,96,4,95,5,96,4,95,92,4,93,5,93,6,94,6,94,5,0,0,0,0,[]
4,14,73,16,76,19,78,27,93,24,84,72,11,71,15,77,20,85,25,81,22,0,0,0,0,[]
5,19,51,32,60,36,63,49,90,42,70,52,18,54,31,62,36,80,47,66,39,0,0,0,0,[]
6,22,33,34,42,46,52,69,81,52,65,30,18,47,35,52,47,71,63,64,57,0,0,0,0,[]
7,20,28,35,38,45,53,74,73,52,65,28,22,50,35,52,47,63,62,62,58,0,0,0,0,[]
8,20,28,35,38,46,52,77,75,51,65,29,21,95,4,52,47,62,62,68,62,0,0,0,0,[]
9,20,28,5,93,44,53,74,77,51,66,29,21,86,9,52,46,63,62,69,63,0,0,0,0,[]
10,23,32,11,83,44,53,72,77,50,66,29,21,75,15,53,46,62,62,69,63,0,0,0,0,[]
11,32,38,19,75,45,53,72,78,50,66,29,21,65,21,52,46,62,62,69,62,0,0,0,0,[]
12,35,38,28,67,46,52,71,78,7,95,29,21,55,21,52,45,62,62,69,62,0,0,0,0,[]
13,35,38,31,54,44,53,70,79,18,94,29,21,46,23,52,48,63,62,68,64,0,0,0,0,[]
14,41,32,32,43,44,52,70,78,32,92,32,23,46,27,52,50,62,62,62,62,0,0,0,0,[]
15,37,40,35,39,39,58,70,77,43,89,41,23,46,24,50,53,52,65,52,65,0,0,0,0,[]
16,40,39,38,39,43,49,76,76,53,87,43,24,46,24,49,44,62,62,62,62,0,0,0,0,[]
17,34,39,30,38,45,49,79,75,64,83,45,24,46,24,45,39,73,63,73,63,0,0,0,0,[]
18,24,39,24,43,47,52,79,75,73,87,46,25,47,25,50,45,81,66,81,66,0,0,0,0,[]
19,24,44,24,45,48,52,81,82,82,89,45,24,46,24,53,47,87,71,87,71,0,0,0,0,[]
20,24,36,20,45,46,52,83,85,87,85,40,24,46,23,52,51,86,79,86,79,0,0,0,0,[]
21,19,26,18,44,46,52,82,85,84,88,30,19,48,19,51,50,86,81,87,82,0,0,0,0,[]
22,14,18,19,44,46,51,80,87,82,90,22,13,45,15,50,51,83,82,83,82,0,0,0,0,[]
23,13,19,18,45,42,56,80,83,84,85,20,13,45,15,48,53,87,79,85,78,0,0,0,0,[]
24,11,18,18,44,42,54,76,90,77,90,16,12,45,15,47,53,80,85,83,87,0,0,0,0,[]
