,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,1,97,2,95,93,5,95,5,95,2,96,3,93,3,2500,0,2500,0,[]
2,2,96,3,95,5,96,5,97,4,95,93,5,92,5,94,3,95,6,92,4,2500,0,2500,0,[]
3,3,94,3,94,4,95,5,97,4,95,93,5,92,5,92,5,95,6,92,4,2500,0,2500,0,[]
4,13,74,17,77,22,81,26,90,23,84,70,7,71,17,76,19,84,25,81,22,2500,0,2500,0,[]
5,19,52,32,60,37,64,48,88,41,71,51,20,53,32,61,36,80,47,66,38,2500,0,2500,0,[]
6,23,33,33,43,43,56,68,82,57,68,32,21,46,35,50,47,74,65,64,57,2500,0,2500,0,[]
7,20,28,34,43,45,54,66,77,57,68,30,20,47,33,47,41,73,65,62,60,2500,0,2500,0,[]
8,20,28,34,43,43,54,55,76,57,69,31,20,47,33,52,48,73,66,61,60,2500,0,2500,0,[]
9,20,27,35,40,45,53,57,74,57,69,31,20,48,33,55,51,71,65,61,61,2500,0,2500,0,[]
10,19,26,37,37,45,52,57,74,57,69,38,23,48,33,52,44,70,65,60,61,2500,0,2500,0,[]
11,20,26,37,38,46,52,59,75,57,69,33,21,48,33,53,45,72,65,60,61,2500,0,2500,0,[]
12,19,25,37,40,46,52,59,76,57,70,40,29,47,33,48,41,74,66,60,61,2500,0,2500,0,[]
13,20,26,33,44,46,51,57,75,57,70,41,31,47,32,49,41,73,66,60,62,2500,0,2500,0,[]
14,19,25,31,55,45,53,57,74,57,70,42,32,49,32,47,41,73,64,61,62,2500,0,2500,0,[]
15,19,25,39,65,45,53,57,75,57,69,41,31,52,28,45,37,73,66,69,66,2500,0,2500,0,[]
16,19,25,46,73,46,52,59,76,57,69,41,36,52,27,52,44,73,66,69,66,2500,0,2500,0,[]
17,23,22,50,74,46,52,55,76,57,70,42,25,52,27,52,44,76,69,78,71,2500,0,2500,0,[]
18,18,17,50,74,47,51,52,76,52,75,47,26,47,27,53,47,82,78,84,80,2500,0,2500,0,[]
19,18,11,50,74,46,51,53,76,52,75,47,25,50,26,53,48,83,79,83,83,2500,0,2500,0,[]
20,14,11,49,76,46,51,64,78,61,77,36,22,52,27,53,48,82,82,84,81,2642,0,2621,0,[]
21,19,16,50,82,47,52,72,85,70,83,27,17,54,30,50,48,82,83,84,81,2663,0,2656,0,[]
22,18,16,52,84,48,52,80,87,78,88,18,11,63,38,52,46,82,81,86,81,2744,0,2769,0,[]
23,13,15,51,84,47,53,80,87,81,87,14,14,69,48,50,49,83,81,87,85,2955,0,2862,0,[]
24,17,14,53,85,48,53,76,87,75,88,20,12,75,55,50,49,83,83,83,89,3054,0,2941,0,[]
25,18,13,52,84,46,53,76,89,76,90,20,13,78,55,49,51,83,84,83,89,3155,0,3040,0,[]
26,16,10,50,81,46,52,77,90,78,90,21,9,79,55,50,47,78,85,83,89,3290,0,3137,0,[]
27,18,13,46,70,47,53,77,86,76,87,22,11,77,55,52,47,82,87,81,90,3397,0,3330,0,[]
28,19,14,43,69,46,51,71,90,71,90,21,12,81,54,53,45,82,87,77,90,3554,0,3415,0,[]
29,19,14,43,68,48,50,70,91,72,90,21,10,80,55,54,45,78,85,76,90,3666,0,3598,0,[]
30,20,13,43,67,49,49,69,91,69,91,23,9,77,46,55,47,75,87,75,93,3920,0,3731,0,[]
31,20,12,40,62,49,48,71,89,71,91,24,9,76,45,55,48,78,90,78,90,4038,0,3858,0,[]
32,19,14,41,52,49,48,75,88,77,90,20,12,73,41,56,46,81,85,82,90,4097,0,3931,0,[]
33,18,14,38,50,50,47,77,88,77,90,22,11,70,41,57,45,82,84,83,89,4257,0,4050,0,[]
34,19,13,25,46,54,46,77,88,78,89,22,10,67,49,60,43,83,85,83,89,4371,0,4259,0,[]
35,19,11,24,44,52,47,77,88,76,89,24,10,62,58,55,46,82,83,84,89,4481,0,4365,0,[]
36,22,13,24,42,46,51,77,88,77,90,23,9,52,60,54,47,81,84,83,89,4592,0,4437,0,[]
37,35,16,24,41,42,51,77,89,79,89,24,7,46,55,50,47,81,83,84,86,4761,0,4693,0,[]
38,28,15,28,38,46,52,79,87,81,87,23,9,54,52,50,49,82,82,85,83,4888,0,4778,0,[]
39,23,13,39,37,45,50,79,85,81,86,24,9,63,60,54,48,86,83,85,84,5065,0,4864,0,[]
40,22,13,41,27,46,50,82,85,81,84,25,8,70,63,53,48,87,81,84,80,5165,0,5041,0,[]
41,22,13,40,17,43,54,79,85,77,86,22,9,66,59,51,45,89,78,84,79,5243,0,5203,0,[]
42,21,13,38,16,45,52,80,81,76,77,24,9,66,50,42,38,91,75,88,73,5382,0,5272,0,[]
