,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHwQ, ,RWHuanggai, ,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,4,95,4,98,2,99,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,96,4,95,4,97,2,98,1,95,93,5,95,5,95,2,96,4,93,4,0,0,0,0,[]
2,4,95,3,94,4,95,3,96,1,95,93,5,93,5,92,4,94,6,92,4,0,0,0,0,[]
3,4,95,3,94,4,95,4,95,5,95,92,4,94,6,92,4,94,6,92,4,0,0,0,0,[]
4,26,90,9,76,18,77,21,81,25,85,74,16,79,24,79,22,86,24,79,21,0,0,0,0,[]
5,49,88,18,56,32,59,35,64,41,70,54,21,67,41,67,40,80,44,66,39,0,0,0,0,[]
6,64,81,23,35,33,41,46,54,52,66,33,22,64,59,65,58,72,63,65,58,0,0,0,0,[]
7,53,84,21,29,41,36,44,54,51,66,32,22,60,63,61,62,62,63,60,62,0,0,0,0,[]
8,45,79,28,37,38,37,44,58,43,69,40,29,49,68,51,66,53,66,50,66,0,0,0,0,[]
9,42,83,33,42,35,38,43,52,37,76,46,38,50,75,47,73,47,72,48,74,0,0,0,0,[]
10,46,88,33,43,35,38,48,60,38,76,46,38,54,76,54,76,54,77,55,76,0,0,0,0,[]
11,53,90,31,43,11,92,41,56,38,76,50,40,55,76,55,76,56,75,53,76,0,0,0,0,[]
12,48,89,31,54,20,85,40,61,38,76,50,43,55,76,56,76,56,75,55,76,0,0,0,0,[]
13,42,87,31,65,30,80,39,63,38,76,52,42,57,71,56,75,57,75,55,76,0,0,0,0,[]
14,41,86,35,75,39,73,39,63,41,71,50,43,56,68,57,68,56,74,56,74,0,0,0,0,[]
15,42,83,43,78,46,73,46,71,47,77,49,42,57,69,57,72,57,72,57,72,0,0,0,0,[]
16,49,79,40,74,44,80,40,66,50,80,55,55,57,69,56,68,57,68,57,68,0,0,0,0,[]
17,50,77,43,69,46,73,41,61,53,76,57,66,57,69,56,67,57,68,57,69,0,0,0,0,[]
18,44,79,43,69,45,69,41,66,47,79,57,70,56,75,57,71,57,72,57,74,0,0,0,0,[]
19,46,79,41,67,47,70,43,68,47,79,57,67,55,75,57,73,57,75,53,76,0,0,0,0,[]
20,48,79,46,72,48,74,50,65,49,80,57,69,55,76,58,76,58,76,55,77,0,0,0,0,[]
21,50,77,52,73,51,78,47,73,51,76,58,74,57,74,59,76,60,77,57,77,0,0,0,0,[]
22,48,78,50,76,47,79,48,75,51,78,53,76,52,77,53,78,53,77,54,78,0,0,0,0,[]
23,53,77,57,73,51,78,52,76,54,77,53,77,58,72,59,76,59,74,57,73,0,0,0,0,"['1:55 RWZWuJi(战争女神) 击杀了 OMGY1han(虚空遁地兽),获得一血']"
24,50,82,57,70,42,77,49,78,54,83,51,78,58,72,54,77,58,70,57,74,0,0,0,0,['1:56 RWHuanggai(深海泰坦) 击杀了 OMGCurse(亡灵战神)']
25,57,84,57,67,41,68,40,70,59,85,41,76,88,7,47,73,57,70,48,77,0,0,0,0,['2:3 OMGKane(逆羽) 击杀了 RWHolder(凛冬之怒)']
26,66,83,2,96,33,60,40,60,69,88,95,4,78,13,51,63,58,64,54,76,0,0,0,0,[]
27,68,78,14,20,28,50,41,54,69,82,17,16,68,19,49,55,68,67,65,77,0,0,0,0,[]
28,70,81,11,19,23,46,43,54,70,80,17,15,58,23,50,55,76,72,67,70,0,0,0,0,[]
29,77,87,13,17,21,46,46,53,76,88,16,14,48,25,52,52,83,79,75,72,0,0,0,0,[]
30,83,87,12,19,19,48,47,53,83,89,17,15,46,24,49,47,84,81,84,79,0,0,0,0,[]
