,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,97,3,94,5,96,5,95,2,93,3,0,0,0,0,[]
1,4,95,4,98,2,98,1,97,2,95,97,3,93,5,96,5,95,2,93,3,0,0,0,0,[]
2,4,95,1,95,4,95,5,97,4,95,94,5,93,5,94,6,93,6,93,5,0,0,0,0,[]
3,3,94,4,95,4,95,5,98,4,95,93,6,93,5,94,6,93,6,94,6,0,0,0,0,[]
4,14,74,18,76,21,80,27,94,22,83,79,24,80,23,80,22,79,23,81,22,0,0,0,0,[]
5,19,52,31,59,37,65,49,89,41,71,67,42,65,39,66,40,67,40,65,38,0,0,0,0,[]
6,23,33,34,40,46,53,68,81,57,68,64,60,65,58,64,58,64,58,63,52,0,0,0,0,[]
7,19,24,35,38,44,55,59,75,57,70,60,58,63,59,60,61,62,62,63,57,0,0,0,0,[]
8,21,26,34,38,45,54,55,75,57,73,60,60,60,61,55,65,58,64,59,62,0,0,0,0,[]
9,32,22,35,38,45,51,51,83,47,78,51,66,62,58,50,67,50,68,49,67,0,0,0,0,[]
10,40,29,34,38,45,51,54,84,51,83,55,63,63,61,54,67,51,64,52,65,0,0,0,0,[]
11,49,33,40,37,46,51,56,83,51,84,57,72,57,66,57,73,57,70,57,73,0,0,0,0,[]
12,42,36,35,41,45,51,56,84,53,84,57,69,56,67,57,72,57,69,57,71,0,0,0,0,[]
13,31,37,31,52,45,52,59,84,51,84,58,60,94,4,58,62,56,58,58,61,0,0,0,0,[]
14,22,30,35,62,48,50,52,84,47,82,66,54,84,8,55,51,53,47,66,54,0,0,0,0,[]
15,26,23,45,68,49,58,46,81,47,74,74,49,75,13,58,40,50,45,74,49,0,0,0,0,[]
16,28,21,46,72,47,67,42,77,45,69,76,57,66,18,55,31,47,52,75,57,0,0,0,0,[]
17,29,21,47,78,49,60,51,77,51,75,76,68,56,23,46,24,47,52,77,70,0,0,0,0,[]
18,29,20,51,73,47,52,52,76,51,74,77,77,47,25,46,26,49,47,72,77,0,0,0,0,[]
19,29,21,49,74,45,52,55,76,56,76,83,82,48,24,48,26,52,50,77,79,0,0,0,0,[]
20,29,21,50,77,46,50,66,79,67,80,84,81,43,15,50,26,53,49,84,84,0,0,0,0,[]
21,27,22,53,84,46,51,74,86,74,88,84,81,32,12,50,26,52,51,82,90,0,0,0,0,[]
22,18,20,54,83,44,52,78,88,78,91,83,84,21,12,53,33,51,51,85,87,0,0,0,0,[]
23,14,16,53,84,43,53,78,87,81,91,82,81,17,13,55,32,48,50,84,88,0,0,0,0,[]
24,16,11,52,84,48,54,76,87,75,89,80,84,24,14,55,32,49,46,80,89,0,0,0,0,[]
25,17,11,54,84,47,49,74,89,74,90,80,85,24,14,56,33,53,46,81,88,0,0,0,0,[]
26,16,13,51,85,44,49,74,87,75,89,81,86,19,20,65,39,50,50,80,90,0,0,0,0,[]
27,19,19,48,77,45,52,69,89,70,92,79,85,27,21,72,44,52,49,78,91,0,0,0,0,[]
28,17,16,46,65,47,52,69,90,71,92,77,87,22,11,76,44,52,48,75,87,0,0,0,0,[]
29,18,13,45,66,50,48,68,92,71,92,77,84,23,12,77,46,56,45,69,80,0,0,0,0,[]
30,16,13,43,68,49,48,71,89,73,91,78,80,23,10,77,49,55,48,73,77,0,0,0,0,[]
31,17,13,34,61,46,49,74,92,74,92,79,85,23,11,76,54,54,50,76,79,0,0,0,0,[]
32,15,10,32,50,44,49,80,89,81,89,82,82,24,12,76,54,52,49,78,81,0,0,0,0,[]
33,18,14,36,40,45,49,80,88,82,89,82,81,25,12,78,55,52,49,80,80,0,0,0,0,[]
34,19,11,41,30,45,50,79,89,82,89,84,81,26,7,79,55,53,48,82,81,0,0,0,0,[]
35,20,12,42,19,46,51,80,90,81,91,81,83,24,7,81,55,53,48,85,85,0,0,0,0,[]
36,23,11,40,17,44,51,78,87,78,89,81,82,28,8,82,56,52,48,85,87,0,0,0,0,[]
