,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,1,95,93,4,95,5,94,2,96,4,93,4,0,0,0,0,[]
2,2,95,4,95,4,96,5,96,3,95,92,4,93,5,93,5,95,5,94,4,0,0,0,0,[]
3,3,94,5,95,6,95,5,95,4,95,92,4,92,5,92,5,94,5,93,6,0,0,0,0,[]
4,14,73,27,89,22,80,24,85,23,85,69,6,72,15,76,20,84,24,79,24,0,0,0,0,[]
5,19,51,47,80,38,63,41,70,41,71,46,11,55,30,63,39,80,46,66,41,0,0,0,0,[]
6,23,33,58,66,47,54,57,67,56,63,28,20,45,34,53,47,73,64,63,58,0,0,0,0,[]
7,19,26,64,60,53,55,62,60,64,58,27,23,43,37,58,49,76,72,67,55,0,0,0,0,[]
8,19,26,64,59,55,57,63,58,65,58,26,23,35,38,59,47,79,75,67,46,0,0,0,0,[]
9,20,26,69,49,64,57,69,50,68,47,25,23,37,39,50,46,74,72,66,40,0,0,0,0,[]
10,22,24,77,52,63,58,77,51,78,50,27,23,41,32,48,45,77,74,73,34,0,0,0,0,[]
11,22,23,77,52,54,62,76,52,77,52,28,23,41,32,48,49,80,75,83,37,0,0,0,0,[]
12,20,27,4,93,44,57,76,52,2,96,28,21,91,6,49,49,80,75,90,44,0,0,0,0,[]
13,20,26,9,83,44,55,10,96,12,95,28,19,82,11,51,48,80,75,91,55,0,0,0,0,[]
14,23,30,14,75,45,53,21,95,23,93,25,12,72,17,56,46,80,75,92,66,0,0,0,0,[]
15,29,36,17,64,47,54,32,93,34,93,23,9,63,23,55,46,80,75,87,75,0,0,0,0,[]
16,21,28,18,53,52,56,43,93,45,92,22,10,55,30,53,47,79,75,85,81,0,0,0,0,[]
17,13,20,20,50,54,57,54,92,56,92,22,10,54,32,50,47,79,75,83,88,0,0,0,0,[]
18,14,19,23,46,51,54,67,90,67,91,18,13,53,35,48,46,79,75,82,90,0,0,0,0,[]
19,15,17,22,45,49,51,76,86,77,89,17,13,53,30,51,46,80,76,84,89,0,0,0,0,[]
20,16,16,20,45,47,53,82,87,82,86,16,13,52,34,48,48,83,81,86,84,0,0,0,0,[]
21,13,19,18,45,49,52,81,89,81,89,18,11,53,31,51,45,83,83,85,87,0,0,0,0,[]
22,15,16,17,44,52,47,80,87,83,88,17,12,51,27,57,45,83,80,87,83,0,0,0,0,[]
23,17,16,18,44,50,49,80,88,81,89,18,14,48,25,51,48,80,82,86,86,0,0,0,0,[]
24,16,13,20,49,45,52,80,87,82,88,21,11,48,23,50,47,84,81,87,85,0,0,0,0,[]
25,21,12,24,56,47,50,81,87,82,88,24,8,48,22,49,46,84,82,80,79,0,0,0,0,[]
26,19,14,23,55,46,55,83,89,80,86,23,11,45,16,48,48,86,83,82,82,0,0,0,0,[]
27,18,13,27,59,45,55,80,87,80,88,21,10,43,15,49,47,86,85,81,83,0,0,0,0,[]
28,21,11,38,64,44,54,79,89,79,88,26,10,45,13,50,48,84,85,81,83,0,0,0,0,[]
29,23,10,45,65,45,52,75,90,74,86,29,8,44,16,51,48,84,85,79,82,0,0,0,0,[]
30,19,19,47,64,46,51,73,90,73,88,27,8,41,16,52,49,81,87,76,79,0,0,0,0,[]
31,18,18,46,66,46,51,71,92,70,88,25,7,43,15,53,49,77,87,78,84,0,0,0,0,[]
32,18,15,48,74,46,51,72,88,72,86,21,9,43,15,53,49,78,87,78,89,0,0,0,0,[]
33,18,14,48,74,47,51,73,91,70,80,21,10,94,5,53,47,78,86,79,90,0,0,0,0,[]
34,17,15,59,76,48,49,73,91,75,76,20,10,89,19,54,46,78,85,79,82,0,0,0,0,[]
35,18,14,71,78,55,55,72,88,72,78,21,10,83,28,54,43,79,86,78,84,0,0,0,0,[]
36,20,13,79,82,55,50,77,86,81,85,21,11,80,40,58,45,79,89,82,87,0,0,0,0,[]
37,16,15,83,89,51,50,82,84,82,88,20,13,78,52,56,47,81,90,81,92,0,0,0,0,[]
38,18,15,81,89,51,49,80,87,81,88,21,10,76,67,57,47,81,84,80,92,0,0,0,0,[]
39,17,16,81,83,52,50,79,82,80,83,20,11,80,82,57,47,80,80,80,92,0,0,0,0,[]
40,20,11,81,83,50,47,77,84,77,86,24,11,77,85,56,47,80,80,94,10,0,0,0,0,[]
41,21,14,2,96,49,48,77,84,71,91,22,13,72,87,50,48,95,4,90,21,0,0,0,0,[]
42,20,12,6,94,48,55,2,96,68,92,25,12,70,81,48,52,77,86,83,30,0,0,0,0,[]
43,20,13,16,89,41,56,71,91,69,91,25,11,72,70,48,54,76,87,80,40,0,0,0,0,[]
44,18,15,23,80,44,55,73,91,64,93,22,13,64,61,48,49,77,89,78,51,0,0,0,0,[]
45,20,15,28,70,42,55,69,90,63,94,30,8,59,59,48,49,78,90,75,60,0,0,0,0,[]
