,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,5,97,3,93,3,0,0,0,0,[]
1,3,96,4,97,2,99,1,97,2,95,94,5,95,5,94,2,97,3,93,4,0,0,0,0,[]
2,3,95,4,95,2,94,4,96,4,95,93,5,93,5,93,6,94,6,93,5,0,0,0,0,[]
3,4,94,4,94,3,93,6,96,4,95,92,5,93,6,93,6,94,6,92,6,0,0,0,0,[]
4,14,73,18,76,19,77,24,83,23,84,78,23,78,24,79,24,84,26,79,23,0,0,0,0,[]
5,19,51,31,58,34,59,42,78,43,78,67,42,67,43,66,39,80,47,66,41,0,0,0,0,[]
6,22,33,35,41,42,47,53,66,63,78,67,47,66,47,66,47,66,46,66,47,0,0,0,0,[]
7,18,23,42,37,43,39,51,66,68,80,67,48,66,48,67,46,66,46,66,47,0,0,0,0,[]
8,19,23,41,39,44,43,50,66,68,80,67,48,66,48,67,46,66,47,66,47,0,0,0,0,[]
9,19,24,45,50,46,49,48,67,68,80,67,48,66,47,67,46,66,47,66,47,0,0,0,0,[]
10,25,34,49,60,44,58,51,67,63,76,67,48,67,42,66,44,66,44,66,47,0,0,0,0,[]
11,24,37,46,68,49,67,53,68,64,77,62,38,59,37,60,37,62,40,62,39,0,0,0,0,[]
12,19,27,50,66,48,60,50,67,68,79,54,31,52,32,54,32,57,33,56,33,0,0,0,0,[]
13,19,24,44,68,47,55,51,68,68,79,45,32,42,32,46,32,48,32,49,31,0,0,0,0,[]
14,19,24,42,67,44,46,59,72,75,74,48,31,47,32,48,34,56,33,59,35,0,0,0,0,[]
15,19,24,45,66,50,44,68,78,75,73,51,22,54,31,48,38,65,39,69,40,0,0,0,0,[]
16,19,24,45,66,51,46,72,70,69,65,43,15,51,29,51,42,75,44,77,47,0,0,0,0,[]
17,19,24,45,66,49,49,71,67,68,63,48,19,50,22,50,45,83,51,86,52,0,0,0,0,[]
18,16,19,45,66,51,54,79,75,77,72,44,16,47,25,50,47,88,61,90,62,0,0,0,0,[]
19,15,15,46,64,48,54,79,79,80,80,32,11,45,23,50,48,87,72,89,74,0,0,0,0,[]
20,13,16,46,68,46,53,80,84,81,84,21,14,47,22,51,47,87,81,88,84,0,0,0,0,[]
21,15,17,50,74,49,53,82,86,81,83,19,14,50,23,51,48,86,81,88,84,0,0,0,0,[]
22,15,17,50,75,52,52,83,85,81,83,18,15,53,33,55,45,87,80,88,82,0,0,0,0,[]
23,12,18,50,76,52,48,83,85,83,80,15,15,53,31,55,43,87,82,89,83,0,0,0,0,[]
24,15,15,50,78,52,49,83,84,83,81,19,14,54,30,54,43,89,77,91,79,0,0,0,0,[]
25,14,16,53,84,53,47,83,83,88,84,16,16,55,31,57,42,87,77,88,69,0,0,0,0,[]
26,12,18,56,81,52,48,81,81,87,84,13,17,57,33,56,41,87,73,86,65,0,0,0,0,[]
27,11,20,55,83,54,49,82,81,79,78,12,16,65,39,57,41,90,78,87,76,0,0,0,0,[]
28,10,22,56,82,62,57,83,79,87,79,13,16,69,49,58,44,91,74,91,75,0,0,0,0,[]
29,10,23,61,83,66,56,86,77,90,78,13,17,77,52,62,52,91,73,92,72,0,0,0,0,[]
30,10,22,71,78,57,55,86,78,83,79,14,17,77,52,53,49,91,71,90,70,0,0,0,0,[]
31,8,24,74,68,49,52,86,77,77,70,18,24,76,57,53,47,91,72,90,70,0,0,0,0,[]
32,9,23,73,61,51,54,85,78,75,61,13,21,80,52,52,46,91,74,89,72,0,0,0,0,[]
33,10,23,77,56,54,53,86,77,76,56,13,19,74,44,56,45,92,73,89,69,0,0,0,0,[]
34,12,23,76,47,56,54,87,76,77,49,13,20,72,43,56,44,91,73,83,62,0,0,0,0,[]
