,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,3,96,1,95,93,5,95,6,94,2,97,3,92,3,0,0,0,0,[]
2,3,95,4,95,5,96,3,95,5,96,92,4,94,5,93,5,92,4,94,6,0,0,0,0,[]
3,4,94,4,94,5,96,4,98,5,96,92,5,92,6,93,5,93,6,94,6,0,0,0,0,[]
4,14,73,18,77,23,80,26,93,24,84,68,7,72,15,79,22,84,24,80,22,0,0,0,0,[]
5,19,52,32,60,38,64,48,90,40,72,46,12,55,30,61,38,80,46,66,39,0,0,0,0,[]
6,24,36,34,43,51,62,68,82,55,63,29,20,48,35,53,46,73,65,64,57,0,0,0,0,[]
7,24,37,34,42,47,54,68,78,54,62,30,22,53,33,53,46,73,64,64,57,0,0,0,0,[]
8,24,37,34,42,48,57,68,78,51,59,29,22,53,33,55,45,72,64,64,57,0,0,0,0,[]
9,23,37,4,93,48,55,70,77,50,58,29,22,91,11,57,43,73,63,64,57,0,0,0,0,[]
10,24,38,9,83,55,57,68,78,55,57,29,22,85,20,58,41,72,63,64,57,0,0,0,0,[]
11,23,38,14,74,57,57,69,79,57,57,29,22,81,30,57,43,74,61,66,54,0,0,0,0,[]
12,24,38,17,64,54,58,68,80,56,67,29,22,80,41,53,47,75,62,67,47,0,0,0,0,[]
13,23,38,18,53,54,57,68,79,57,68,91,4,76,49,57,42,74,62,67,47,0,0,0,0,[]
14,24,38,22,48,55,57,69,80,57,67,79,6,69,48,59,39,74,60,67,48,0,0,0,0,[]
15,23,38,23,47,55,57,68,79,62,75,68,7,68,46,59,40,77,50,67,48,0,0,0,0,[]
16,23,41,23,47,55,58,69,79,69,79,57,9,76,49,55,43,76,52,70,49,0,0,0,0,[]
17,22,43,23,47,57,62,68,79,69,79,46,11,69,49,52,46,76,52,70,50,0,0,0,0,[]
18,23,45,23,47,48,54,71,83,70,80,34,16,78,51,49,48,77,53,73,52,0,0,0,0,[]
19,20,39,22,46,48,52,76,87,77,86,28,21,76,53,51,49,78,55,76,54,0,0,0,0,[]
20,13,34,21,44,48,51,81,83,80,84,28,21,81,55,51,48,84,63,83,60,0,0,0,0,[]
21,11,25,19,46,46,53,80,84,79,86,26,16,80,55,51,47,87,72,87,70,0,0,0,0,[]
22,14,18,18,45,48,52,80,82,81,84,17,14,80,53,49,47,87,81,87,79,0,0,0,0,[]
23,13,15,17,44,48,51,81,85,82,84,17,12,78,49,49,48,87,84,85,81,0,0,0,0,[]
24,15,13,19,45,45,51,85,89,85,86,20,12,73,42,51,51,87,80,85,84,0,0,0,0,[]
25,18,14,18,45,45,54,85,83,83,84,22,14,68,40,48,49,88,77,86,77,0,0,0,0,[]
26,13,18,19,47,43,54,82,83,82,83,17,14,65,38,48,50,89,78,87,77,0,0,0,0,[]
27,12,16,24,56,44,55,85,78,85,78,16,15,56,33,47,50,90,76,89,76,0,0,0,0,[]
28,11,17,27,59,43,55,83,79,86,81,16,16,49,33,47,51,90,75,88,75,0,0,0,0,[]
29,10,19,31,59,42,56,83,80,86,81,15,17,51,29,47,57,88,73,88,74,0,0,0,0,[]
30,11,17,39,65,42,52,86,76,87,79,15,16,50,22,47,54,92,72,90,71,0,0,0,0,[]
31,10,22,45,67,41,55,85,79,87,80,14,19,48,20,46,52,90,74,88,73,0,0,0,0,[]
32,9,21,48,65,41,53,85,78,89,78,15,18,44,15,46,52,89,72,88,72,0,0,0,0,[]
33,9,21,47,68,42,55,85,78,85,77,14,19,39,15,46,54,91,73,89,71,0,0,0,0,[]
34,10,20,51,75,43,56,85,79,85,78,12,18,39,17,45,50,89,74,88,73,0,0,0,0,[]
35,10,26,52,76,44,58,88,79,86,78,11,20,38,17,46,51,90,72,88,72,0,0,0,0,[]
36,6,26,55,76,44,56,89,79,87,76,12,21,30,18,45,51,90,71,88,71,0,0,0,0,[]
37,7,25,57,74,41,56,91,75,88,74,12,22,25,27,45,52,89,69,90,70,0,0,0,0,[]
38,7,24,58,66,42,52,90,76,88,75,12,21,27,36,45,54,88,69,91,72,0,0,0,0,[]
39,7,25,65,63,44,55,90,76,89,74,13,21,32,36,46,51,92,70,90,69,0,0,0,0,[]
40,7,27,70,65,44,54,89,74,88,74,12,24,28,35,47,50,91,69,90,68,0,0,0,0,[]
41,5,27,70,67,48,53,87,71,88,73,9,24,23,31,49,47,93,70,91,69,0,0,0,0,[]
