,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,99,5,97,3,95,94,5,95,5,95,2,96,3,93,3,0,0,0,0,[]
2,4,94,4,95,4,95,5,97,3,94,92,4,93,5,93,4,94,6,94,5,0,0,0,0,[]
3,4,94,4,94,5,95,6,96,3,94,93,5,93,5,93,5,94,7,93,7,0,0,0,0,[]
4,14,73,19,76,19,79,28,93,23,85,72,7,74,16,77,18,84,26,78,24,0,0,0,0,[]
5,19,51,31,58,34,63,50,89,41,71,49,11,55,30,62,36,80,48,66,43,0,0,0,0,[]
6,23,33,34,41,45,52,69,81,52,66,29,18,47,36,53,48,72,64,62,59,0,0,0,0,[]
7,20,27,36,39,45,53,77,76,53,66,30,21,45,33,52,48,73,71,58,62,0,0,0,0,[]
8,27,35,40,38,45,53,79,85,54,67,29,21,51,36,52,48,74,77,57,63,0,0,0,0,[]
9,35,39,39,37,45,53,76,79,52,65,29,22,51,36,55,53,72,76,59,62,0,0,0,0,[]
10,35,39,38,38,44,53,70,79,58,70,28,21,89,6,63,61,72,68,67,67,0,0,0,0,[]
11,41,35,41,34,46,49,68,80,51,65,29,21,78,12,56,54,73,66,67,71,0,0,0,0,[]
12,31,38,34,41,44,52,68,82,50,66,29,22,69,18,62,58,95,5,62,62,0,0,0,0,[]
13,21,38,30,48,46,56,68,79,50,66,29,21,60,25,63,62,91,14,57,66,0,0,0,0,[]
14,20,38,25,50,43,55,69,79,47,71,29,21,60,35,64,53,86,24,66,63,0,0,0,0,[]
15,17,34,22,47,44,53,69,79,49,80,28,22,55,31,55,47,88,35,74,64,0,0,0,0,[]
16,11,29,22,47,44,55,70,77,55,83,26,15,57,28,55,46,87,45,75,66,0,0,0,0,[]
17,11,28,22,47,45,53,72,85,66,83,16,9,49,20,53,48,87,58,80,78,0,0,0,0,[]
18,11,27,24,47,45,51,72,88,73,90,16,10,47,24,52,51,87,69,82,89,0,0,0,0,[]
19,12,22,22,47,45,51,77,87,77,88,15,11,46,23,51,51,84,79,85,88,0,0,0,0,[]
20,14,17,19,45,45,50,82,85,81,86,15,13,43,23,49,51,84,80,87,85,0,0,0,0,[]
21,12,14,18,44,46,52,81,86,81,84,19,13,42,24,53,48,84,80,86,85,0,0,0,0,[]
22,13,14,18,44,47,50,82,86,81,86,15,10,45,15,54,50,85,84,85,88,0,0,0,0,[]
23,14,18,16,43,45,52,83,86,84,88,16,10,47,15,52,51,85,82,88,85,0,0,0,0,[]
24,13,15,16,44,45,51,83,86,83,86,17,13,46,16,53,50,85,81,87,83,0,0,0,0,[]
