,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,99,1,96,3,95,94,5,95,5,95,2,97,3,93,4,0,0,0,0,[]
2,4,95,3,94,3,95,5,96,4,97,94,3,93,5,93,5,95,6,93,5,0,0,0,0,[]
3,3,95,3,94,4,94,5,95,5,96,92,3,93,5,93,6,94,6,93,5,0,0,0,0,[]
4,17,77,18,76,19,78,27,89,27,90,70,7,72,17,78,17,84,26,79,24,0,0,0,0,[]
5,32,60,31,59,37,63,46,82,50,89,47,11,54,31,64,34,80,48,67,42,0,0,0,0,[]
6,33,42,34,42,47,51,57,68,68,81,31,18,40,33,53,46,72,65,64,57,0,0,0,0,[]
7,40,39,34,43,46,53,57,64,68,81,25,27,41,32,51,48,72,68,64,57,0,0,0,0,[]
8,33,43,34,43,46,53,55,65,68,81,20,27,41,32,52,47,72,68,64,57,0,0,0,0,[]
9,26,36,34,43,46,53,52,67,68,81,20,27,41,32,53,47,68,70,64,57,0,0,0,0,[]
10,25,36,34,42,45,52,57,69,66,82,20,26,41,32,53,46,72,72,64,57,0,0,0,0,[]
11,24,36,34,43,46,53,57,69,62,83,19,25,42,32,53,47,74,66,65,57,0,0,0,0,[]
12,25,36,34,43,46,52,58,70,63,83,19,25,54,32,49,39,73,67,65,57,0,0,0,0,[]
13,24,37,33,43,47,52,54,68,62,83,20,27,63,39,47,38,72,67,65,56,0,0,0,0,[]
14,23,37,31,47,46,53,48,68,62,83,20,27,67,48,47,37,71,68,65,56,0,0,0,0,[]
15,24,37,22,54,47,54,47,71,62,84,20,27,65,57,52,44,71,66,64,59,0,0,0,0,[]
16,22,38,25,56,50,61,50,81,62,84,22,30,62,62,53,47,64,63,55,63,0,0,0,0,[]
17,21,40,25,56,48,59,52,83,71,78,24,29,57,71,43,39,57,65,57,61,0,0,0,0,[]
18,18,34,25,56,50,62,62,83,79,75,14,22,53,76,44,42,56,74,59,63,0,0,0,0,[]
19,11,29,26,58,46,57,70,78,78,74,8,20,54,76,49,48,56,75,56,63,0,0,0,0,[]
20,13,19,27,59,47,51,76,79,77,75,14,14,54,76,52,51,60,76,59,71,0,0,0,0,[]
21,13,16,29,59,47,51,76,86,71,82,16,14,57,73,53,48,69,79,68,79,0,0,0,0,[]
22,14,16,30,53,45,51,80,88,76,87,17,15,53,63,50,47,78,78,75,78,0,0,0,0,[]
23,14,16,34,43,46,50,78,88,75,89,18,16,49,57,49,47,85,81,84,81,0,0,0,0,[]
24,16,15,44,47,46,49,79,83,75,88,18,14,47,49,50,47,83,88,82,88,0,0,0,0,[]
25,17,16,49,52,49,53,81,84,80,85,25,14,54,45,50,48,87,84,84,86,0,0,0,0,[]
26,18,13,44,52,47,52,81,85,80,86,22,12,48,39,47,47,85,81,86,86,0,0,0,0,[]
27,19,14,50,61,44,56,80,88,80,87,22,10,49,26,45,52,83,81,85,84,0,0,0,0,[]
28,18,12,46,64,44,53,77,90,75,88,21,13,52,26,47,50,80,82,85,87,0,0,0,0,[]
29,17,11,47,65,43,57,77,89,76,91,20,12,53,29,45,51,80,80,84,86,0,0,0,0,[]
30,20,19,47,71,43,56,77,89,77,92,28,9,55,30,45,51,81,82,84,86,0,0,0,0,[]
31,19,18,50,82,42,55,76,90,76,89,25,8,55,31,47,51,81,82,84,86,0,0,0,0,[]
32,14,16,55,83,42,57,79,88,78,88,24,10,55,31,45,50,82,82,84,85,0,0,0,0,[]
33,16,10,56,84,45,56,79,88,80,89,25,11,55,31,47,51,84,83,85,86,0,0,0,0,[]
34,17,11,59,84,38,58,79,88,77,87,23,8,55,32,45,54,85,84,83,83,0,0,0,0,[]
35,10,18,60,83,38,58,80,86,79,86,16,15,55,32,42,54,86,85,82,83,0,0,0,0,[]
36,11,18,57,84,39,58,79,86,80,84,13,17,93,8,44,53,85,85,87,83,0,0,0,0,[]
37,11,24,62,83,41,54,78,88,79,85,21,12,89,17,44,51,84,86,83,83,0,0,0,0,[]
38,13,35,71,78,41,55,79,86,81,86,20,13,83,27,47,52,86,84,84,82,0,0,0,0,[]
39,17,43,79,75,42,56,80,87,83,90,18,11,81,38,46,51,86,84,85,82,0,0,0,0,[]
40,11,34,79,75,45,53,80,89,83,89,17,14,79,50,49,50,85,84,87,85,0,0,0,0,[]
41,9,25,79,75,39,55,79,89,80,89,14,15,75,59,50,49,84,86,85,87,0,0,0,0,[]
42,7,25,86,79,38,56,85,84,85,86,18,24,75,69,54,49,85,82,89,82,0,0,0,0,[]
43,7,23,88,82,2,96,78,87,78,87,84,84,80,78,55,48,80,81,89,83,0,0,0,0,[]
44,7,24,89,81,7,94,77,90,75,89,89,83,77,73,81,77,80,82,84,85,0,0,0,0,[]
45,8,25,89,81,17,85,75,90,68,90,89,83,69,65,80,75,78,84,82,87,0,0,0,0,[]
46,9,24,5,92,25,77,73,91,71,92,91,4,70,64,95,4,78,85,80,89,0,0,0,0,[]
47,6,28,5,91,33,69,72,91,72,90,80,4,74,63,90,6,78,85,80,90,0,0,0,0,[]
48,6,28,12,78,40,61,75,91,73,87,69,6,75,53,79,14,79,85,82,89,0,0,0,0,[]
49,7,25,17,67,47,52,75,90,76,89,58,7,79,54,73,23,80,84,82,85,0,0,0,0,[]
50,11,19,18,55,53,46,77,89,73,86,47,9,78,54,67,31,82,79,83,78,0,0,0,0,[]
51,11,20,27,50,51,47,79,88,79,87,36,10,80,54,60,39,83,80,85,84,0,0,0,0,[]
52,14,18,31,39,54,56,80,87,78,87,25,13,80,53,55,42,82,81,86,83,0,0,0,0,[]
53,14,18,29,35,63,57,78,88,79,87,16,15,73,44,56,45,83,81,84,83,0,0,0,0,[]
54,15,16,24,37,58,61,77,88,83,89,20,13,72,41,52,49,82,82,87,82,0,0,0,0,[]
55,19,16,24,44,49,57,77,88,82,89,27,15,68,40,52,47,81,82,84,84,0,0,0,0,[]
56,20,10,24,41,48,53,79,89,82,88,23,13,58,33,52,47,81,81,84,84,0,0,0,0,[]
57,19,12,22,42,47,53,80,88,83,87,24,13,50,26,51,48,82,83,84,86,0,0,0,0,[]
58,22,11,19,44,48,51,77,87,76,88,27,8,42,16,54,49,81,85,82,87,0,0,0,0,[]
59,17,11,16,45,49,50,74,91,74,91,29,8,44,14,54,44,79,85,80,88,0,0,0,0,[]
60,12,12,18,46,50,50,70,92,70,90,26,8,43,15,54,46,81,82,83,85,0,0,0,0,[]
61,12,12,24,54,49,50,73,90,66,89,25,9,45,15,53,48,86,76,86,75,0,0,0,0,[]
62,3,91,26,59,49,51,81,85,66,89,22,12,46,23,54,46,86,76,89,72,0,0,0,0,[]
63,5,77,30,60,47,52,81,85,73,86,21,12,41,31,51,46,95,4,90,82,0,0,0,0,[]
64,6,65,35,63,48,52,82,84,73,86,20,13,35,38,49,47,95,4,87,85,0,0,0,0,[]
65,7,51,44,67,51,52,83,82,8,96,19,11,40,37,50,48,87,75,86,85,0,0,0,0,[]
66,9,39,47,67,48,52,78,86,19,94,18,12,49,35,52,46,87,76,88,78,0,0,0,0,[]
67,10,27,44,68,48,53,73,86,33,93,18,16,53,36,52,46,88,72,87,68,0,0,0,0,[]
