,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,96,5,94,5,97,3,93,3,95,2,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,95,5,94,5,97,3,93,3,94,2,0,0,0,0,[]
2,3,95,3,94,4,96,4,95,4,97,93,5,93,5,97,3,93,3,93,5,0,0,0,0,[]
3,4,94,4,94,5,95,5,95,5,96,92,4,93,6,94,7,93,3,93,5,0,0,0,0,[]
4,14,74,18,76,21,80,26,93,25,85,72,14,83,17,84,26,92,6,70,10,0,0,0,0,[]
5,18,52,31,59,36,63,48,91,42,70,56,29,67,33,80,48,79,24,51,19,0,0,0,0,[]
6,24,37,34,42,46,53,67,82,51,65,46,34,54,45,80,69,66,41,32,22,0,0,0,0,[]
7,24,37,34,42,46,53,74,76,51,65,51,32,55,44,87,68,65,57,29,20,0,0,0,0,[]
8,24,35,4,96,45,53,71,78,51,66,51,32,54,45,89,79,64,57,30,22,0,0,0,0,[]
9,23,38,15,92,46,53,68,79,51,66,92,4,54,45,90,82,64,57,29,21,0,0,0,0,[]
10,24,37,24,86,44,54,68,78,51,66,82,9,54,45,90,81,64,57,29,21,0,0,0,0,[]
11,24,37,33,79,40,51,68,79,51,66,72,15,54,45,90,81,65,57,29,21,0,0,0,0,[]
12,28,38,43,78,29,50,63,75,50,66,64,21,54,45,89,82,73,63,29,23,0,0,0,0,[]
13,33,47,54,76,19,48,59,67,52,66,54,21,51,48,89,82,82,66,30,22,0,0,0,0,[]
14,42,54,56,75,15,38,57,67,57,68,46,23,53,46,89,82,88,71,30,22,0,0,0,0,[]
15,41,54,50,75,11,29,55,76,56,76,47,24,53,46,89,82,90,82,29,22,0,0,0,0,[]
16,42,55,50,75,19,21,54,76,67,79,47,24,54,47,89,83,87,85,35,23,0,0,0,0,[]
17,46,52,50,75,23,21,54,76,69,80,47,25,54,47,89,83,88,85,46,23,0,0,0,0,[]
18,46,52,51,74,20,21,55,76,69,79,47,26,50,51,89,83,88,85,47,25,0,0,0,0,[]
19,46,52,52,76,15,19,57,76,69,79,48,24,48,48,89,83,87,85,47,25,0,0,0,0,[]
20,47,52,51,77,17,16,67,80,76,87,48,25,51,47,85,81,85,84,37,23,0,0,0,0,[]
21,47,50,50,79,16,18,75,87,85,88,48,22,49,50,85,82,87,86,28,17,0,0,0,0,[]
22,46,51,55,82,14,19,81,86,84,89,45,16,50,50,83,81,86,86,18,15,0,0,0,0,[]
23,46,51,52,84,13,17,78,87,81,90,45,15,49,51,84,85,84,88,16,16,0,0,0,0,[]
24,45,51,51,84,18,14,78,89,80,90,42,17,50,51,81,87,83,88,19,14,0,0,0,0,[]
25,45,52,53,85,20,13,75,91,73,92,43,15,50,49,79,87,78,88,24,10,0,0,0,0,[]
26,45,52,54,83,18,16,76,90,76,88,45,16,49,49,81,86,81,86,23,10,0,0,0,0,[]
27,44,54,50,82,20,14,75,90,76,89,48,19,48,52,81,87,81,87,25,10,0,0,0,0,[]
28,44,55,47,75,20,14,74,90,74,89,52,30,47,52,80,88,80,86,26,8,0,0,0,0,[]
29,42,57,46,64,19,14,74,91,74,89,53,32,45,46,79,88,75,90,26,11,0,0,0,0,[]
30,43,55,47,66,20,13,75,92,75,88,51,32,45,49,80,87,79,85,26,11,0,0,0,0,[]
31,43,56,46,65,21,12,74,87,79,91,55,32,45,53,81,84,84,88,25,7,0,0,0,0,[]
32,42,56,43,67,21,14,73,85,74,88,64,39,44,51,83,85,83,86,24,8,0,0,0,0,[]
33,43,56,36,64,20,14,78,89,73,85,71,45,46,53,84,84,81,83,21,11,0,0,0,0,[]
34,41,56,30,55,21,12,77,85,80,88,75,44,45,54,81,83,84,84,25,7,0,0,0,0,[]
35,40,55,24,45,23,12,69,88,74,90,76,46,46,56,81,86,80,87,26,10,0,0,0,0,[]
36,42,54,23,41,24,13,76,87,80,90,74,52,46,54,82,85,80,84,29,8,0,0,0,0,[]
37,41,56,22,41,30,22,74,88,76,91,75,55,45,53,82,88,82,90,26,9,0,0,0,0,[]
38,42,57,27,37,29,22,75,88,76,91,74,59,42,55,82,86,81,91,26,9,0,0,0,0,[]
39,43,56,35,38,20,19,75,89,78,91,74,61,48,53,82,84,80,87,23,8,0,0,0,0,[]
40,40,57,29,36,19,14,72,87,75,90,68,65,57,60,79,86,79,86,24,9,0,0,0,0,[]
41,42,54,25,32,16,18,74,88,76,91,71,66,57,63,80,86,81,87,19,13,0,0,0,0,[]
42,44,52,25,25,15,16,72,88,74,90,69,66,52,52,80,87,80,87,19,12,0,0,0,0,[]
43,45,53,28,20,13,19,73,90,74,92,57,64,48,48,80,89,80,89,18,13,0,0,0,0,[]
44,46,51,28,20,15,17,74,87,76,91,49,60,49,48,84,86,84,88,18,12,0,0,0,0,[]
