,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,95,2,96,5,94,5,97,3,93,3,0,0,0,0,[]
1,4,95,5,97,2,99,1,97,2,95,95,2,96,5,94,5,96,3,93,3,0,0,0,0,[]
2,4,95,5,97,4,96,4,96,4,96,93,4,93,5,94,5,95,5,93,5,0,0,0,0,[]
3,4,95,5,97,4,96,4,95,5,96,93,5,93,5,93,5,94,6,94,6,0,0,0,0,[]
4,25,85,24,84,14,89,25,89,24,84,70,7,73,17,80,23,92,29,92,30,0,0,0,0,[]
5,41,70,43,69,36,76,47,88,43,69,47,11,55,31,66,40,89,52,90,54,0,0,0,0,[]
6,56,68,57,68,56,67,68,82,57,68,30,21,47,35,65,57,87,73,89,76,0,0,0,0,[]
7,56,68,57,68,57,68,60,75,51,67,29,21,47,35,64,57,82,83,85,86,0,0,0,0,[]
8,56,68,57,68,57,69,58,71,50,67,29,21,47,34,65,58,78,82,78,81,0,0,0,0,[]
9,57,69,57,68,57,69,56,74,52,67,29,21,47,34,65,57,76,76,73,77,0,0,0,0,[]
10,59,74,62,75,60,76,59,75,54,68,29,21,49,33,66,56,80,75,81,78,0,0,0,0,[]
11,63,76,68,79,67,79,51,77,50,66,30,21,50,33,66,55,81,77,86,79,0,0,0,0,[]
12,63,76,57,76,58,71,53,76,51,66,29,22,50,33,66,56,79,74,79,75,0,0,0,0,[]
13,3,90,48,74,56,67,59,69,57,70,29,21,49,33,65,57,78,74,79,76,0,0,0,0,[]
14,4,79,48,74,54,63,63,76,63,76,29,21,50,32,66,58,77,77,78,79,0,0,0,0,[]
15,5,67,49,74,48,55,69,82,69,81,30,22,51,32,66,56,75,77,79,80,0,0,0,0,[]
16,6,56,49,74,53,52,71,90,72,91,29,21,51,27,59,46,85,85,84,88,0,0,0,0,[]
17,7,44,49,74,50,50,80,90,80,90,38,23,47,25,55,45,84,88,84,89,0,0,0,0,[]
