,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,3,96,4,98,2,99,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,1,97,3,95,4,97,2,97,1,95,93,5,96,5,94,2,96,3,93,4,0,0,0,0,[]
2,5,96,4,95,4,95,4,95,5,95,93,5,93,6,93,4,94,6,93,5,0,0,0,0,[]
3,6,96,4,95,5,94,5,95,5,95,92,5,92,6,92,5,94,6,93,5,0,0,0,0,[]
4,28,94,14,73,19,76,20,77,26,85,67,7,73,17,75,19,80,23,84,26,0,0,0,0,[]
5,50,89,19,51,31,58,36,61,43,69,45,12,55,30,59,36,66,40,80,48,0,0,0,0,[]
6,69,81,23,33,34,40,46,52,58,63,26,22,44,34,53,48,65,58,75,67,0,0,0,0,[]
7,67,80,22,31,35,39,45,51,57,63,23,27,43,34,52,48,64,57,76,72,0,0,0,0,[]
8,69,78,23,38,38,37,42,52,57,63,24,31,41,30,50,49,64,57,75,71,0,0,0,0,[]
9,68,78,24,38,41,35,44,47,58,63,25,29,41,27,52,46,64,57,76,71,0,0,0,0,[]
10,66,82,24,39,37,38,46,44,58,63,26,30,43,24,56,44,64,57,74,72,0,0,0,0,[]
11,62,82,23,41,36,39,50,46,60,74,24,34,43,24,56,47,64,57,75,71,0,0,0,0,[]
12,67,82,24,38,2,96,48,50,68,80,23,29,92,12,55,45,65,57,73,72,0,0,0,0,[]
13,68,80,24,37,13,91,40,55,68,79,20,28,86,22,53,47,65,57,74,71,0,0,0,0,[]
14,67,82,23,39,21,84,42,54,69,79,22,31,81,31,53,49,66,55,75,71,0,0,0,0,[]
15,67,80,22,47,32,79,46,52,69,79,23,39,80,42,53,48,74,49,74,70,0,0,0,0,[]
16,64,79,22,46,42,78,52,48,65,78,23,39,77,52,57,45,77,55,74,68,0,0,0,0,[]
17,53,77,22,44,50,74,52,48,53,76,23,39,73,53,58,44,76,55,75,61,0,0,0,0,[]
18,54,76,21,44,50,74,49,52,52,73,23,38,73,52,54,46,76,55,73,55,0,0,0,0,[]
19,54,76,16,42,50,74,50,52,52,76,23,38,74,52,54,46,77,55,73,54,0,0,0,0,[]
20,65,79,14,36,47,72,50,53,63,78,19,24,76,54,54,46,81,57,79,56,0,0,0,0,[]
21,73,86,11,27,38,65,54,46,72,85,11,18,79,55,56,42,87,66,85,64,0,0,0,0,[]
22,80,85,17,21,41,54,50,50,82,86,11,17,81,56,55,46,87,77,86,75,0,0,0,0,[]
