,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,97,3,94,5,96,5,95,2,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,2,95,96,3,93,5,95,5,95,2,93,4,0,0,0,0,[]
2,4,95,4,94,2,96,5,96,4,94,93,5,92,4,93,6,94,5,93,5,0,0,0,0,[]
3,4,95,5,94,4,94,5,96,4,94,93,6,92,4,93,6,94,6,92,6,0,0,0,0,[]
4,6,72,18,76,20,80,26,85,26,92,82,25,69,8,75,17,80,23,79,23,0,0,0,0,[]
5,9,49,31,59,36,65,42,70,49,89,80,48,46,11,57,29,66,40,66,41,0,0,0,0,[]
6,11,27,34,43,46,51,52,65,69,81,74,66,29,21,43,32,58,49,64,58,0,0,0,0,[]
7,18,20,34,42,47,52,52,65,71,78,73,66,29,23,47,34,54,47,60,60,0,0,0,0,[]
8,19,24,35,39,48,51,53,65,73,77,73,67,29,23,48,34,54,45,62,61,0,0,0,0,[]
9,21,21,35,38,46,51,51,66,68,78,71,65,29,23,55,32,55,47,62,61,0,0,0,0,[]
10,27,22,35,38,46,50,49,67,72,76,71,65,36,23,63,39,54,48,62,62,0,0,0,0,[]
11,28,20,35,39,45,51,49,67,67,78,71,65,44,23,66,48,51,50,62,61,0,0,0,0,[]
12,28,20,38,38,46,50,50,67,59,72,66,64,45,23,64,58,54,52,61,64,0,0,0,0,[]
13,31,17,32,46,45,53,46,67,57,72,56,64,45,23,55,64,54,56,53,66,0,0,0,0,[]
14,30,18,31,57,45,57,47,70,55,76,61,62,46,23,55,55,54,52,60,63,0,0,0,0,[]
15,21,20,39,65,40,65,48,73,55,75,70,67,46,24,51,45,51,48,70,67,0,0,0,0,[]
16,15,16,49,68,42,67,54,76,53,76,79,74,45,23,47,36,46,38,78,75,0,0,0,0,[]
17,8,18,57,73,44,58,54,76,52,76,85,84,48,19,50,34,49,42,84,87,0,0,0,0,[]
18,18,16,52,73,48,49,53,76,51,75,85,88,42,10,51,34,49,43,83,89,0,0,0,0,[]
19,19,12,50,74,46,51,54,76,52,74,83,88,31,11,53,30,49,43,84,88,0,0,0,0,[]
20,17,13,51,76,47,50,59,76,57,76,84,84,21,14,51,34,53,47,84,86,0,0,0,0,[]
21,18,14,56,81,48,53,69,81,67,80,82,84,20,12,53,32,54,48,80,83,0,0,0,0,[]
22,17,15,56,84,47,49,76,86,76,87,83,85,19,12,52,29,55,45,80,83,0,0,0,0,[]
23,13,15,57,83,50,48,77,89,77,88,83,83,18,15,50,24,55,44,79,82,0,0,0,0,[]
24,13,16,57,85,52,49,72,91,73,87,76,78,16,15,50,22,54,44,79,87,0,0,0,0,[]
25,14,15,55,85,49,49,73,90,73,88,78,82,17,15,49,21,55,44,79,88,0,0,0,0,[]
26,17,15,50,81,50,46,73,89,73,88,79,86,19,13,48,19,56,43,78,90,0,0,0,0,[]
27,14,16,47,71,51,46,74,88,74,90,80,85,17,17,43,17,57,44,80,88,0,0,0,0,[]
28,14,18,49,66,50,46,72,89,72,89,77,86,18,13,45,15,58,42,77,92,0,0,0,0,[]
29,12,21,45,67,51,45,72,88,72,90,79,88,14,19,46,15,58,43,78,91,0,0,0,0,[]
30,13,19,41,67,52,47,69,89,70,89,76,88,14,15,44,15,58,47,76,90,0,0,0,0,[]
31,10,22,32,61,50,46,72,91,71,88,77,88,14,19,42,16,55,43,78,89,0,0,0,0,[]
32,10,20,29,51,50,48,77,88,76,88,84,82,12,19,40,15,56,44,83,89,0,0,0,0,[]
33,10,24,24,39,51,48,76,88,76,89,83,85,14,19,36,15,58,42,84,89,0,0,0,0,[]
34,10,25,20,28,47,46,75,88,75,89,83,82,11,23,36,15,59,42,82,90,0,0,0,0,[]
35,11,20,18,25,46,45,75,87,76,88,83,83,11,19,91,13,57,44,82,90,0,0,0,0,[]
36,9,25,12,21,51,47,77,88,77,88,84,86,12,21,86,23,55,44,82,90,0,0,0,0,[]
37,8,25,19,24,50,48,78,87,78,88,84,88,12,21,80,34,54,42,83,89,0,0,0,0,[]
38,8,25,13,20,49,48,76,87,77,89,83,84,96,3,80,46,57,44,83,89,0,0,0,0,[]
39,2,96,21,25,49,49,72,83,75,88,83,85,84,5,76,56,56,46,82,90,0,0,0,0,[]
40,10,24,29,34,48,50,75,88,76,89,84,85,71,6,69,63,55,43,83,87,0,0,0,0,[]
41,12,23,32,39,47,50,73,88,75,88,82,84,59,8,66,63,47,51,80,91,0,0,0,0,[]
