,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,3,96,4,98,2,99,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,1,97,3,95,4,98,2,98,1,95,94,5,95,5,95,2,96,4,94,3,0,0,0,0,[]
2,5,96,4,95,5,97,4,95,4,94,94,5,92,4,93,6,94,6,93,5,0,0,0,0,[]
3,5,96,5,95,5,97,4,95,4,94,92,5,92,5,93,7,94,6,93,5,0,0,0,0,[]
4,27,93,28,92,28,93,21,82,24,86,70,7,73,17,79,24,83,26,81,22,0,0,0,0,[]
5,49,90,51,89,51,89,37,66,43,78,52,19,55,30,61,38,80,48,66,40,0,0,0,0,[]
6,68,82,67,82,68,80,49,59,63,82,34,21,45,34,52,49,72,65,65,57,0,0,0,0,[]
7,68,80,69,80,69,79,42,61,69,78,30,20,45,34,52,48,76,57,64,57,0,0,0,0,[]
8,68,80,69,79,70,79,43,68,70,79,29,21,44,34,53,48,76,57,64,57,0,0,0,0,[]
9,68,80,69,79,70,79,50,75,70,79,29,21,45,34,53,48,75,57,64,57,0,0,0,0,[]
10,69,79,69,78,70,79,60,77,70,79,29,21,44,34,52,48,76,56,64,57,0,0,0,0,[]
11,72,78,71,77,73,77,70,78,73,77,29,21,44,34,53,48,76,56,64,57,0,0,0,0,[]
12,75,70,77,70,76,67,74,71,75,69,29,21,45,36,53,48,77,56,63,59,0,0,0,0,[]
13,75,63,78,69,75,62,74,64,72,64,29,23,38,38,56,57,80,52,67,49,0,0,0,0,[]
14,75,61,3,96,82,65,75,62,75,60,29,22,29,38,55,47,89,53,66,38,0,0,0,0,[]
15,78,62,6,85,79,63,77,61,76,58,26,31,29,38,52,46,93,60,76,34,0,0,0,0,[]
16,74,63,9,74,80,66,77,62,76,63,27,32,32,45,52,47,93,63,86,37,0,0,0,0,[]
17,75,61,10,60,76,59,77,62,76,62,31,40,27,50,53,45,93,63,90,50,0,0,0,0,[]
18,73,58,10,49,75,54,67,63,73,55,25,33,24,44,50,47,90,68,91,61,0,0,0,0,[]
19,74,58,9,38,75,55,57,62,74,56,21,23,22,44,49,48,86,75,88,72,0,0,0,0,[]
20,74,65,8,26,74,57,48,56,74,64,17,17,20,45,49,49,85,79,87,76,0,0,0,0,[]
21,76,75,12,17,78,56,47,56,76,75,17,16,19,47,47,50,86,81,87,82,0,0,0,0,[]
22,79,83,13,19,83,57,47,54,80,84,15,16,18,48,46,49,85,82,87,83,0,0,0,0,[]
23,80,85,13,18,83,56,41,59,83,86,14,15,16,44,46,54,87,80,88,82,0,0,0,0,[]
24,81,84,13,22,80,56,42,56,83,86,14,18,17,45,47,51,86,80,89,82,0,0,0,0,[]
25,81,84,9,24,77,48,41,57,84,87,15,21,17,44,45,52,86,81,88,83,0,0,0,0,[]
26,80,84,10,23,76,45,44,55,83,86,14,21,22,54,45,49,86,81,89,80,0,0,0,0,[]
27,83,84,8,26,77,44,43,57,88,84,11,21,22,53,46,51,89,76,90,78,0,0,0,0,[]
28,84,81,9,25,76,46,42,56,87,84,12,23,22,52,46,50,89,76,90,76,0,0,0,0,[]
29,84,81,8,26,66,55,43,56,86,82,10,24,22,53,47,51,90,73,92,71,0,0,0,0,[]
30,88,77,5,29,59,63,45,54,89,78,9,25,28,50,48,48,91,71,93,70,0,0,0,0,[]
31,86,79,8,26,54,64,46,54,88,78,13,22,35,42,49,47,90,72,92,75,0,0,0,0,[]
32,86,80,10,21,46,64,45,56,87,79,17,18,45,36,47,49,88,74,91,76,0,0,0,0,[]
33,87,81,10,21,46,64,45,54,87,79,16,16,51,34,48,49,87,75,90,75,0,0,0,0,[]
34,87,79,9,21,47,72,39,56,87,78,15,17,52,30,44,55,88,74,91,74,0,0,0,0,[]
35,86,78,10,19,50,73,39,58,88,78,14,16,51,33,45,52,90,72,91,73,0,0,0,0,[]
36,86,78,9,20,51,73,41,57,89,77,17,17,51,27,44,52,90,70,92,72,0,0,0,0,[]
37,86,78,11,18,47,69,43,55,88,79,18,16,46,32,47,51,90,73,91,71,0,0,0,0,[]
38,85,78,11,19,54,62,42,57,87,79,18,18,41,36,45,51,90,73,90,73,0,0,0,0,[]
39,86,78,11,19,47,57,43,56,88,78,17,17,32,38,45,51,90,72,89,72,0,0,0,0,[]
40,87,77,11,19,41,59,42,58,89,78,16,15,27,34,44,52,90,72,89,72,0,0,0,0,[]
41,86,78,12,19,41,55,36,61,87,79,18,17,23,30,47,53,88,73,91,76,0,0,0,0,[]
42,83,78,13,17,48,59,36,61,85,80,19,15,20,27,49,52,90,72,92,74,0,0,0,0,[]
43,75,71,15,22,54,61,2,96,82,82,19,15,19,25,45,54,89,75,88,83,0,0,0,0,[]
44,79,79,15,19,44,58,7,93,82,84,18,14,26,23,48,50,86,81,87,80,0,0,0,0,[]
45,80,80,15,14,40,56,13,89,80,81,16,13,34,17,42,46,87,81,85,80,0,0,0,0,[]
46,81,85,13,17,42,55,21,82,81,85,18,12,42,17,42,46,88,80,87,78,0,0,0,0,[]
47,83,83,15,16,45,52,28,73,84,85,21,12,45,15,94,5,86,78,89,82,0,0,0,0,[]
48,83,84,18,15,55,57,34,65,87,85,25,13,43,16,88,15,87,78,90,80,0,0,0,0,[]
49,84,86,23,22,63,61,42,58,86,84,25,10,45,16,79,23,87,78,89,80,0,0,0,0,[]
50,85,84,19,14,68,62,49,52,86,83,24,11,44,16,70,31,87,77,89,78,0,0,0,0,[]
51,84,85,20,14,72,64,51,53,86,84,24,8,47,17,61,39,87,77,88,77,0,0,0,0,[]
52,83,83,21,13,75,61,51,55,84,84,26,9,47,22,52,46,86,78,89,78,0,0,0,0,[]
53,83,82,21,12,75,61,59,58,85,84,25,11,46,24,56,41,88,77,89,78,0,0,0,0,[]
54,83,81,21,13,7,95,53,50,83,83,26,9,46,24,56,43,88,80,87,80,0,0,0,0,[]
55,83,79,22,12,19,94,51,48,87,83,27,8,41,23,55,47,88,76,89,74,0,0,0,0,[]
56,83,80,19,15,30,92,50,50,84,83,25,10,30,21,57,44,89,77,90,77,0,0,0,0,[]
57,86,83,18,15,41,90,52,48,83,82,23,9,28,21,57,42,87,77,88,76,0,0,0,0,[]
58,87,83,16,15,52,88,55,56,83,83,24,9,27,22,59,41,87,76,87,77,0,0,0,0,[]
59,86,80,18,14,61,83,48,52,87,78,25,8,27,22,51,45,91,74,90,73,0,0,0,0,[]
60,82,78,21,12,70,78,46,53,87,81,26,10,94,4,52,47,91,72,89,71,0,0,0,0,[]
61,85,80,21,12,74,68,47,53,86,79,27,8,81,9,50,47,90,73,90,74,0,0,0,0,[]
62,87,79,22,11,78,56,46,54,87,81,30,8,70,17,50,47,90,73,90,74,0,0,0,0,[]
63,87,81,21,13,84,56,44,55,87,80,95,4,61,24,49,47,89,73,90,72,0,0,0,0,[]
64,87,79,19,15,76,57,43,55,86,79,95,4,53,31,40,40,89,71,83,66,0,0,0,0,[]
65,87,78,19,15,75,64,47,54,82,77,27,9,42,36,46,47,90,72,85,65,0,0,0,0,[]
66,82,78,4,89,63,61,47,53,84,79,27,9,33,42,45,46,90,73,89,72,0,0,0,0,[]
67,80,77,5,76,52,64,44,53,84,80,21,13,21,45,47,49,89,75,85,66,0,0,0,0,[]
68,87,85,5,63,45,63,45,55,88,84,18,19,18,44,44,49,88,75,75,62,0,0,0,0,[]
69,86,80,6,50,47,65,44,55,87,81,17,17,18,45,44,49,87,74,77,62,0,0,0,0,[]
70,84,82,9,37,56,63,44,56,86,82,14,15,19,48,46,48,88,75,87,66,0,0,0,0,[]
71,86,81,11,25,54,58,44,55,86,81,18,13,24,56,45,48,87,75,88,75,0,0,0,0,[]
72,84,81,10,22,54,58,43,55,87,80,13,20,24,52,46,48,89,75,90,77,0,0,0,0,[]
