,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,3,96,4,98,2,99,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,95,4,97,2,98,2,95,94,5,95,4,95,3,96,3,93,4,0,0,0,0,[]
2,4,95,3,94,4,95,2,96,4,95,94,4,93,5,94,7,94,5,93,5,0,0,0,0,[]
3,3,96,4,92,6,93,5,94,6,95,91,5,91,5,93,8,93,8,93,7,0,0,0,0,[]
4,25,92,15,71,19,75,16,79,25,83,69,10,71,17,78,25,82,28,79,24,0,0,0,0,[]
5,47,90,20,49,31,58,34,64,43,69,50,18,53,31,61,39,79,50,67,42,0,0,0,0,[]
6,66,82,22,32,33,43,47,52,51,64,32,22,43,35,53,48,74,63,64,57,0,0,0,0,[]
7,59,83,20,27,35,40,47,55,51,64,29,22,43,35,56,45,73,63,60,61,0,0,0,0,[]
8,50,81,20,26,34,42,45,55,51,62,29,22,41,36,54,48,74,62,64,57,0,0,0,0,[]
9,47,71,19,25,34,39,45,53,49,59,29,21,41,32,56,45,75,59,63,58,0,0,0,0,[]
10,53,65,19,25,34,38,50,47,50,47,29,22,41,32,59,44,75,59,64,58,0,0,0,0,[]
11,51,66,20,26,31,38,45,50,48,53,29,22,90,11,60,44,74,60,64,57,0,0,0,0,[]
12,52,65,19,25,33,42,42,46,50,61,29,21,86,22,60,42,76,57,66,59,0,0,0,0,[]
13,50,66,19,23,33,42,42,44,51,64,30,22,81,32,59,41,83,62,75,62,0,0,0,0,[]
14,50,65,19,24,9,95,42,45,52,65,29,22,80,43,58,42,84,66,79,65,0,0,0,0,[]
15,48,68,19,24,20,93,43,47,52,66,29,22,76,52,56,47,84,66,70,63,0,0,0,0,[]
16,52,76,19,24,30,92,47,57,53,66,29,21,77,52,57,45,85,65,71,63,0,0,0,0,[]
17,53,76,21,22,40,87,48,60,52,68,29,21,74,52,52,48,86,65,80,65,0,0,0,0,[]
18,51,73,21,21,47,79,49,59,51,68,28,20,75,54,51,50,88,68,88,69,0,0,0,0,[]
19,52,76,16,17,51,74,49,57,51,76,22,13,77,54,50,51,86,76,87,77,0,0,0,0,[]
20,60,77,15,17,49,75,46,50,55,76,17,14,78,54,51,50,86,80,88,84,0,0,0,0,[]
21,69,81,16,17,47,74,41,51,69,81,20,12,80,55,46,51,82,79,80,78,0,0,0,0,[]
22,77,87,17,13,46,66,46,52,77,87,20,12,82,55,50,47,85,83,86,83,0,0,0,0,[]
23,79,87,16,15,46,68,46,56,81,87,18,14,81,54,48,49,84,81,87,84,0,0,0,0,[]
24,80,85,15,15,44,68,48,53,81,85,17,15,80,52,48,49,87,83,87,85,0,0,0,0,[]
25,78,86,15,16,43,68,47,53,82,87,22,11,75,44,49,47,86,84,85,88,0,0,0,0,[]
26,80,86,16,13,36,63,47,53,80,86,18,14,71,41,50,47,86,81,87,85,0,0,0,0,[]
27,79,87,15,14,26,58,41,57,83,88,22,13,68,41,45,52,84,81,87,85,0,0,0,0,[]
28,80,85,16,13,22,56,39,55,83,87,21,10,65,38,41,44,86,80,87,82,0,0,0,0,[]
29,82,86,18,12,21,53,42,56,86,85,24,12,56,32,43,46,87,78,85,79,0,0,0,0,[]
30,83,86,18,11,22,52,42,53,89,83,26,10,46,24,48,49,87,75,89,76,0,0,0,0,[]
31,85,84,24,10,21,47,46,53,89,81,27,7,45,23,47,49,88,74,90,75,0,0,0,0,[]
