,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,4,95,4,98,2,99,1,95,94,5,96,5,95,2,97,3,94,2,0,0,0,0,[]
1,2,96,4,95,4,97,2,98,1,95,94,5,95,5,95,3,96,4,93,4,0,0,0,0,[]
2,4,95,3,94,4,95,4,96,4,96,93,5,94,5,93,6,94,5,92,4,0,0,0,0,[]
3,5,95,3,94,4,94,5,95,5,96,92,5,91,5,93,6,93,6,92,4,0,0,0,0,[]
4,27,93,14,74,18,76,20,80,24,84,67,7,70,16,76,20,80,23,69,6,0,0,0,0,[]
5,49,90,18,51,31,58,36,64,42,70,45,12,53,32,61,38,66,40,46,6,0,0,0,0,[]
6,68,81,23,33,34,41,46,53,55,66,29,21,45,35,52,47,64,57,23,9,0,0,0,0,[]
7,74,76,20,28,34,39,45,55,57,63,29,23,45,35,51,46,72,63,12,12,0,0,0,0,[]
8,73,77,19,26,34,43,46,53,56,63,21,27,37,37,45,40,75,58,15,21,0,0,0,0,[]
9,73,72,23,37,33,43,42,51,47,58,23,35,23,36,35,36,76,53,21,29,0,0,0,0,[]
10,72,76,13,34,33,43,33,47,46,56,28,36,29,37,37,36,76,53,28,35,0,0,0,0,[]
11,74,69,10,33,34,43,36,49,56,62,40,36,41,38,46,39,76,51,39,38,0,0,0,0,[]
12,77,59,10,33,34,42,47,51,67,64,51,41,50,44,53,46,77,52,49,43,0,0,0,0,[]
13,74,70,4,91,33,43,47,51,73,72,59,46,60,50,58,50,75,52,59,49,0,0,0,0,[]
14,70,79,9,80,31,47,47,50,71,81,63,53,65,57,60,51,76,52,66,55,0,0,0,0,[]
15,76,87,15,71,23,51,47,50,77,88,59,45,64,57,57,49,70,50,65,57,0,0,0,0,[]
16,85,88,17,57,23,48,43,51,87,85,58,32,63,61,51,51,64,58,65,58,0,0,0,0,[]
17,87,85,21,47,23,47,40,52,87,84,56,22,57,65,48,52,57,64,58,63,0,0,0,0,[]
18,87,85,23,35,23,47,47,56,88,85,45,23,59,71,49,50,57,71,57,72,0,0,0,0,[]
19,87,85,19,25,21,48,48,55,88,84,35,23,51,74,49,49,55,75,52,75,0,0,0,0,[]
20,87,85,14,19,19,49,45,54,87,85,24,14,55,77,51,49,55,75,52,76,0,0,0,0,[]
21,82,89,14,18,20,50,44,51,83,88,17,12,53,77,51,51,63,76,60,76,0,0,0,0,[]
22,78,87,15,19,22,51,45,54,75,87,15,12,57,72,52,49,73,77,71,77,0,0,0,0,[]
23,80,89,12,19,31,48,43,54,75,87,12,13,49,66,50,50,81,80,82,80,0,0,0,0,[]
24,76,88,14,18,37,38,45,55,75,87,14,12,50,65,48,52,81,81,77,78,0,0,0,0,[]
25,84,89,13,18,41,28,42,54,81,87,15,11,48,66,51,53,84,80,80,79,0,0,0,0,[]
26,76,90,15,17,44,23,40,53,77,87,15,12,45,68,47,54,83,81,81,80,0,0,0,0,[]
27,76,88,14,19,44,23,42,56,80,88,17,12,43,68,47,55,87,84,81,82,0,0,0,0,[]
28,78,88,13,16,44,23,43,55,80,89,17,12,42,64,50,53,85,86,83,81,0,0,0,0,[]
29,76,88,14,18,48,20,39,55,77,89,15,14,46,69,48,53,84,87,80,84,0,0,0,0,[]
30,74,89,12,19,48,18,41,54,78,90,21,13,50,80,46,53,84,85,81,83,0,0,0,0,[]
31,74,89,14,17,47,17,43,56,77,88,22,14,57,83,50,54,84,84,80,83,0,0,0,0,[]
32,81,89,13,18,42,17,42,56,81,89,18,14,58,83,48,55,83,82,81,81,0,0,0,0,[]
33,78,90,14,18,39,17,41,55,77,89,14,12,59,84,49,54,83,84,82,83,0,0,0,0,[]
34,74,87,16,19,39,16,40,54,78,88,20,14,61,83,48,55,85,83,85,86,0,0,0,0,[]
35,74,88,14,20,39,15,41,58,77,88,15,13,63,83,46,56,83,82,84,86,0,0,0,0,[]
36,73,88,16,17,39,16,36,58,71,87,15,12,69,80,49,54,81,83,80,88,0,0,0,0,[]
37,73,88,14,20,41,29,37,57,74,91,15,13,73,70,49,54,79,86,80,91,0,0,0,0,[]
38,74,88,15,18,49,35,42,55,76,91,16,15,73,73,51,52,79,85,80,89,0,0,0,0,[]
39,72,90,14,18,48,35,41,56,73,91,16,12,69,79,51,55,78,86,75,90,0,0,0,0,[]
40,70,91,14,17,44,36,40,58,72,91,19,16,63,83,55,59,78,84,78,87,0,0,0,0,[]
41,69,94,12,18,33,37,40,57,68,92,17,13,62,87,56,60,72,86,70,88,0,0,0,0,[]
42,70,94,9,19,26,34,39,58,69,92,18,13,65,91,95,4,73,89,69,89,0,0,0,0,[]
43,69,94,12,19,22,30,2,96,68,93,17,14,69,94,71,92,72,94,69,89,0,0,0,0,"['3:35 LGDbadeMan(µÂ°î×Ü¹Ü) »÷É±ÁË RWZWuJi(Æ¤³ÇÅ®¾¯),»ñµÃÒ»Ñª']"
44,69,94,14,17,23,37,2,96,67,94,18,12,63,93,73,93,73,92,73,91,0,0,0,0,['3:38 LGDKramer(³Í½äÖ®¼ý) »÷É±ÁË RWHuanggai(¹â»ÔÅ®ÀÉ)']
45,69,94,15,17,18,44,47,52,67,94,20,13,62,84,78,82,72,89,72,92,0,0,0,0,[]
46,11,96,14,18,18,46,50,49,8,95,19,12,71,77,75,71,72,89,72,92,0,0,0,0,[]
47,22,95,18,15,18,46,55,45,19,94,22,9,70,65,68,61,74,90,74,92,0,0,0,0,[]
48,33,94,18,14,22,53,52,45,31,93,23,11,70,64,63,52,80,87,83,89,0,0,0,0,[]
49,44,94,22,12,24,57,50,46,42,92,25,8,75,68,57,46,87,85,83,89,0,0,0,0,[]
50,54,93,19,13,24,57,53,46,53,90,23,9,75,61,59,45,87,85,94,7,0,0,0,0,[]
51,65,93,19,12,24,57,52,47,64,90,24,10,74,54,58,46,95,7,92,13,0,0,0,0,[]
52,74,88,19,12,24,57,46,44,70,83,25,12,76,54,59,45,94,12,84,21,0,0,0,0,[]
53,79,88,20,13,6,95,44,36,76,86,22,8,77,52,58,46,93,23,75,28,0,0,0,0,[]
54,87,85,21,11,14,92,43,36,84,86,27,7,73,45,54,48,92,34,77,36,0,0,0,0,[]
55,82,87,15,11,26,85,43,43,79,83,26,10,74,43,54,47,91,45,82,46,0,0,0,0,[]
56,83,88,15,11,35,77,45,51,79,82,26,9,75,43,54,46,90,56,87,56,0,0,0,0,[]
57,82,86,4,89,43,69,46,52,80,82,25,10,77,49,54,47,88,66,87,67,0,0,0,0,[]
58,80,86,5,78,49,67,50,53,80,84,24,8,76,59,54,47,86,75,86,77,0,0,0,0,[]
59,82,85,6,66,49,67,56,56,85,84,24,11,78,71,55,43,87,79,82,78,0,0,0,0,[]
60,83,83,8,55,50,66,53,54,82,83,20,14,79,75,54,45,85,77,88,75,0,0,0,0,[]
61,80,85,9,41,61,64,52,53,78,84,12,19,78,84,56,45,83,79,85,80,0,0,0,0,[]
62,79,91,10,30,71,70,51,49,79,91,10,21,80,90,58,45,81,85,81,86,0,0,0,0,[]
63,75,93,11,24,74,78,48,53,71,93,10,17,78,88,55,49,76,90,77,91,0,0,0,0,['5:13 LGDbadeMan(µÂ°î×Ü¹Ü) »÷É±ÁË RWZWuJi(Æ¤³ÇÅ®¾¯)']
64,75,93,9,27,70,81,49,58,72,90,13,13,84,80,52,48,81,86,82,87,0,0,0,0,[]
65,2,96,7,29,59,83,50,61,72,90,15,11,87,68,49,53,81,85,80,88,0,0,0,0,[]
66,72,91,13,22,60,84,51,64,73,91,95,4,84,57,48,47,78,83,80,80,0,0,0,0,[]
67,74,92,24,23,58,84,51,64,72,89,83,5,84,58,47,48,82,83,80,79,0,0,0,0,[]
68,72,91,35,22,58,84,7,88,72,92,72,7,83,57,48,48,80,88,81,86,0,0,0,0,[]
69,73,90,35,23,53,76,15,79,74,91,62,10,83,57,49,48,81,89,81,85,0,0,0,0,[]
70,73,90,23,22,65,77,23,72,75,91,48,11,92,6,51,46,82,90,80,84,0,0,0,0,[]
71,75,89,15,16,76,79,31,64,77,91,38,15,82,7,51,46,82,88,80,84,0,0,0,0,[]
72,84,84,13,19,85,80,38,58,83,86,28,15,71,10,95,7,90,81,86,80,0,0,0,0,[]
73,86,79,17,19,86,76,42,57,88,80,19,13,65,20,94,8,90,75,89,72,0,0,0,0,[]
