,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,3,96,4,98,2,99,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,95,4,98,2,98,1,95,93,5,95,5,95,2,96,3,93,3,0,0,0,0,[]
2,4,95,2,95,5,96,4,95,1,95,92,4,93,6,94,6,94,5,93,5,0,0,0,0,[]
3,5,96,3,94,5,96,5,95,5,95,92,4,92,4,93,6,94,7,94,6,0,0,0,0,[]
4,27,93,18,76,25,89,27,90,27,87,68,8,73,17,79,22,84,27,79,23,0,0,0,0,[]
5,49,90,32,59,48,88,50,88,42,70,45,12,54,31,63,38,80,48,67,42,0,0,0,0,[]
6,68,82,34,43,68,82,69,80,58,63,30,18,43,37,50,48,75,66,65,57,0,0,0,0,[]
7,74,74,34,43,72,77,70,79,60,72,30,19,47,34,50,47,75,62,68,50,0,0,0,0,[]
8,75,74,34,43,79,73,79,75,69,78,30,19,47,34,52,47,81,65,78,51,0,0,0,0,[]
9,74,70,34,43,75,70,75,71,75,71,30,19,91,11,54,48,80,54,79,52,0,0,0,0,[]
10,65,65,34,43,66,62,67,65,67,65,44,23,85,21,62,51,81,51,77,52,0,0,0,0,[]
11,72,65,34,43,73,63,73,63,73,63,53,29,76,27,59,49,77,48,78,51,0,0,0,0,[]
12,78,62,33,43,81,66,75,59,79,63,62,36,68,36,61,50,75,49,79,52,0,0,0,0,[]
13,74,63,32,44,77,62,68,63,75,63,70,41,73,43,61,50,78,50,77,52,0,0,0,0,[]
14,77,62,34,47,78,70,73,63,75,63,74,44,73,49,61,50,78,50,77,52,0,0,0,0,[]
15,76,67,32,45,77,68,70,68,76,67,74,45,73,49,62,50,76,49,77,52,0,0,0,0,[]
16,75,63,37,49,75,61,73,62,76,62,74,44,72,49,61,50,77,48,77,52,0,0,0,0,[]
17,78,55,31,46,74,53,74,59,76,55,76,49,76,50,68,50,76,49,80,51,0,0,0,0,[]
18,76,57,38,50,76,54,76,55,77,55,78,51,78,50,77,50,78,50,80,52,0,0,0,0,[]
19,77,59,49,52,74,58,76,57,75,58,78,50,78,50,77,50,81,50,80,52,0,0,0,0,[]
20,74,62,51,52,74,60,79,60,76,61,80,45,78,52,77,50,80,50,78,52,0,0,0,0,[]
21,74,60,52,49,78,60,75,60,75,60,73,49,78,53,77,49,87,56,79,54,0,0,0,0,[]
22,75,60,53,48,76,58,74,59,75,58,60,48,74,43,72,49,87,67,82,49,0,0,0,0,[]
23,74,62,44,43,75,59,65,59,76,59,58,40,68,44,60,49,85,77,81,51,0,0,0,0,[]
24,77,73,41,34,74,60,55,52,75,61,55,31,77,50,56,45,87,70,80,55,0,0,0,0,[]
25,75,66,36,24,74,61,53,49,75,61,49,18,74,55,57,43,82,65,78,56,0,0,0,0,[]
26,75,60,25,22,75,58,59,50,77,60,43,10,75,58,55,43,83,62,79,53,0,0,0,0,[]
27,76,69,17,16,72,63,54,48,75,65,32,9,76,58,55,41,87,68,87,56,0,0,0,0,"['2:11 RWWeiYan(狂战士) 击杀了 LGDbadeMan(德玛西亚皇子),获得一血']"
28,79,80,13,16,60,63,51,44,79,75,21,11,88,5,56,43,88,78,89,67,0,0,0,0,[]
29,82,84,21,12,49,65,51,46,80,86,24,9,78,11,56,43,88,82,87,78,0,0,0,0,[]
30,83,87,14,17,46,65,48,50,84,87,19,13,69,17,52,47,85,80,86,79,0,0,0,0,[]
31,83,88,12,11,46,64,44,51,84,87,17,13,59,23,53,48,83,80,86,80,0,0,0,0,[]
32,80,87,13,15,38,64,52,52,82,90,17,13,49,27,53,45,83,82,87,85,0,0,0,0,[]
33,80,88,17,13,31,56,51,53,82,88,18,10,50,26,51,46,81,81,85,82,0,0,0,0,[]
34,81,87,14,17,25,48,49,50,82,87,19,11,52,29,55,47,85,80,87,82,0,0,0,0,[]
35,80,87,18,15,23,47,49,52,81,88,18,10,48,32,54,47,84,80,86,82,0,0,0,0,[]
36,73,86,16,15,22,48,47,56,75,88,18,11,38,36,50,50,81,83,83,85,0,0,0,0,[]
37,74,90,16,11,21,52,50,52,76,92,20,11,28,31,51,48,79,85,82,85,0,0,0,0,[]
38,75,88,15,16,24,56,54,46,75,87,19,10,19,25,57,42,81,87,83,87,0,0,0,0,[]
39,76,88,15,16,24,56,47,51,78,90,15,12,18,24,57,41,83,85,84,87,0,0,0,0,['3:11 RWHuaTian(岩雀) 击杀了 LGDYuuki(英勇投弹手)']
40,73,88,22,11,29,50,42,57,76,90,20,13,19,16,57,41,81,86,83,88,0,0,0,0,[]
41,76,87,27,15,31,40,42,57,77,90,24,11,26,15,95,4,82,85,83,89,0,0,0,0,[]
42,74,88,28,15,24,34,5,95,77,88,23,12,27,21,57,45,82,87,82,83,0,0,0,0,['3:27 LGDbadeMan(德玛西亚皇子) 击杀了 RWHolder(青钢影)']
43,79,86,28,15,28,37,9,92,84,88,23,12,37,23,54,44,85,82,83,82,0,0,0,0,[]
44,77,87,2,96,32,40,20,84,83,87,93,5,43,17,56,44,80,83,81,83,0,0,0,0,[]
45,79,89,18,23,34,42,27,75,81,88,93,5,45,15,54,44,80,83,81,85,0,0,0,0,[]
46,83,81,14,17,34,42,36,66,84,83,17,12,44,14,54,46,84,79,86,78,0,0,0,0,[]
47,86,77,15,16,7,94,46,56,87,77,21,9,41,15,53,46,90,71,93,67,0,0,0,0,[]
48,80,83,14,17,17,90,46,52,88,82,17,11,39,16,52,48,91,65,93,67,0,0,0,0,[]
49,84,83,15,17,29,89,49,53,80,77,16,13,32,18,51,47,91,65,94,6,0,0,0,0,[]
50,84,81,15,19,40,89,45,53,82,78,16,14,23,25,50,47,95,5,94,9,0,0,0,0,[]
51,85,83,12,17,52,88,48,53,78,71,18,14,20,26,51,46,96,4,94,19,0,0,0,0,[]
