,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,4,95,4,98,2,99,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,0,97,4,95,3,97,2,98,2,95,94,5,95,6,95,2,97,4,94,3,2500,0,2500,0,[]
2,2,96,4,95,4,95,4,95,3,95,94,6,95,6,93,4,95,4,94,6,2500,0,2500,0,[]
3,4,95,4,95,4,94,5,95,3,94,94,6,93,6,93,5,93,5,94,6,2500,0,2500,0,[]
4,26,92,14,74,18,77,21,80,23,84,79,24,81,23,79,22,80,23,80,23,2500,0,2500,0,[]
5,48,90,18,52,32,60,40,67,41,70,67,42,66,38,66,40,66,39,66,41,2500,0,2500,0,[]
6,66,82,23,34,34,42,45,55,52,66,64,57,66,57,65,57,66,57,66,58,2500,0,2500,0,[]
7,55,85,20,26,35,39,49,50,50,66,61,63,59,63,57,64,63,63,58,63,2500,0,2500,0,[]
8,46,80,20,26,36,39,46,57,41,67,57,70,57,68,50,68,54,65,49,67,2500,0,2500,0,[]
9,36,76,25,31,36,38,43,56,32,68,53,76,47,70,45,72,44,68,44,70,2500,0,2500,0,[]
10,36,87,21,28,35,38,46,50,28,77,53,76,51,76,47,75,50,68,50,77,2500,0,2500,0,[]
11,43,92,20,28,35,38,48,49,31,88,90,4,56,75,47,69,56,67,57,73,2500,0,2500,0,[]
12,48,90,25,31,39,37,44,49,41,92,78,6,55,65,52,61,53,62,55,63,2500,0,2500,0,[]
13,51,92,35,36,39,37,42,38,52,92,67,7,55,65,56,61,50,55,57,59,2500,0,2500,0,[]
14,63,94,41,32,49,34,46,36,63,94,56,7,55,75,54,54,56,63,57,70,2500,0,2500,0,[]
15,71,89,36,37,39,38,43,45,73,91,43,9,46,72,55,56,57,68,56,75,2500,0,2500,0,[]
16,81,91,25,37,31,46,46,53,83,89,38,14,52,76,56,61,54,76,55,76,2500,0,2500,0,[]
17,87,85,16,34,24,52,46,55,87,85,35,13,52,76,53,53,53,76,54,76,2500,0,2500,0,[]
18,87,85,11,28,23,55,45,51,87,85,24,10,51,74,52,52,52,76,53,76,2500,0,2500,0,[]
19,87,86,15,18,22,56,45,52,88,81,15,11,50,74,51,50,55,76,58,76,2500,0,2621,0,[]
