,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,4,95,2,95,94,5,96,5,95,2,96,4,93,4,2500,0,2500,0,[]
2,3,95,4,95,4,96,4,95,4,95,92,5,94,5,94,6,93,5,93,5,2500,0,2500,0,[]
3,2,95,3,94,5,96,4,95,4,94,92,5,93,4,94,6,95,6,93,5,2500,0,2500,0,[]
4,12,76,19,76,21,82,25,90,24,85,69,7,73,14,79,24,84,26,82,22,2500,0,2500,0,[]
5,18,55,31,58,37,65,44,82,41,71,46,11,56,30,61,39,80,48,66,38,2500,0,2500,0,[]
6,23,35,34,43,46,52,64,77,52,65,30,19,45,32,53,47,75,66,65,57,2500,0,2500,0,[]
7,20,26,34,43,47,52,74,76,51,66,30,19,46,34,53,46,75,61,64,57,2500,0,2500,0,[]
8,20,28,34,43,46,51,73,76,51,66,30,19,47,33,53,47,74,63,64,57,2500,0,2500,0,[]
9,20,28,34,43,46,51,74,74,51,66,30,19,47,33,54,47,74,63,64,57,2500,0,2500,0,[]
10,20,26,34,43,45,51,74,75,51,66,30,18,46,34,53,47,75,63,64,57,2500,0,2500,0,[]
11,19,27,34,42,39,42,73,75,51,66,30,19,48,33,53,47,74,63,64,57,2500,0,2500,0,[]
12,20,27,32,48,35,39,72,75,51,66,30,19,49,31,55,46,75,63,64,57,2500,0,2500,0,[]
13,20,26,32,59,34,40,72,76,52,66,30,19,49,31,54,46,75,63,66,56,2500,0,2500,0,[]
14,19,26,43,68,34,38,72,76,52,66,30,19,48,31,53,48,77,63,65,57,2500,0,2500,0,[]
15,19,25,49,74,37,39,68,79,55,67,30,19,49,31,54,46,77,65,66,57,2500,0,2500,0,[]
16,19,26,49,74,33,48,68,79,57,68,39,23,48,31,51,44,84,66,73,63,2500,0,2500,0,[]
17,19,26,49,74,43,51,70,80,57,69,47,23,49,26,47,41,85,65,81,66,2500,0,2500,0,[]
18,19,25,51,73,47,50,70,80,57,69,47,24,47,25,52,49,89,69,89,68,2500,0,2500,0,[]
19,18,25,51,75,45,52,76,87,62,75,46,24,48,25,50,49,86,77,87,76,2500,0,2521,0,[]
