,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,97,2,95,94,5,95,5,94,2,97,3,93,3,2500,0,2500,0,[]
2,4,94,3,96,4,95,1,96,3,94,93,5,94,4,94,5,94,6,93,5,2500,0,2500,0,[]
3,4,94,4,94,4,95,4,96,3,96,93,5,92,4,93,6,94,6,93,5,2500,0,2500,0,[]
4,14,74,19,77,19,78,27,92,22,85,76,19,73,17,79,22,88,25,82,23,2500,0,2500,0,[]
5,19,52,31,59,34,61,49,90,40,72,56,21,55,30,63,38,89,42,67,37,2500,0,2500,0,[]
6,25,37,34,41,45,52,68,82,52,66,34,17,44,35,52,49,76,57,65,56,2500,0,2500,0,[]
7,27,37,41,37,44,52,72,77,51,66,30,19,48,33,53,48,75,69,64,57,2500,0,2500,0,[]
8,26,36,35,39,45,52,68,78,51,66,30,19,48,33,52,49,76,69,63,62,2500,0,2500,0,[]
9,26,36,31,46,44,51,67,80,51,66,30,19,46,34,52,49,73,66,63,62,2500,0,2500,0,[]
10,26,36,31,57,44,53,68,80,51,66,30,19,46,34,51,49,73,64,63,61,2500,0,2500,0,[]
11,26,36,39,65,46,54,68,79,51,67,30,19,45,35,56,54,73,63,63,62,2500,0,2500,0,[]
12,26,36,47,73,43,54,69,79,53,67,30,19,45,34,50,55,73,62,63,62,2500,0,2500,0,[]
13,25,37,57,76,42,59,68,79,57,69,30,19,42,34,56,55,74,62,63,62,2500,0,2500,0,[]
14,25,37,68,79,42,68,69,79,57,69,30,20,44,24,57,55,76,62,63,62,2500,0,2500,0,[]
15,26,37,70,79,50,76,68,79,64,76,29,19,47,25,57,56,76,62,63,61,2500,0,2500,0,[]
16,25,37,71,79,64,77,71,76,73,77,30,22,46,25,55,54,75,70,72,67,2520,0,2500,0,[]
17,20,38,73,76,72,75,73,70,74,71,30,19,47,25,48,52,73,66,73,66,2520,0,2500,0,[]
18,12,34,75,65,72,64,73,63,74,62,29,19,47,26,55,54,77,56,69,63,2520,0,2500,0,[]
19,11,26,73,55,64,61,75,57,74,56,22,11,49,26,53,51,84,52,67,53,2520,0,2521,0,[]
20,16,22,72,52,54,57,75,59,77,50,14,10,50,26,54,51,89,61,71,48,2520,0,2542,0,[]
21,12,19,72,52,49,52,77,69,75,57,12,13,49,24,53,50,88,71,78,49,2662,0,2647,0,[]
22,12,16,77,53,48,52,82,78,76,68,16,14,44,17,52,46,88,77,87,54,2754,0,2774,0,[]
23,11,20,83,56,46,54,85,79,81,78,13,15,43,17,49,48,89,76,85,63,2868,0,2883,0,[]
24,12,20,77,56,50,54,83,79,83,79,14,17,44,16,50,47,89,74,82,58,2933,0,3046,0,[]
25,9,23,81,57,46,53,83,82,80,77,13,19,44,16,50,50,88,76,83,65,3018,0,3137,0,[]
26,9,22,80,56,47,52,88,82,81,80,11,20,44,16,51,46,88,70,81,57,3194,0,3274,0,[]
27,9,22,73,62,48,54,80,76,77,70,13,21,49,21,49,47,80,66,76,58,3259,0,3402,0,[]
28,7,24,70,75,44,56,83,80,80,75,10,22,51,31,45,51,87,67,82,58,3365,0,3501,0,[]
29,5,25,70,75,41,59,84,80,84,80,11,22,40,36,45,54,89,71,87,66,3493,0,3573,0,[]
30,7,23,5,95,44,55,84,79,87,81,18,24,28,37,47,52,89,72,89,73,3607,0,3629,0,[]
31,6,25,6,95,43,55,86,77,88,78,12,23,24,43,49,49,90,72,91,73,3679,0,3787,0,[]
32,6,25,19,89,43,57,81,77,87,79,12,21,23,42,45,51,89,73,90,75,3777,0,3853,0,[]
33,7,24,30,89,44,53,85,80,85,78,12,22,23,40,46,49,90,74,91,74,3891,0,4062,0,[]
34,7,25,40,86,46,55,88,80,87,78,12,21,22,44,45,49,90,74,90,74,4088,0,4292,0,[]
35,7,25,48,77,46,55,85,78,89,78,18,23,21,48,47,49,87,72,90,72,4163,0,4396,0,[]
36,8,25,49,74,46,53,84,80,81,77,12,21,24,56,46,50,90,69,93,71,4374,0,4525,0,[]
37,7,25,48,73,46,53,84,88,73,69,16,21,23,55,46,48,90,73,91,71,4543,0,4765,0,[]
38,8,24,47,66,46,53,84,88,65,61,20,27,22,54,47,48,87,74,90,75,4614,0,4907,0,[]
39,8,22,56,61,47,51,8,96,56,57,18,25,17,45,51,48,87,75,90,76,4749,0,5010,0,[]
40,8,22,57,55,52,47,20,95,56,56,14,17,18,45,53,44,87,75,91,76,4814,0,5199,0,[]
41,8,22,66,62,52,54,31,93,57,55,15,17,22,42,54,47,88,76,89,77,4885,0,5305,0,[]
42,9,20,71,66,50,52,42,92,65,62,16,16,27,36,51,46,87,76,90,81,4954,0,5402,0,[]
43,10,25,73,66,51,52,53,91,75,62,21,12,25,33,53,46,87,78,89,81,5103,0,5570,0,[]
44,13,35,74,60,48,54,64,89,77,71,18,13,26,33,49,50,86,80,89,82,5154,0,5726,0,[]
45,18,44,74,62,49,53,74,87,79,76,19,13,39,37,52,47,85,79,89,82,5204,0,5860,0,[]
46,21,51,79,73,48,53,79,79,82,82,21,13,51,41,51,48,87,78,87,80,5344,0,5981,0,[]
47,23,42,79,74,42,59,81,84,83,85,16,12,59,48,52,52,86,78,86,81,5467,0,6099,0,[]
48,22,33,81,77,40,62,84,83,84,80,20,14,66,57,49,49,86,79,84,81,6117,0,6149,0,[]
49,20,23,89,77,2,96,88,78,86,78,25,11,72,66,50,49,90,76,87,75,6208,0,6200,0,"['4:3 LGDRD(ÕýÒå¾ÞÏñ) »÷É±ÁË SNSmlz(ÄæÓð),»ñµÃÒ»Ñª']"
50,18,15,85,83,2,96,81,82,83,81,20,11,76,66,48,52,90,76,89,72,6294,0,6335,0,[]
51,16,17,76,86,47,53,82,83,85,86,19,13,75,60,47,52,95,5,88,77,6386,0,6427,0,[]
52,16,16,66,88,51,49,81,84,84,87,20,13,76,54,55,46,95,11,88,78,6490,0,6482,0,[]
53,14,15,58,83,53,53,81,86,2,96,20,13,73,44,61,41,93,22,86,79,6604,0,6570,0,[]
54,13,16,55,84,56,57,81,85,8,95,18,13,75,44,61,41,92,33,87,80,6812,0,6651,0,[]
55,9,19,57,84,49,53,80,86,16,94,10,19,77,46,95,4,91,43,90,81,6910,0,6769,0,[]
56,8,27,59,84,46,53,80,85,28,92,10,22,76,52,95,4,90,54,87,80,7085,0,6881,0,[]
57,6,32,60,82,46,55,79,88,40,91,11,19,76,52,47,49,88,65,79,75,7226,0,6982,0,[]
58,6,32,62,83,47,52,79,86,52,90,10,23,76,52,50,50,86,75,79,75,7317,0,7200,0,[]
59,2,96,70,79,47,53,76,89,60,84,15,21,87,5,49,50,82,84,82,85,7460,0,7300,0,[]
60,7,29,70,79,49,52,76,89,73,86,15,21,71,5,52,49,79,82,78,77,7576,0,7378,0,[]
