,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGKane, ,OMGFive, ,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,3,95,93,5,95,5,95,2,96,4,93,3,0,0,0,0,[]
2,3,95,4,95,5,96,3,96,4,95,94,4,94,2,94,4,95,6,94,6,0,0,0,0,[]
3,3,94,4,94,4,96,5,95,5,94,92,5,91,5,93,5,95,6,93,7,0,0,0,0,[]
4,14,73,19,78,19,81,27,94,25,83,69,8,71,16,79,24,85,26,91,29,0,0,0,0,[]
5,19,51,31,58,33,64,49,89,42,70,49,17,53,31,64,40,80,48,90,51,0,0,0,0,[]
6,23,33,34,43,45,53,68,81,57,69,30,20,40,36,55,53,75,66,89,73,0,0,0,0,[]
7,19,25,34,43,45,53,68,80,57,69,30,20,41,33,65,57,78,73,86,79,0,0,0,0,[]
8,19,24,34,43,45,53,68,78,57,69,30,20,41,33,64,57,78,73,85,79,0,0,0,0,[]
9,19,24,34,43,44,53,68,80,57,69,30,19,41,32,64,57,78,73,85,79,0,0,0,0,[]
10,20,26,34,43,45,52,68,79,57,69,30,20,94,4,64,57,78,73,85,79,0,0,0,0,[]
11,19,24,34,43,45,52,69,79,57,69,31,20,82,6,64,57,78,73,86,79,0,0,0,0,[]
12,19,25,34,43,44,52,68,80,57,69,31,20,73,12,64,57,78,73,85,79,0,0,0,0,[]
13,20,24,33,44,44,52,69,79,57,70,30,20,65,20,64,57,78,73,85,80,0,0,0,0,[]
14,20,24,33,43,44,51,69,79,57,70,30,20,55,22,65,57,78,73,85,80,0,0,0,0,[]
15,22,28,33,43,44,51,68,78,57,70,30,20,47,24,65,57,78,73,84,79,0,0,0,0,[]
16,24,30,31,52,41,44,67,79,57,70,29,19,46,24,64,57,77,73,80,78,0,0,0,0,[]
17,23,23,35,62,43,37,70,82,61,77,27,16,46,24,64,52,76,78,81,79,0,0,0,0,[]
18,16,16,44,70,43,45,73,85,72,84,18,10,46,24,52,50,81,82,82,85,0,0,0,0,[]
19,15,21,49,74,46,51,78,88,79,88,15,15,50,25,52,50,84,82,83,85,0,0,0,0,[]
20,15,17,48,75,46,51,81,88,82,86,16,14,52,26,53,50,85,81,86,83,0,0,0,0,[]
21,15,18,48,73,47,50,81,86,84,86,15,14,54,30,51,49,86,83,87,84,0,0,0,0,[]
22,13,17,48,77,46,51,81,86,82,86,16,14,63,38,52,47,86,80,88,83,0,0,0,0,[]
23,14,18,55,83,47,52,81,84,82,85,14,14,67,47,51,47,86,80,88,83,0,0,0,0,[]
24,14,20,55,84,46,49,80,83,81,83,15,16,75,54,51,47,87,81,88,84,0,0,0,0,[]
25,11,20,55,84,47,50,78,85,79,86,17,20,76,58,54,46,86,80,87,85,0,0,0,0,[]
26,12,19,54,85,49,48,79,84,80,86,14,17,76,59,55,45,86,82,87,83,0,0,0,0,[]
27,12,20,52,84,52,50,77,88,81,87,15,17,77,56,53,45,84,83,82,81,0,0,0,0,[]
28,12,20,50,82,54,44,76,88,78,89,12,17,84,58,60,41,85,85,83,83,0,0,0,0,[]
29,14,17,46,74,53,47,75,90,77,87,15,15,84,58,60,44,84,85,78,87,0,0,0,0,[]
30,11,23,39,66,51,47,75,90,73,88,13,18,84,59,57,44,80,85,80,83,0,0,0,0,[]
