,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,SNBiubiu, ,SNH4cker, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,95,4,97,2,98,1,97,2,95,93,5,95,5,95,2,97,3,93,3,2500,0,2500,0,[]
2,3,94,4,97,5,96,4,97,5,96,93,4,93,5,93,5,95,6,93,5,2500,0,2500,0,[]
3,2,94,5,96,5,96,5,97,5,96,92,4,92,5,93,6,95,6,93,5,2500,0,2500,0,[]
4,14,74,18,77,20,80,26,93,25,85,69,7,72,17,79,22,84,26,87,27,2500,0,2500,0,[]
5,19,52,32,59,35,63,48,90,42,70,47,11,54,31,63,38,80,48,90,50,2500,0,2500,0,[]
6,22,33,33,41,45,53,68,82,58,63,30,21,48,33,52,50,74,66,89,73,2500,0,2500,0,[]
7,19,24,34,39,45,54,72,77,60,73,30,19,54,32,59,56,75,69,89,81,2500,0,2500,0,[]
8,19,24,36,38,44,50,69,81,68,79,30,19,54,32,64,57,72,70,85,79,2500,0,2500,0,[]
9,18,24,44,36,42,41,65,82,68,81,30,20,89,6,64,57,73,71,84,79,2500,0,2500,0,[]
10,19,24,36,38,42,38,65,82,68,81,29,20,79,12,64,57,72,69,84,79,2500,0,2500,0,[]
11,19,24,32,43,44,49,61,85,68,81,29,23,70,18,64,57,72,69,84,79,2500,0,2500,0,[]
12,19,24,34,43,47,59,62,85,68,81,28,21,70,26,65,57,73,69,83,78,2500,0,2500,0,[]
13,18,24,32,44,49,61,62,84,68,81,28,21,75,34,64,57,76,69,83,78,2500,0,2500,0,[]
14,19,24,32,53,47,59,62,84,68,81,27,21,80,44,64,57,76,67,76,69,2500,0,2500,0,[]
15,14,21,38,64,44,56,57,84,68,80,20,24,74,53,64,57,75,68,74,56,2500,0,2500,0,[]
16,9,22,47,72,45,55,50,79,63,78,20,26,74,55,60,50,76,57,75,52,2500,0,2500,0,[]
17,9,15,49,74,44,53,52,76,52,76,25,22,73,55,54,42,75,57,75,53,2500,0,2500,0,[]
18,10,14,50,74,46,52,51,77,52,75,24,13,73,55,49,49,74,57,74,53,2500,0,2500,0,[]
19,10,14,50,75,47,51,50,80,55,77,16,9,74,52,52,50,75,58,75,56,2621,0,2500,0,[]
20,12,13,50,79,44,52,58,85,65,79,19,14,77,52,48,50,75,67,76,67,2621,0,2684,0,[]
21,13,14,55,88,44,55,68,88,74,86,19,14,77,49,47,48,80,76,81,77,2663,0,2726,0,[]
22,13,17,66,91,40,57,78,86,81,89,16,12,72,45,47,49,83,83,85,84,2811,0,2925,0,[]
23,12,20,76,93,44,55,81,86,84,87,13,14,72,42,50,47,87,81,87,84,2904,0,3014,0,[]
24,12,20,85,88,47,54,79,85,84,87,12,14,68,40,48,51,84,81,86,81,3532,0,3110,0,[]
25,11,20,85,78,45,54,85,81,86,82,13,15,65,39,49,49,85,79,89,76,3632,0,3243,0,"['2:4 VGSouthwind(瓦洛兰之盾) 击杀了 SNSmlz(琴瑟仙女),获得一血']"
26,10,17,77,74,46,53,83,81,82,79,16,17,55,32,51,48,95,4,88,74,3723,0,3319,0,[]
27,11,19,71,69,46,52,81,81,84,81,15,20,49,33,51,49,91,69,88,76,3830,0,3382,0,[]
28,6,25,62,62,44,52,82,81,87,83,8,21,52,27,48,52,87,76,88,77,3957,0,3493,0,[]
29,11,24,52,61,45,52,82,79,83,79,11,19,52,29,49,48,89,74,90,76,4057,0,3559,0,[]
30,8,24,49,65,48,53,86,77,89,78,11,18,52,30,48,49,90,70,91,72,4120,0,3787,0,[]
31,10,24,45,66,47,53,91,77,89,76,12,18,54,31,52,47,89,69,93,71,4266,0,3960,0,[]
32,10,24,44,67,51,50,87,77,86,78,12,16,51,33,59,42,90,75,89,71,4416,0,4078,0,[]
33,8,22,39,65,48,53,86,78,86,79,15,21,47,35,53,44,91,74,88,73,4530,0,4195,0,[]
34,9,23,31,57,46,53,87,76,88,78,15,21,41,40,50,48,92,73,91,72,4576,0,4294,0,[]
35,9,25,24,46,46,54,90,76,89,76,13,22,40,44,48,48,89,69,89,71,4818,0,4418,0,[]
36,8,30,22,47,44,53,86,75,88,77,12,22,32,44,49,48,90,71,92,74,4943,0,4604,0,[]
37,9,27,20,50,46,52,84,81,87,82,13,22,24,50,51,46,87,73,91,74,5152,0,4716,0,[]
38,8,27,11,50,48,49,85,83,86,85,18,24,20,47,51,45,87,77,89,79,5283,0,4778,0,[]
39,7,27,11,61,47,53,81,83,84,84,10,22,15,42,51,46,88,80,88,81,5418,0,4914,0,[]
40,7,30,24,67,49,53,80,85,81,85,10,24,16,44,52,46,83,81,86,85,5513,0,5147,0,[]
41,6,28,36,66,50,52,81,84,82,85,10,25,22,42,50,46,86,78,87,84,5612,0,5247,0,[]
42,7,28,48,66,50,52,80,83,82,85,13,18,27,36,51,46,86,80,86,82,5693,0,5314,0,[]
43,8,26,59,63,52,51,82,82,84,85,7,19,31,36,53,44,87,81,88,81,5793,0,5410,0,[]
44,9,22,63,61,52,52,79,84,81,85,13,16,38,37,54,44,88,81,88,81,5879,0,5567,0,[]
45,9,22,68,66,52,50,80,87,77,86,10,16,41,27,53,46,83,82,86,80,6050,0,5692,0,[]
46,9,23,68,68,51,52,79,87,73,86,11,15,42,17,52,43,84,78,83,79,6157,0,5808,0,[]
47,9,22,68,68,53,49,79,88,73,86,16,18,42,16,55,42,82,79,83,79,6210,0,6032,0,[]
48,8,21,8,94,51,49,78,89,7,94,15,20,42,17,53,45,80,80,79,79,6281,0,6174,0,[]
49,8,24,20,86,47,51,74,89,17,89,12,18,44,15,52,46,81,85,82,81,6374,0,6311,0,[]
50,9,23,29,80,47,51,73,89,27,84,11,17,44,14,53,45,82,83,82,87,6462,0,6456,0,[]
51,10,22,39,76,49,51,73,88,35,77,15,19,44,14,54,46,83,87,82,86,6568,0,6605,0,[]
