,SNBiubiu, ,SNH4cker, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,96,1,95,94,4,95,5,95,2,97,3,93,4,2500,0,2500,0,[]
2,4,95,4,96,4,95,5,96,3,94,93,4,93,6,94,6,93,5,92,4,2500,0,2500,0,[]
3,4,95,5,96,4,94,5,96,3,94,92,6,93,6,93,6,93,7,92,5,2500,0,2500,0,[]
4,14,75,28,94,22,81,28,93,23,84,71,15,79,24,79,24,83,27,80,23,2500,0,2500,0,[]
5,18,54,51,92,39,67,50,89,41,71,54,31,62,40,63,40,80,48,66,40,2500,0,2500,0,[]
6,33,43,74,89,52,64,68,80,56,67,52,32,63,52,55,53,79,67,64,57,2500,0,2500,0,[]
7,32,46,85,87,53,65,73,76,63,76,60,38,65,56,54,58,78,64,64,57,2500,0,2500,0,[]
8,41,53,83,80,53,65,72,78,67,79,66,45,65,56,58,55,70,65,64,57,2500,0,2500,0,[]
9,49,60,78,73,58,70,73,76,69,79,67,50,66,51,55,51,69,64,64,57,2500,0,2500,0,[]
10,56,68,78,73,66,77,72,77,70,79,67,47,66,48,65,50,66,55,67,49,2500,0,2500,0,[]
11,63,76,78,74,77,76,73,76,73,76,67,48,66,49,67,51,66,55,71,50,2500,0,2500,0,[]
12,73,75,76,67,76,67,74,69,75,67,66,47,66,47,67,48,66,47,67,48,2500,0,2500,0,[]
13,74,64,77,59,78,59,77,60,77,59,67,47,66,47,67,48,66,47,67,48,2500,0,2500,0,[]
14,67,64,77,50,75,57,76,56,78,51,67,47,66,47,67,48,66,47,67,48,2520,0,2505,0,[]
15,59,60,72,50,74,59,75,53,75,56,72,48,71,49,71,49,69,48,71,49,2520,0,3049,0,"['1:15 VGIan(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË SNH4cker(¿ñÕ½Ê¿),»ñµÃÒ»Ñª']"
16,50,54,72,50,65,63,75,64,75,67,65,41,77,52,65,56,77,50,77,53,2520,0,3069,0,[]
