,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,96,4,97,2,98,1,96,2,95,93,5,95,5,95,2,96,4,93,4,2500,0,2500,0,[]
2,4,96,3,94,3,95,5,96,4,95,93,5,93,5,93,5,93,6,95,6,2500,0,2500,0,[]
3,3,95,3,94,3,95,5,96,4,95,92,4,92,5,93,5,94,6,95,6,2500,0,2500,0,[]
4,16,76,19,76,18,78,26,93,24,83,70,7,72,17,76,20,84,26,81,23,2500,0,2500,0,[]
5,18,53,31,58,35,62,48,90,43,70,47,11,54,31,60,36,80,48,66,40,2500,0,2500,0,[]
6,23,34,34,43,45,52,68,82,51,66,30,18,46,36,51,48,75,66,64,58,2500,0,2500,0,[]
7,29,36,34,43,45,51,60,76,50,66,30,21,49,34,52,48,75,67,63,58,2500,0,2500,0,[]
8,23,32,34,43,44,53,50,74,50,66,30,21,49,34,52,47,73,64,62,58,2500,0,2500,0,[]
9,20,28,34,43,45,52,45,68,50,67,30,20,86,8,51,47,72,65,63,58,2500,0,2500,0,[]
10,21,29,34,43,41,51,44,68,49,67,30,21,76,13,52,49,73,64,63,59,2500,0,2500,0,[]
11,28,38,34,43,44,53,45,68,50,67,30,20,66,19,52,48,71,63,64,58,2500,0,2500,0,[]
12,29,38,33,43,45,52,50,75,50,67,30,22,58,27,57,45,74,64,63,58,2500,0,2500,0,[]
13,33,39,37,41,35,48,52,76,50,67,34,23,51,27,57,48,73,64,64,59,2510,0,2500,0,[]
14,34,38,33,43,33,43,52,76,50,67,45,23,45,24,50,41,70,62,64,59,2510,0,2500,0,[]
15,23,37,31,54,39,50,54,76,50,67,45,23,46,24,50,41,79,64,71,63,2510,0,2500,0,[]
16,15,34,37,63,47,55,54,76,57,69,44,23,45,24,55,41,87,66,80,66,2510,0,2500,0,[]
17,11,27,45,71,50,60,54,76,57,69,44,24,46,24,55,45,87,66,83,60,2510,0,2500,0,[]
18,9,26,51,73,48,55,53,76,52,76,47,24,46,26,51,48,87,68,81,56,2510,0,2500,0,[]
19,14,17,50,74,48,52,56,76,52,76,48,23,46,24,53,49,86,75,86,66,2510,0,2500,0,[]
20,13,17,49,78,46,50,66,79,63,78,42,16,46,23,52,50,84,78,86,76,2673,0,2642,0,[]
21,14,17,55,82,47,50,74,86,72,84,32,16,50,25,54,50,84,79,83,79,2673,0,2642,0,[]
22,16,18,54,83,47,53,82,86,79,85,22,12,52,32,52,49,84,81,86,80,2903,0,2745,0,[]
23,15,15,53,84,49,53,78,86,82,87,17,11,54,31,52,47,84,81,86,83,3003,0,2886,0,[]
24,17,12,52,85,48,56,78,90,77,91,23,8,53,31,51,49,81,85,85,88,3124,0,3009,0,[]
25,15,14,52,84,49,52,74,89,74,88,20,11,52,28,54,48,80,87,80,88,3268,0,3081,0,[]
26,14,15,51,83,46,52,75,88,74,88,18,12,47,17,52,49,79,87,81,88,3430,0,3157,0,[]
27,17,15,46,73,47,53,73,91,72,89,20,12,43,17,53,49,80,87,80,88,3483,0,3209,0,[]
28,15,17,38,64,49,52,73,91,70,89,20,11,44,15,54,46,77,88,78,88,3615,0,3368,0,[]
29,15,15,31,56,45,45,68,94,69,90,25,16,45,15,55,45,75,88,75,90,3737,0,3471,0,[]
30,19,20,24,47,49,46,69,91,71,91,25,10,41,16,53,48,83,81,80,81,3827,0,3594,0,[]
31,19,18,23,46,48,50,74,92,72,89,25,8,39,15,54,44,82,80,81,80,3907,0,3749,0,[]
32,18,11,23,46,49,49,81,87,77,88,24,9,49,17,55,46,83,81,84,82,4022,0,3850,0,[]
33,18,12,20,45,49,48,79,85,80,89,22,10,57,26,57,45,85,83,86,83,4280,0,3922,0,[]
34,17,11,16,44,51,46,80,87,79,88,21,8,63,36,57,44,84,82,85,84,4395,0,4015,0,[]
35,19,12,16,45,52,46,79,87,81,89,23,9,68,46,57,45,83,82,85,84,4517,0,4135,0,[]
36,19,10,15,44,51,47,75,90,78,89,24,9,75,52,55,46,82,84,85,87,4690,0,4235,0,[]
37,16,11,20,51,50,47,75,90,76,88,23,10,76,55,57,45,83,83,84,85,4827,0,4305,0,[]
38,18,13,24,56,49,47,77,88,76,87,23,10,74,58,57,47,82,85,84,86,4977,0,4519,0,[]
39,18,13,27,59,50,46,78,87,80,90,22,9,74,61,56,45,83,83,85,85,5180,0,4711,0,[]
40,20,10,32,61,51,46,78,86,79,89,25,9,68,63,58,41,83,83,85,84,5356,0,4797,0,[]
41,20,11,40,66,50,48,81,85,80,88,26,8,73,67,56,46,85,84,85,85,5467,0,5037,0,[]
