,WE957, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,96,4,98,2,99,4,95,1,95,94,5,96,5,95,3,97,3,93,3,2500,0,2500,0,[]
2,3,94,4,95,4,95,4,95,5,96,93,5,92,4,93,5,93,5,92,4,2500,0,2500,0,[]
3,4,91,7,93,7,93,6,95,8,94,90,6,88,5,89,6,92,8,89,5,2500,0,2500,0,[]
4,15,70,20,77,24,78,26,85,30,89,67,11,69,14,66,10,82,29,69,7,2500,0,2500,0,[]
5,21,48,31,58,38,60,42,70,53,87,44,13,53,32,54,19,79,50,45,8,2500,0,2500,0,[]
6,25,36,34,41,48,51,52,65,70,79,29,22,43,36,41,32,69,62,23,9,2500,0,2500,0,[]
7,26,36,34,39,46,53,48,65,73,76,29,21,44,35,41,32,70,62,12,11,2500,0,2500,0,[]
8,25,37,35,39,49,47,52,67,63,76,23,28,43,34,40,34,71,62,14,21,2500,0,2500,0,[]
9,24,36,33,38,44,47,56,68,68,78,20,27,42,32,46,35,72,63,23,23,2500,0,2500,0,[]
10,20,35,36,39,46,49,53,67,68,78,20,27,41,31,52,44,71,62,34,24,2500,0,2500,0,[]
11,24,36,35,39,45,53,49,65,68,78,19,24,41,31,53,48,70,62,41,32,2500,0,2500,0,[]
12,25,36,35,39,38,50,52,64,69,78,19,23,41,32,51,49,70,62,50,40,2500,0,2500,0,[]
13,24,35,34,41,33,43,52,64,68,78,24,23,41,31,50,49,72,63,59,47,2500,0,2500,0,[]
14,24,34,31,51,34,43,50,65,68,78,23,23,41,30,53,48,70,62,66,55,2500,0,2500,0,[]
15,24,34,34,61,34,43,52,64,68,79,24,23,41,31,48,53,69,63,62,61,2500,0,2500,0,[]
16,22,31,43,69,34,42,50,67,63,76,27,19,41,30,48,55,67,63,61,61,2500,0,2500,0,[]
17,20,22,47,73,36,49,48,73,57,69,21,9,46,24,52,46,74,69,70,67,2500,0,2500,0,[]
18,20,21,50,74,39,54,51,76,53,76,11,12,46,25,50,50,81,78,71,77,2500,0,2500,0,[]
19,10,18,50,76,46,54,52,78,51,77,10,13,46,24,49,48,81,86,69,79,2500,0,2521,0,[]
20,10,17,49,77,45,53,62,78,61,77,10,14,46,24,50,50,83,87,69,79,2521,0,2563,0,[]
21,12,15,49,79,46,54,70,82,71,83,19,14,48,22,49,49,83,87,77,80,2642,0,2677,0,[]
22,11,15,54,83,46,54,76,90,79,90,16,16,43,17,47,50,84,85,83,84,2793,0,2865,0,[]
23,14,18,52,85,42,56,79,90,80,89,16,14,43,16,45,51,81,84,81,82,2910,0,2971,0,[]
24,15,16,51,84,44,55,77,89,77,89,22,10,43,16,47,52,82,85,84,88,3006,0,3120,0,[]
25,16,15,52,84,45,56,78,89,75,87,21,12,44,15,47,53,81,84,83,86,3158,0,3243,0,[]
26,15,12,55,82,43,57,76,88,75,90,23,13,45,16,45,54,79,85,81,91,3223,0,3407,0,[]
27,16,16,56,83,40,58,78,89,79,88,21,10,49,20,46,51,83,83,84,84,3382,0,3483,0,[]
28,16,13,51,84,43,54,77,90,79,89,22,12,51,32,55,49,82,83,83,85,3558,0,3596,0,[]
29,17,13,47,75,41,55,75,89,76,87,25,11,50,35,51,45,80,84,81,90,3651,0,3702,0,[]
30,20,15,46,65,46,52,74,90,72,89,24,10,49,34,51,46,79,86,80,89,3744,0,3797,0,[]
31,18,13,43,69,51,51,74,91,74,92,25,8,47,35,53,46,78,86,78,88,3906,0,3986,0,[]
32,18,12,43,68,53,46,77,91,77,91,23,10,41,40,53,46,77,85,80,86,4065,0,4076,0,[]
33,18,14,47,66,52,55,76,91,78,92,22,10,42,46,50,48,78,85,79,88,4207,0,4176,0,[]
34,19,12,47,59,49,53,73,90,74,92,24,8,37,41,50,47,78,87,80,89,4356,0,4318,0,[]
35,15,18,39,52,49,49,72,89,72,93,21,10,29,37,53,44,76,91,78,90,4428,0,4509,0,[]
36,16,17,32,44,50,51,72,91,73,93,23,11,35,42,53,45,78,85,77,80,4561,0,4680,0,[]
37,16,14,39,38,51,49,70,90,71,92,21,11,46,36,52,46,76,90,75,89,4699,0,4777,0,[]
38,16,14,30,37,52,49,73,89,73,91,18,13,57,33,53,45,79,88,78,88,4771,0,4988,0,[]
39,15,17,28,35,53,50,75,90,74,87,20,12,66,41,54,46,80,86,80,89,4850,0,5123,0,[]
40,14,17,29,38,49,50,75,93,76,92,19,12,66,52,53,45,78,87,76,87,4964,0,5223,0,[]
41,13,16,26,35,45,55,73,90,75,93,18,11,69,63,50,51,77,89,76,87,5127,0,5301,0,[]
42,13,17,25,46,43,54,72,92,73,92,17,13,73,67,49,51,78,89,77,88,5232,0,5398,0,[]
43,10,21,22,43,45,52,73,90,71,86,23,14,68,66,51,51,77,88,78,88,5332,0,5526,0,[]
44,10,20,21,41,44,53,75,91,73,87,22,14,58,61,49,51,79,86,80,85,5569,0,5613,0,[]
45,10,21,23,38,44,53,78,91,80,91,13,15,53,58,49,53,78,84,80,87,5620,0,5710,0,[]
46,10,20,20,28,46,52,75,92,77,92,13,15,62,57,50,49,79,86,80,89,5783,0,5897,0,[]
47,16,14,19,15,48,52,76,88,77,86,19,10,74,55,53,43,82,86,83,88,5863,0,5962,0,[]
48,18,9,22,8,47,50,75,90,78,90,25,7,74,54,56,41,79,83,82,86,6033,0,6040,0,[]
49,11,18,19,19,48,49,76,91,77,92,29,8,78,55,53,46,80,86,82,88,6217,0,6191,0,[]
50,16,20,21,30,47,46,77,90,77,91,29,8,83,56,53,45,80,85,82,91,6317,0,6284,0,[]
51,14,20,15,40,46,43,76,89,78,92,90,4,83,56,58,42,80,85,83,90,6414,0,6430,0,[]
52,12,18,15,43,46,43,76,88,76,90,78,6,80,54,57,42,81,87,81,90,6522,0,6692,0,[]
53,12,16,18,45,3,93,76,90,75,87,17,14,75,47,56,47,81,87,81,91,6659,0,6834,0,[]
54,12,21,25,56,10,84,74,92,71,90,15,15,73,44,50,49,77,86,79,82,6773,0,7011,0,[]
55,10,20,24,57,19,77,73,92,71,89,14,17,73,42,49,50,77,86,69,79,6866,0,7231,0,[]
56,11,20,23,57,27,69,75,92,71,88,15,20,73,42,54,47,79,86,78,82,7126,0,7349,0,[]
57,8,22,23,57,35,62,73,90,61,85,16,20,95,4,54,47,78,86,80,89,7220,0,7484,0,[]
58,7,23,2,96,41,55,74,93,69,89,13,21,81,6,95,4,77,87,81,91,7334,0,7604,0,[]
59,9,25,7,94,45,52,71,94,72,93,12,20,69,7,85,9,75,89,80,91,7448,0,7655,0,[]
60,6,29,15,92,45,45,71,93,69,90,20,27,58,9,77,18,74,89,75,90,7688,0,7706,0,[]
61,5,28,25,92,46,48,73,91,71,86,18,25,47,12,70,28,78,87,80,87,7743,0,7761,0,[]
62,5,28,37,91,48,48,78,90,69,79,10,22,44,15,62,37,81,83,78,76,7837,0,7874,0,[]
63,2,96,48,90,46,51,80,88,70,79,13,21,46,15,53,44,79,83,78,73,7905,0,8098,0,[]
64,7,30,55,83,47,50,78,90,69,78,15,20,45,16,52,46,80,82,78,73,8015,0,8246,0,[]
65,8,28,55,84,45,51,76,88,2,96,8,16,43,15,52,46,81,84,90,13,8142,0,8384,0,[]
66,8,27,54,84,44,49,75,89,13,94,8,16,38,17,50,48,82,80,82,21,8318,0,8463,0,[]
67,11,28,51,84,47,54,72,87,24,92,15,18,49,25,48,49,82,78,74,28,8428,0,8560,0,[]
68,7,20,51,83,44,54,74,88,27,82,16,16,52,35,50,49,95,4,67,37,8580,0,8714,0,[]
69,8,18,49,79,44,54,75,90,32,74,15,16,53,33,50,52,95,14,66,48,8683,0,8882,0,[]
70,7,22,46,68,41,58,75,90,41,70,14,16,55,30,56,57,94,22,64,59,8842,0,9030,0,[]
71,9,22,46,64,43,56,76,91,47,73,11,16,58,34,53,64,80,84,57,67,8997,0,9121,0,[]
72,10,20,47,66,44,56,75,92,55,75,14,18,64,44,50,65,77,85,53,65,9076,0,9360,0,[]
73,8,22,49,66,48,56,77,92,57,70,13,21,66,56,57,59,78,84,61,63,9250,0,9477,0,[]
74,10,21,42,68,46,52,76,92,65,78,14,21,67,62,54,53,80,86,70,68,9381,0,9647,0,[]
75,8,23,42,77,47,54,73,89,72,87,11,20,67,70,51,48,77,89,78,75,9517,0,9801,0,[]
76,10,23,56,75,47,51,75,92,75,93,12,19,68,67,52,50,80,87,79,84,9582,0,10034,0,[]
77,6,27,56,67,49,52,71,93,69,90,17,22,60,62,52,45,75,89,76,88,9728,0,10089,0,[]
78,7,28,56,59,50,52,69,91,68,88,17,22,65,57,56,47,74,92,75,89,9920,0,10139,0,[]
79,9,25,62,62,51,48,70,89,70,89,90,4,66,55,55,46,74,93,76,90,10064,0,10350,0,[]
80,11,20,58,62,52,55,78,90,77,91,77,5,73,49,58,41,83,90,82,88,10136,0,10422,0,[]
81,12,19,57,73,44,48,77,91,77,88,64,6,82,55,57,43,83,85,83,87,10208,0,10647,0,[]
