,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,1,95,0,97,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,2,95,1,97,93,5,95,5,95,2,97,3,94,3,0,0,0,0,[]
2,2,97,2,96,5,96,4,95,3,96,94,4,93,5,93,4,93,5,95,6,0,0,0,0,[]
3,3,94,3,95,5,96,5,95,5,96,93,5,93,5,93,5,93,6,95,6,0,0,0,0,[]
4,13,75,16,78,22,81,23,81,25,93,70,7,80,20,76,20,84,25,95,6,0,0,0,0,[]
5,18,53,32,61,37,64,42,70,48,90,48,11,89,41,80,40,80,47,85,18,0,0,0,0,[]
6,26,35,34,43,46,53,47,68,63,82,28,20,89,63,73,62,74,66,69,34,0,0,0,0,[]
7,23,33,35,39,46,53,44,69,51,84,23,26,86,75,62,62,69,67,66,55,0,0,0,0,[]
8,23,29,35,39,45,54,47,67,47,73,30,22,79,82,68,67,72,69,62,61,0,0,0,0,[]
9,25,32,35,39,42,55,49,66,49,67,40,26,76,79,71,69,73,71,62,62,0,0,0,0,[]
10,23,33,35,39,43,55,50,67,50,67,43,34,79,74,70,68,73,69,62,62,0,0,0,0,[]
11,27,35,35,39,42,55,50,67,50,67,42,32,71,67,67,66,73,69,62,62,0,0,0,0,[]
12,28,36,35,39,45,53,47,76,49,66,42,32,63,62,67,73,72,68,62,62,0,0,0,0,[]
13,35,39,35,39,43,51,53,84,48,74,41,31,63,61,71,65,71,67,64,61,0,0,0,0,[]
14,34,39,35,39,43,44,61,85,52,84,42,32,64,61,66,58,70,66,63,61,0,0,0,0,[]
15,31,40,33,43,43,47,67,88,63,87,40,29,62,63,62,61,68,67,61,62,0,0,0,0,[]
16,35,41,37,40,42,56,69,90,69,90,31,22,55,65,54,62,58,63,53,62,0,0,0,0,[]
17,44,34,44,34,42,55,73,90,72,91,29,20,57,69,55,63,57,68,53,67,0,0,0,0,[]
18,42,25,43,25,42,55,75,92,72,89,26,14,47,69,53,55,48,68,47,70,0,0,0,0,[]
19,47,25,46,25,44,51,80,91,81,91,19,15,51,74,48,53,49,76,51,75,0,0,0,0,[]
20,36,23,46,24,47,53,82,90,81,91,17,14,53,76,51,53,55,75,52,76,0,0,0,0,[]
21,25,22,46,24,43,54,82,90,81,90,16,13,52,76,50,51,64,77,61,77,0,0,0,0,[]
22,15,19,48,24,40,56,83,86,78,85,15,13,47,71,46,53,74,78,71,78,0,0,0,0,[]
23,12,19,52,34,40,55,82,86,79,87,14,15,46,64,47,54,84,80,81,80,0,0,0,0,[]
24,10,21,53,32,45,54,82,86,79,86,15,19,49,67,47,54,86,80,88,84,0,0,0,0,[]
25,9,25,53,32,41,57,79,86,78,86,12,22,47,69,49,52,86,81,87,84,0,0,0,0,[]
26,9,25,51,28,41,57,81,86,79,86,11,21,49,80,47,55,85,80,86,85,0,0,0,0,[]
27,9,26,48,18,40,57,75,88,74,87,10,21,56,83,47,54,81,85,80,89,0,0,0,0,[]
28,9,24,42,19,39,58,73,91,74,89,12,20,58,83,45,56,78,87,79,89,0,0,0,0,[]
29,9,27,41,18,41,57,75,90,73,88,12,23,58,83,45,55,81,83,83,88,0,0,0,0,[]
30,6,29,39,17,40,55,74,90,73,90,10,27,60,85,46,53,81,84,81,88,0,0,0,0,[]
31,6,28,39,16,40,56,74,90,74,89,9,24,60,85,45,53,80,83,82,90,0,0,0,0,[]
32,7,28,40,17,40,56,74,90,74,89,9,24,62,84,47,54,78,84,82,90,0,0,0,0,[]
33,8,25,38,15,41,55,73,91,72,89,9,23,62,84,49,52,80,85,78,88,0,0,0,0,[]
34,11,26,38,15,52,50,70,91,70,94,11,19,62,85,51,50,75,87,76,87,0,0,0,0,[]
35,10,27,5,96,41,55,69,92,70,94,12,23,66,90,53,49,69,90,71,92,0,0,0,0,[]
36,9,24,18,94,70,91,69,91,66,92,11,23,77,90,52,48,75,88,78,92,0,0,0,0,[]
37,11,25,24,85,70,90,68,89,68,91,12,20,78,80,54,46,85,84,85,85,0,0,0,0,[]
38,9,24,27,74,72,90,71,89,71,91,15,18,74,70,53,48,87,84,87,85,0,0,0,0,[]
39,10,23,31,64,75,89,74,89,74,90,14,19,67,64,51,46,95,4,95,4,0,0,0,0,[]
40,12,24,31,53,75,87,75,87,71,89,13,16,70,65,53,45,94,15,93,11,0,0,0,0,[]
41,12,23,32,42,75,87,75,87,71,89,12,19,65,64,54,42,92,26,93,22,0,0,0,0,[]
42,13,18,28,36,4,95,6,95,3,96,16,12,63,59,53,43,91,38,92,32,0,0,0,0,[]
43,12,19,26,34,11,91,8,94,9,94,16,10,71,54,54,44,91,50,91,43,0,0,0,0,[]
44,15,17,24,43,18,82,8,95,20,93,16,9,76,52,55,44,90,61,90,54,0,0,0,0,[]
45,16,14,22,46,27,74,12,94,31,92,20,10,77,52,56,43,87,72,88,64,0,0,0,0,[]
46,15,13,20,45,34,65,24,90,42,92,23,12,78,51,56,45,85,78,80,65,0,0,0,0,[]
47,15,10,19,45,41,56,36,88,52,89,24,11,76,46,54,46,87,77,75,61,0,0,0,0,[]
48,15,10,16,44,44,50,45,81,62,91,29,8,75,44,54,48,86,77,63,62,0,0,0,0,[]
49,4,88,15,43,44,51,51,83,71,86,26,9,72,48,51,51,85,78,58,65,0,0,0,0,[]
50,6,76,19,48,45,52,62,87,75,87,25,8,63,57,52,49,86,78,54,55,0,0,0,0,[]
51,7,65,25,57,41,53,73,87,82,83,24,11,58,59,47,54,89,78,50,55,0,0,0,0,[]
52,8,54,27,60,39,55,83,82,86,83,24,12,56,58,50,53,88,77,49,55,0,0,0,0,[]
53,9,42,31,60,40,55,83,83,83,85,24,11,56,58,54,57,89,78,58,59,0,0,0,0,[]
54,11,31,41,66,45,53,81,86,79,86,23,8,93,9,54,57,86,79,68,64,0,0,0,0,[]
55,15,21,51,67,47,51,79,87,78,87,19,9,85,18,88,8,80,78,79,64,0,0,0,0,[]
56,21,21,57,67,53,58,81,87,79,87,19,11,76,25,79,16,82,82,87,68,0,0,0,0,[]
57,17,16,49,65,54,58,79,89,78,88,15,11,66,30,71,25,85,84,85,79,0,0,0,0,[]
58,18,14,47,64,3,96,74,87,75,89,19,9,53,33,64,35,83,88,82,84,0,0,0,0,[]
59,17,16,51,65,12,89,76,89,76,89,16,12,52,30,57,44,84,80,81,79,0,0,0,0,[]
60,17,19,58,70,20,80,75,89,73,89,14,13,44,23,50,42,86,86,83,86,0,0,0,0,[]
61,12,24,55,81,29,72,72,88,72,88,13,21,32,22,48,45,81,81,80,81,0,0,0,0,[]
62,10,23,56,82,36,63,74,90,75,89,16,20,26,23,47,45,82,86,80,84,0,0,0,0,[]
63,9,24,55,83,46,57,74,89,71,88,15,20,31,18,51,46,80,85,79,86,0,0,0,0,[]
64,11,25,57,82,52,49,73,89,72,87,12,19,41,17,52,45,79,85,80,88,0,0,0,0,[]
65,10,25,61,83,47,51,74,90,72,89,12,23,44,16,53,46,80,86,81,89,0,0,0,0,[]
66,6,27,65,82,47,55,75,89,74,90,15,21,44,16,52,46,74,78,80,79,0,0,0,0,[]
67,8,25,65,82,51,59,75,91,74,91,14,22,46,16,51,46,81,84,80,82,0,0,0,0,[]
68,6,25,5,91,47,53,74,89,75,89,9,22,51,24,51,47,80,87,78,90,0,0,0,0,[]
69,9,23,10,84,45,53,74,88,72,90,11,18,58,34,51,50,80,90,78,87,0,0,0,0,[]
70,9,24,19,75,45,54,73,91,73,89,11,19,66,41,52,48,78,90,76,86,0,0,0,0,[]
71,8,24,28,67,42,56,72,91,73,90,10,19,74,49,53,51,77,88,74,89,0,0,0,0,[]
72,8,24,31,56,45,53,70,91,68,91,14,18,83,56,50,51,77,87,76,87,0,0,0,0,[]
73,10,24,32,44,45,52,72,90,68,93,8,17,82,57,51,49,79,81,80,85,0,0,0,0,[]
74,11,24,43,43,46,51,68,92,68,93,8,19,79,55,54,51,76,89,75,89,0,0,0,0,[]
75,10,24,43,43,47,50,70,90,2,96,8,20,72,64,62,61,78,86,75,88,0,0,0,0,[]
76,7,25,43,35,52,55,70,90,70,91,11,23,71,67,64,64,85,88,78,86,0,0,0,0,[]
77,9,24,36,25,50,55,71,90,70,91,14,21,66,66,65,68,85,88,76,76,0,0,0,0,[]
78,14,18,27,17,44,56,74,89,71,88,20,13,65,62,62,62,94,7,70,67,0,0,0,0,[]
79,20,11,22,7,45,55,81,89,76,87,28,6,53,64,52,57,93,12,58,63,0,0,0,0,[]
80,16,16,19,18,40,56,86,84,83,83,32,8,54,66,47,56,92,23,56,61,0,0,0,0,[]
81,14,18,28,21,43,55,85,83,84,88,32,8,55,76,45,57,91,35,57,69,0,0,0,0,[]
82,16,18,40,23,46,54,83,86,84,88,95,4,47,71,48,57,90,47,52,63,0,0,0,0,[]
83,24,22,45,24,43,57,81,90,4,95,27,9,47,72,50,59,90,58,51,60,0,0,0,0,[]
84,30,22,44,23,46,51,81,90,12,93,18,10,47,73,57,56,90,69,57,69,0,0,0,0,[]
85,30,22,43,24,45,52,7,94,22,90,21,8,48,68,53,49,87,74,57,69,0,0,0,0,[]
86,2,96,40,17,44,53,15,94,34,90,22,9,57,61,53,47,85,79,59,71,0,0,0,0,[]
87,20,14,29,20,46,51,27,93,45,91,23,8,63,58,54,49,85,79,67,68,0,0,0,0,[]
88,21,13,21,21,46,48,39,92,56,90,24,8,68,49,55,48,87,79,77,73,0,0,0,0,[]
89,19,14,26,32,44,45,52,90,67,88,23,10,74,42,57,48,87,85,85,80,0,0,0,0,[]
90,22,11,35,38,51,48,64,89,75,88,27,8,70,40,57,47,83,82,86,81,0,0,0,0,[]
91,22,12,46,43,53,47,76,88,79,87,27,10,66,49,58,47,88,82,87,83,0,0,0,0,[]
92,21,13,53,47,56,47,77,87,76,87,26,11,61,57,56,47,84,80,87,84,0,0,0,0,[]
93,21,11,48,49,46,46,77,88,78,88,26,11,55,49,56,47,82,81,86,83,0,0,0,0,"['7:41 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGYagao(Î´À´ÊØ»¤Õß),»ñµÃÒ»Ñª']"
94,26,12,36,50,43,45,76,88,81,88,29,10,55,43,56,47,82,81,87,84,0,0,0,0,[]
95,23,11,24,47,43,45,73,89,73,92,29,8,47,36,56,47,79,81,80,87,0,0,0,0,[]
96,19,16,15,42,8,93,74,89,73,89,32,9,53,34,56,47,70,80,81,88,0,0,0,0,[]
97,19,21,16,44,17,86,73,90,73,90,35,17,53,32,88,8,74,78,79,84,0,0,0,0,[]
98,15,17,19,47,25,77,75,90,76,90,35,12,49,22,79,16,80,86,81,88,0,0,0,0,[]
99,14,18,24,55,34,68,74,89,74,90,23,12,45,16,71,26,79,86,77,91,0,0,0,0,[]
100,15,19,24,56,42,60,73,89,72,89,17,12,42,17,63,36,79,89,78,91,0,0,0,0,[]
101,13,16,27,59,46,55,69,91,67,92,19,13,43,17,57,46,77,88,75,88,0,0,0,0,[]
102,15,17,27,59,43,54,72,91,70,88,19,13,42,17,52,50,76,77,78,79,0,0,0,0,[]
103,17,22,5,95,46,51,76,88,75,88,21,12,41,16,53,48,73,69,79,75,0,0,0,0,[]
104,18,24,16,86,45,53,84,89,79,88,21,13,39,16,54,47,80,77,81,77,0,0,0,0,[]
105,15,17,21,75,48,50,79,89,79,88,19,15,95,4,55,47,82,82,84,86,0,0,0,0,[]
106,15,15,28,66,49,49,79,87,79,86,19,11,93,8,56,46,85,80,86,85,0,0,0,0,[]
107,15,14,31,55,44,52,80,88,79,87,22,13,91,14,55,46,82,80,87,84,0,0,0,0,[]
108,17,16,32,42,44,44,79,88,79,88,20,10,85,25,54,48,83,81,86,85,0,0,0,0,[]
109,18,12,31,39,47,49,78,87,79,87,24,11,81,35,55,47,85,83,86,87,0,0,0,0,[]
110,16,12,39,38,49,49,79,88,77,88,24,12,80,47,56,45,81,82,86,85,0,0,0,0,[]
111,18,14,43,34,50,48,78,86,78,88,24,11,74,53,55,47,83,80,86,85,0,0,0,0,[]
112,17,12,50,34,45,53,77,87,77,87,21,11,75,53,54,48,80,82,84,88,0,0,0,0,[]
113,26,10,48,35,43,58,76,88,77,87,29,8,74,52,62,52,88,84,87,86,0,0,0,0,[]
114,26,11,47,35,44,53,75,88,76,87,23,7,82,56,63,61,88,84,87,86,0,0,0,0,[]
115,21,11,46,36,47,51,77,86,75,88,29,6,81,56,58,62,95,8,93,6,0,0,0,0,[]
116,22,13,40,29,46,54,77,87,77,87,28,9,73,62,53,51,93,14,87,16,0,0,0,0,[]
117,21,12,31,20,45,52,78,86,79,87,27,8,63,60,52,54,92,26,77,26,0,0,0,0,[]
118,27,14,34,10,48,50,83,85,85,79,30,6,65,69,52,43,91,37,65,26,0,0,0,0,[]
119,33,8,33,7,41,45,89,81,89,73,33,6,66,68,44,34,91,49,51,21,0,0,0,0,['9:54 TES369(º£ÑóÖ®ÔÖ) »÷É±ÁË JDGZoom(°µÒá½£Ä§)']
120,26,10,24,11,37,41,89,81,87,80,33,6,67,67,40,29,90,60,43,15,0,0,0,0,[]
121,17,9,19,21,45,50,6,95,79,88,33,6,68,63,47,39,89,70,51,20,0,0,0,0,[]
122,17,9,27,30,46,51,18,93,75,91,33,6,67,66,54,49,85,78,56,31,0,0,0,0,[]
123,21,13,34,31,44,53,23,81,75,91,33,6,67,66,53,50,85,78,51,32,0,0,0,0,['10:15 JDG »÷É±ÁË·çÁú']
124,24,13,31,35,42,55,28,71,7,94,33,6,56,64,49,52,85,78,40,32,0,0,0,0,[]
125,27,12,26,35,44,54,32,59,18,92,86,6,47,65,46,54,83,81,36,41,0,0,0,0,[]
126,26,24,27,35,47,54,31,51,28,90,72,7,51,61,47,53,83,81,43,47,0,0,0,0,['10:29 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGYagao(Î´À´ÊØ»¤Õß)']
127,27,33,29,35,53,45,50,50,39,90,57,8,56,60,47,53,79,85,57,43,0,0,0,0,[]
128,26,34,28,36,47,47,56,60,50,91,42,9,66,54,47,53,81,88,57,44,0,0,0,0,[]
129,24,33,29,34,53,57,55,67,60,90,29,10,73,43,47,53,78,83,62,51,0,0,0,0,[]
130,24,29,34,32,45,54,47,72,69,91,24,10,70,41,47,53,73,88,65,60,0,0,0,0,[]
131,20,24,26,32,44,53,51,83,68,92,23,12,65,38,47,53,77,88,74,72,0,0,0,0,[]
132,23,24,19,25,52,48,61,84,68,92,18,15,55,32,87,9,82,90,80,83,0,0,0,0,[]
133,19,19,17,21,46,50,65,88,72,91,15,17,52,34,79,19,83,89,82,91,0,0,0,0,[]
134,18,12,18,10,46,50,72,87,73,90,18,8,45,33,71,30,81,91,81,90,0,0,0,0,[]
135,22,8,21,8,6,95,72,86,72,88,24,7,36,25,61,39,83,89,81,91,0,0,0,0,[]
136,21,12,18,15,14,86,74,89,76,88,33,8,27,16,49,39,80,85,81,91,0,0,0,0,[]
137,11,14,12,21,23,78,73,88,72,87,20,15,17,17,40,30,77,86,75,89,0,0,0,0,[]
138,6,23,10,26,32,70,73,90,70,90,18,17,17,18,31,22,77,90,72,89,0,0,0,0,[]
139,7,17,7,18,36,66,73,88,75,87,22,14,27,14,41,32,79,84,78,85,0,0,0,0,[]
140,8,16,8,17,81,77,79,83,78,79,16,16,40,17,44,44,75,72,75,67,0,0,0,0,[]
141,15,15,16,16,69,78,82,83,81,84,20,13,41,16,47,51,78,63,75,58,0,0,0,0,[]
142,8,24,8,25,58,71,84,84,80,85,16,15,36,18,38,43,87,68,84,66,0,0,0,0,[]
143,7,28,5,31,50,62,85,86,82,82,13,18,27,21,26,37,87,74,87,74,0,0,0,0,[]
