,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,3,97,2,99,0,97,1,95,94,5,96,5,95,2,93,3,97,3,0,0,0,0,[]
1,3,96,4,97,2,98,1,96,2,95,94,5,95,5,95,2,93,3,97,3,0,0,0,0,[]
2,4,95,5,96,4,96,4,95,4,95,93,4,94,5,94,6,94,5,93,6,0,0,0,0,[]
3,4,95,5,96,4,96,5,95,4,95,93,5,92,4,93,6,95,6,93,6,0,0,0,0,[]
4,22,84,26,85,23,85,23,82,24,86,73,7,71,15,78,22,84,26,85,24,0,0,0,0,[]
5,41,71,42,70,41,71,37,65,40,72,50,10,54,31,63,40,63,40,80,46,0,0,0,0,[]
6,52,60,51,59,51,59,50,58,56,63,30,19,47,35,52,51,52,51,71,63,0,0,0,0,[]
7,51,59,51,59,44,56,50,58,57,59,30,20,42,37,52,51,52,51,73,65,0,0,0,0,[]
8,56,59,56,57,50,54,50,55,57,55,25,22,44,35,56,55,56,55,73,65,0,0,0,0,[]
9,55,57,59,60,59,56,56,59,58,60,28,21,46,35,66,47,69,48,74,64,0,0,0,0,[]
10,65,56,67,53,66,52,66,55,66,55,20,27,41,35,62,41,78,49,82,66,0,0,0,0,[]
11,67,48,71,49,67,47,72,50,75,50,23,36,34,41,56,40,88,54,84,63,0,0,0,0,[]
12,67,48,77,54,76,50,77,55,76,58,32,42,32,46,56,40,89,68,89,68,0,0,0,0,[]
13,3,90,74,62,76,61,77,62,77,62,31,50,32,49,89,7,90,80,90,78,0,0,0,0,[]
14,5,79,62,63,63,64,77,72,76,72,36,40,37,39,81,18,89,81,89,81,0,0,0,0,[]
15,6,68,57,70,51,62,78,79,77,79,41,31,41,29,73,27,89,81,89,81,0,0,0,0,[]
16,7,57,52,76,45,55,84,85,83,86,44,23,46,24,66,35,87,79,87,79,0,0,0,0,[]
17,9,47,52,75,46,54,84,84,87,85,47,24,46,24,57,43,88,75,88,75,0,0,0,0,[]
18,18,47,51,75,47,54,84,84,87,85,47,25,48,27,51,49,87,75,87,75,0,0,0,0,[]
19,15,37,50,76,47,53,85,84,86,84,44,23,48,26,50,48,85,78,85,78,0,0,0,0,[]
20,11,27,50,77,47,53,82,86,85,87,33,21,52,27,48,51,86,81,84,80,0,0,0,0,[]
21,16,22,50,79,52,52,84,87,85,87,24,14,55,31,53,45,85,82,85,79,0,0,0,0,[]
22,13,16,55,82,52,52,82,84,85,87,16,14,63,38,53,45,88,83,86,80,0,0,0,0,[]
23,17,15,58,83,51,49,83,85,86,87,18,13,72,42,53,43,86,78,86,78,0,0,0,0,[]
24,18,12,59,83,50,46,86,79,85,80,22,11,75,44,56,46,88,71,88,71,0,0,0,0,[]
25,18,13,60,83,48,49,87,78,87,77,22,10,77,47,55,47,92,73,92,73,0,0,0,0,[]
26,22,13,64,82,49,48,85,82,84,82,22,13,76,49,56,45,90,76,89,77,0,0,0,0,[]
27,20,14,72,76,49,50,86,83,82,81,32,9,76,54,56,44,90,79,86,76,0,0,0,0,[]
28,21,13,75,64,55,57,86,80,85,78,26,9,80,52,57,43,88,72,88,72,0,0,0,0,[]
29,25,12,78,53,52,48,88,74,87,74,29,8,82,50,56,42,90,68,90,68,0,0,0,0,[]
30,24,11,79,56,49,50,90,74,86,76,28,9,81,50,52,48,91,67,91,67,0,0,0,0,[]
31,21,12,72,63,48,51,81,78,79,74,26,8,79,56,53,45,91,73,89,72,0,0,0,0,[]
32,19,12,67,55,52,51,76,69,76,67,28,8,83,59,53,45,89,78,89,76,0,0,0,0,[]
33,20,12,76,52,52,51,80,75,76,62,23,9,84,60,53,45,90,81,89,77,0,0,0,0,[]
34,19,12,82,61,52,49,78,77,81,66,24,10,84,65,59,45,86,77,86,77,0,0,0,0,[]
35,17,12,83,58,55,46,83,82,79,62,23,12,93,66,58,42,90,72,88,77,0,0,0,0,[]
36,16,11,81,56,55,49,83,84,75,60,21,13,93,66,55,42,90,76,89,77,0,0,0,0,[]
37,15,13,79,55,55,49,83,85,76,68,21,13,91,5,55,47,86,75,89,79,0,0,0,0,[]
38,14,15,73,57,55,50,83,84,80,78,18,11,84,10,55,43,88,78,88,78,0,0,0,0,[]
